Fecha;C
1981-06-01;0
1981-06-02;0
1981-06-03;0
1981-06-04;0
1981-06-05;0
1981-06-06;0
1981-06-07;0
1981-06-08;0
1981-06-09;0
1981-06-10;0
1981-06-11;0
1981-06-12;0
1981-06-13;0
1981-06-14;0
1981-06-15;0
1981-06-16;0
1981-06-17;17141627
1981-06-18;17224013
1981-06-19;17660800
1981-06-20;17660800
1981-06-21;17660800
1981-06-22;17720412
1981-06-23;17768554
1981-06-24;17799084
1981-06-25;17907898
1981-06-26;17980248
1981-06-27;17980248
1981-06-28;17980248
1981-06-29;18038446
1981-06-30;18058766
1981-07-01;18091144
1981-07-02;18129239
1981-07-03;18152061
1981-07-04;18152061
1981-07-05;18152061
1981-07-06;18206138
1981-07-07;18228432
1981-07-08;18245682
1981-07-09;18267386
1981-07-10;18286221
1981-07-11;18286221
1981-07-12;18286221
1981-07-13;18450057
1981-07-14;18493533
1981-07-15;18539963
1981-07-16;18736080
1981-07-17;18783616
1981-07-18;18783616
1981-07-19;18783616
1981-07-20;43592329
1981-07-21;43640244
1981-07-22;43670596
1981-07-23;43718529
1981-07-24;43764699
1981-07-25;43764699
1981-07-26;43764699
1981-07-27;43932918
1981-07-28;43980480
1981-07-29;44038352
1981-07-30;46940226
1981-07-31;46987978
1981-08-01;46987978
1981-08-02;46987978
1981-08-03;47132666
1981-08-04;47181065
1981-08-05;47235145
1981-08-06;47291728
1981-08-07;47351087
1981-08-08;47351087
1981-08-09;47351087
1981-08-10;47710183
1981-08-11;47782488
1981-08-12;47996232
1981-08-13;48067093
1981-08-14;48140506
1981-08-15;48140506
1981-08-16;48140506
1981-08-17;48341290
1981-08-18;48420949
1981-08-19;48488414
1981-08-20;81965132
1981-08-21;82032990
1981-08-22;82032990
1981-08-23;82032990
1981-08-24;82236253
1981-08-25;82304304
1981-08-26;82372396
1981-08-27;82440757
1981-08-28;82509137
1981-08-29;82509137
1981-08-30;82509137
1981-08-31;84783864
1981-09-01;84842668
1981-09-02;84903343
1981-09-03;84962393
1981-09-04;85452088
1981-09-05;85452088
1981-09-06;85452088
1981-09-07;85629163
1981-09-08;85680856
1981-09-09;85704681
1981-09-10;84830065
1981-09-11;84830065
1981-09-12;84830065
1981-09-13;84830065
1981-09-14;86016251
1981-09-15;86055810
1981-09-16;86119812
1981-09-17;86249470
1981-09-18;86249470
1981-09-19;86249470
1981-09-20;86249470
1981-09-21;118145152
1981-09-22;118213329
1981-09-23;118283053
1981-09-24;118375990
1981-09-25;118454216
1981-09-26;118454216
1981-09-27;118454216
1981-09-28;119373945
1981-09-29;119515503
1981-09-30;130992316
1981-10-01;131062316
1981-10-02;131154140
1981-10-03;131154140
1981-10-04;131154140
1981-10-05;131423703
1981-10-06;131517351
1981-10-07;131568172
1981-10-08;131662715
1981-10-09;131743569
1981-10-10;131743569
1981-10-11;131743569
1981-10-12;131743569
1981-10-13;131863550
1981-10-14;131992773
1981-10-15;132173019
1981-10-16;132388069
1981-10-17;132388069
1981-10-18;132388069
1981-10-19;132809516
1981-10-20;177954686
1981-10-21;178101571
1981-10-22;178249961
1981-10-23;178401466
1981-10-24;178401466
1981-10-25;178401466
1981-10-26;178863234
1981-10-27;179019075
1981-10-28;179180006
1981-10-29;179336147
1981-10-30;178663689
1981-10-31;178663689
1981-11-01;178663689
1981-11-02;186510388
1981-11-03;186507802
1981-11-04;186671076
1981-11-05;186831620
1981-11-06;187119469
1981-11-07;187119469
1981-11-08;187119469
1981-11-09;187597901
1981-11-10;192056975
1981-11-11;192217959
1981-11-12;192438361
1981-11-13;192650188
1981-11-14;192650188
1981-11-15;192650188
1981-11-16;192209358
1981-11-17;193499363
1981-11-18;193664633
1981-11-19;193815217
1981-11-20;243961373
1981-11-21;243961373
1981-11-22;243961373
1981-11-23;244558860
1981-11-24;244724096
1981-11-25;244886680
1981-11-26;245072784
1981-11-27;245252334
1981-11-28;245252334
1981-11-29;245252334
1981-11-30;244905472
1981-12-01;245084662
1981-12-02;245259303
1981-12-03;245426440
1981-12-04;245586191
1981-12-05;245586191
1981-12-06;245586191
1981-12-07;246154606
1981-12-08;246154606
1981-12-09;246562209
1981-12-10;252806152
1981-12-11;253067977
1981-12-12;253067977
1981-12-13;253067977
1981-12-14;253575798
1981-12-15;253821725
1981-12-16;254105645
1981-12-17;254362295
1981-12-18;254611384
1981-12-19;254611384
1981-12-20;254611384
1981-12-21;314435718
1981-12-22;314710765
1981-12-23;314953825
1981-12-24;315217918
1981-12-25;315217918
1981-12-26;315217918
1981-12-27;315217918
1981-12-28;316455551
1981-12-29;316713083
1981-12-30;322459259
1981-12-31;318332410
1982-01-01;318332410
1982-01-02;318332410
1982-01-03;318332410
1982-01-04;319341315
1982-01-05;319600765
1982-01-06;320209031
1982-01-07;320568865
1982-01-08;320889452
1982-01-09;320889452
1982-01-10;320889452
1982-01-11;339482080
1982-01-12;339729738
1982-01-13;340061784
1982-01-14;340381093
1982-01-15;340506725
1982-01-16;340506725
1982-01-17;340506725
1982-01-18;341564840
1982-01-19;341924674
1982-01-20;395618531
1982-01-21;395943365
1982-01-22;376140312
1982-01-23;376140312
1982-01-24;376140312
1982-01-25;377086435
1982-01-26;377453774
1982-01-27;377818084
1982-01-28;377895624
1982-01-29;375525459
1982-01-30;375525459
1982-01-31;375525459
1982-02-01;386849960
1982-02-02;387219066
1982-02-03;387609758
1982-02-04;388117795
1982-02-05;388428159
1982-02-06;388428159
1982-02-07;388428159
1982-02-08;389462485
1982-02-09;389830513
1982-02-10;431353687
1982-02-11;432066631
1982-02-12;432548228
1982-02-13;432548228
1982-02-14;432548228
1982-02-15;433750240
1982-02-16;434158522
1982-02-17;434740174
