Fecha;C
1998-10-01;160315087560
1998-10-02;162927688178
1998-10-03;162927688178
1998-10-04;162927688178
1998-10-05;163362982900
1998-10-06;163388472440
1998-10-07;163997136349
1998-10-08;164405232592
1998-10-09;164058843355
1998-10-10;164058843355
1998-10-11;164058843355
1998-10-12;164058843355
1998-10-13;165317690901
1998-10-14;166017182937
1998-10-15;166421109943
1998-10-16;166625583080
1998-10-17;166625583080
1998-10-18;166625583080
1998-10-19;167329532736
1998-10-20;167795975000
1998-10-21;167893098664
1998-10-22;168375406582
1998-10-23;168363849543
1998-10-24;168363849543
1998-10-25;168363849543
1998-10-26;168530288690
1998-10-27;169360949400
1998-10-28;169447387783
1998-10-29;170866928702
1998-10-30;171302681393
1998-10-31;171302681393
1998-11-01;171302681393
1998-11-02;171886531920
1998-11-03;172259715224
1998-11-04;172857447165
1998-11-05;174066484277
1998-11-06;174521761413
1998-11-07;174521761413
1998-11-08;174521761413
1998-11-09;175176149881
1998-11-10;175466765870
1998-11-11;175920650878
1998-11-12;176807945017
1998-11-13;177329115845
1998-11-14;177329115845
1998-11-15;177329115845
1998-11-16;177975778092
1998-11-17;178300865237
1998-11-18;178257779957
1998-11-19;178876167142
1998-11-20;179133022012
1998-11-21;179133022012
1998-11-22;179133022012
1998-11-23;179411472199
1998-11-24;180048793525
1998-11-25;180350066963
1998-11-26;180941512395
1998-11-27;180882821837
1998-11-28;180882821837
1998-11-29;180882821837
1998-11-30;181231915219
1998-12-01;181385280385
1998-12-02;181630928170
1998-12-03;181204043388
1998-12-04;181065595629
1998-12-05;181065595629
1998-12-06;181065595629
1998-12-07;180995667911
1998-12-08;180995667911
1998-12-09;180682406933
1998-12-10;180537658304
1998-12-11;180279702646
1998-12-12;180279702646
1998-12-13;180279702646
1998-12-14;180082060879
1998-12-15;179594918335
1998-12-16;179057711890
1998-12-17;178952570474
1998-12-18;178539865257
1998-12-19;178539865257
1998-12-20;178539865257
1998-12-21;178626406517
1998-12-22;179328860743
1998-12-23;179496178715
1998-12-24;180229951074
1998-12-25;180229951074
1998-12-26;180229951074
1998-12-27;180229951074
1998-12-28;180667410702
1998-12-29;180892580664
1998-12-30;180708067812
1998-12-31;180747649789
