Fecha;C
1990-05-01;343373748,0
1990-05-02;344122605,0
1990-05-03;344497863,0
1990-05-04;344872697,0
1990-05-05;344872697,0
1990-05-06;344872697,0
1990-05-07;346014399,0
1990-05-08;346391659,0
1990-05-09;346768496,0
1990-05-10;347072116,0
1990-05-11;347365878,0
1990-05-12;347365878,0
1990-05-13;347365878,0
1990-05-14;348284562,0
1990-05-15;347622522,0
1990-05-16;347930008,0
1990-05-17;348238335,0
1990-05-18;352984886,0
1990-05-19;352984886,0
1990-05-20;352984886,0
1990-05-21;352984886,0
1990-05-22;354217185,0
1990-05-23;354525708,0
1990-05-24;354834955,0
1990-05-25;355144320,0
1990-05-26;355144320,0
1990-05-27;355144320,0
1990-05-28;355943362,0
1990-05-29;356553447,0
1990-05-30;356864169,0
1990-05-31;357138327,0
1990-06-01;357439966,0
1990-06-02;357439966,0
1990-06-03;357439966,0
1990-06-04;358374181,0
1990-06-05;358684074,0
1990-06-06;359049725,0
1990-06-07;359362624,0
1990-06-08;359565036,0
1990-06-09;359565036,0
1990-06-10;359565036,0
1990-06-11;360452933,0
1990-06-12;360728085,0
1990-06-13;361019439,0
1990-06-14;361019439,0
1990-06-15;360550964,0
1990-06-16;360550964,0
1990-06-17;360550964,0
1990-06-18;361429023,0
1990-06-19;361707307,0
1990-06-20;362106007,0
1990-06-21;362546512,0
1990-06-22;362759239,0
1990-06-23;362759239,0
1990-06-24;362759239,0
1990-06-25;363574367,0
1990-06-26;363803803,0
1990-06-27;1124039256,0
1990-06-28;1140441134,0
1990-06-29;1140441134,0
1990-06-30;1140441134,0
1990-07-01;1140441134,0
1990-07-02;1263759712,0
1990-07-03;1264532169,0
1990-07-04;1265614660,0
1990-07-05;1266588251,0
1990-07-06;1267638097,0
1990-07-07;1267638097,0
1990-07-08;1267638097,0
1990-07-09;1270510180,0
1990-07-10;1271952173,0
1990-07-11;1273240826,0
1990-07-12;1274575715,0
1990-07-13;1276048275,0
1990-07-14;1276048275,0
1990-07-15;1276048275,0
1990-07-16;1276070003,0
1990-07-17;1277339578,0
1990-07-18;1278489729,0
1990-07-19;1280205821,0
1990-07-20;1281472427,0
1990-07-21;1281472427,0
1990-07-22;1281472427,0
1990-07-23;1285261195,0
1990-07-24;1286674708,0
1990-07-25;1287895974,0
1990-07-26;1289631123,0
1990-07-27;1956854865,0
1990-07-28;1956854865,0
1990-07-29;1956854865,0
1990-07-30;1963064262,0
1990-07-31;1992722400,0
1990-08-01;1994855729,0
1990-08-02;1996854273,0
1990-08-03;1998703327,0
1990-08-04;1998703327,0
1990-08-05;1998703327,0
1990-08-06;2004512879,0
1990-08-07;2006498301,0
1990-08-08;2008333147,0
1990-08-09;2010390436,0
1990-08-10;2012200135,0
1990-08-11;2012200135,0
1990-08-12;2012200135,0
1990-08-13;2017799987,0
1990-08-14;2019257109,0
1990-08-15;2019257109,0
1990-08-16;2017234125,0
1990-08-17;2019055213,0
1990-08-18;2019055213,0
1990-08-19;2019055213,0
1990-08-20;2024378450,0
1990-08-21;2027848499,0
1990-08-22;2030242154,0
1990-08-23;2038179036,0
1990-08-24;2039671346,0
1990-08-25;2039671346,0
1990-08-26;2039671346,0
1990-08-27;2044931938,0
1990-08-28;2054941364,0
1990-08-29;2066911431,0
1990-08-30;2069208597,0
1990-08-31;2070214098,0
1990-09-01;2070214098,0
1990-09-02;2070214098,0
1990-09-03;2076676146,0
1990-09-04;2078310827,0
1990-09-05;2079777507,0
1990-09-06;2081108399,0
1990-09-07;2083646358,0
1990-09-08;2083646358,0
1990-09-09;2083646358,0
1990-09-10;2089576507,0
1990-09-11;2089576507,0
1990-09-12;2091945813,0
1990-09-13;2087635652,0
1990-09-14;2089614052,0
1990-09-15;2089614052,0
1990-09-16;2089614052,0
1990-09-17;2095467455,0
1990-09-18;2095467455,0
1990-09-19;2095467455,0
1990-09-20;2100868060,0
1990-09-21;2102754824,0
1990-09-22;2102754824,0
1990-09-23;2102754824,0
1990-09-24;2107722011,0
1990-09-25;2117118968,0
1990-09-26;2130533871,0
1990-09-27;2015198438,0
1990-09-28;2018472525,0
1990-09-29;2018472525,0
1990-09-30;2018472525,0
1990-10-01;2024430331,0
1990-10-02;2026254638,0
1990-10-03;2027974544,0
1990-10-04;2030053265,0
1990-10-05;2032315482,0
1990-10-06;2032315482,0
1990-10-07;2032315482,0
1990-10-08;2038234723,0
1990-10-09;2039828053,0
1990-10-10;2043118310,0
1990-10-11;2040984756,0
1990-10-12;2040984756,0
1990-10-13;2040984756,0
1990-10-14;2040984756,0
1990-10-15;2055978775,0
1990-10-16;2058246297,0
1990-10-17;2061329542,0
1990-10-18;2064961596,0
1990-10-19;2068178347,0
1990-10-20;2068178347,0
1990-10-21;2068178347,0
1990-10-22;2079464319,0
1990-10-23;2091241517,0
1990-10-24;2094031192,0
1990-10-25;2097539459,0
1990-10-26;2030150171,0
1990-10-27;2030150171,0
1990-10-28;2030150171,0
1990-10-29;2058218366,0
1990-10-30;2060732545,0
1990-10-31;2064402161,0
1990-11-01;2064402161,0
1990-11-02;2072611619,0
1990-11-03;2072611619,0
1990-11-04;2072611619,0
1990-11-05;2084159474,0
1990-11-06;2085966488,0
1990-11-07;2089656538,0
1990-11-08;2093755772,0
1990-11-09;2098840772,0
1990-11-10;2098840772,0
1990-11-11;2098840772,0
1990-11-12;2109012895,0
1990-11-13;2104660457,0
1990-11-14;2108262491,0
1990-11-15;2111136114,0
1990-11-16;2114954822,0
1990-11-17;2114954822,0
1990-11-18;2114954822,0
1990-11-19;1553290505,0
1990-11-20;1555635417,0
1990-11-21;1558538279,0
1990-11-22;1564942605,0
1990-11-23;1566676384,0
1990-11-24;1566676384,0
1990-11-25;1566676384,0
1990-11-26;1586418141,0
1990-11-27;1594747452,0
1990-11-28;1608333847,0
1990-11-29;1613383562,0
1990-11-30;1614926447,0
1990-12-01;1614926447,0
1990-12-02;1614926447,0
1990-12-03;1621977326,0
1990-12-04;1619747815,0
1990-12-05;1621785904,0
1990-12-06;1624443934,0
1990-12-07;1628198203,0
1990-12-08;1628198203,0
1990-12-09;1628198203,0
1990-12-10;1633939432,0
1990-12-11;1634886432,0
1990-12-12;1634974692,0
1990-12-13;1636100508,0
1990-12-14;1638523080,0
1990-12-15;1638523080,0
1990-12-16;1638523080,0
1990-12-17;1651570026,0
1990-12-18;1652690298,0
1990-12-19;968867113,0
1990-12-20;969428791,0
1990-12-21;970049445,0
1990-12-22;970049445,0
1990-12-23;970049445,0
1990-12-24;972652323,0
1990-12-25;972652323,0
1990-12-26;978131466,0
1990-12-27;995195742,0
1990-12-28;996361116,0
1990-12-29;996361116,0
1990-12-30;996361116,0
1990-12-31;998412261,0
1991-01-01;998412261,0
1991-01-02;999663176,0
1991-01-03;1000429416,0
1991-01-04;1000907013,0
1991-01-05;1000907013,0
1991-01-06;1000907013,0
1991-01-07;1002891246,0
1991-01-08;1004154339,0
1991-01-09;1004506653,0
1991-01-10;1005141724,0
1991-01-11;1006302118,0
1991-01-12;1006302118,0
1991-01-13;1006302118,0
1991-01-14;1004749540,0
1991-01-15;1006170062,0
1991-01-16;1013210703,0
1991-01-17;1013914611,0
1991-01-18;1014979877,0
1991-01-19;1014979877,0
1991-01-20;1014979877,0
1991-01-21;656036282,0
1991-01-22;656310124,0
1991-01-23;656787632,0
1991-01-24;656598433,0
1991-01-25;661037928,0
1991-01-26;661037928,0
1991-01-27;661037928,0
1991-01-28;662333351,0
1991-01-29;663071708,0
1991-01-30;664650652,0
1991-01-31;664976730,0
1991-02-01;665610621,0
1991-02-02;665610621,0
1991-02-03;665610621,0
1991-02-04;666991867,0
1991-02-05;666104391,0
1991-02-06;668264399,0
1991-02-07;669173764,0
1991-02-08;669982215,0
1991-02-09;669982215,0
1991-02-10;669982215,0
1991-02-11;671400780,0
1991-02-12;672413814,0
1991-02-13;671886684,0
1991-02-14;672740852,0
1991-02-15;675785184,0
1991-02-16;675785184,0
1991-02-17;675785184,0
1991-02-18;682944588,0
1991-02-19;551679459,0
1991-02-20;552012256,0
1991-02-21;555692340,0
1991-02-22;556608389,0
1991-02-23;556608389,0
1991-02-24;556608389,0
1991-02-25;560799483,0
1991-02-26;561121622,0
1991-02-27;560306666,0
1991-02-28;561279240,0
1991-03-01;561701350,0
1991-03-02;561701350,0
1991-03-03;561701350,0
1991-03-04;562514807,0
1991-03-05;561013346,0
1991-03-06;561309882,0
1991-03-07;561611929,0
1991-03-08;561400966,0
1991-03-09;561400966,0
1991-03-10;561400966,0
1991-03-11;562196358,0
1991-03-12;562706193,0
1991-03-13;562722771,0
1991-03-14;563092789,0
1991-03-15;561988437,0
1991-03-16;561988437,0
1991-03-17;561988437,0
1991-03-18;562689638,0
1991-03-19;504059514,0
1991-03-20;504118567,0
1991-03-21;504501850,0
1991-03-22;504651272,0
1991-03-23;504651272,0
1991-03-24;504651272,0
1991-03-25;509548936,0
1991-03-26;508766619,0
1991-03-27;508286519,0
1991-03-28;508749220,0
1991-03-29;508749220,0
1991-03-30;508749220,0
1991-03-31;508749220,0
1991-04-01;509015365,0
1991-04-02;509617828,0
1991-04-03;510081590,0
1991-04-04;511547385,0
1991-04-05;511960848,0
1991-04-06;511960848,0
1991-04-07;511960848,0
1991-04-08;512307021,0
1991-04-09;511784708,0
1991-04-10;513609293,0
1991-04-11;514026967,0
1991-04-12;514901571,0
