Fecha;A;B;C;D;E
2008-04-01;2,78435378835e+12;2,57955724979e+12;4,9512529139e+12;1,32893535071e+12;2,51771847581e+11
2008-04-02;2,80607570844e+12;2,59589488368e+12;4,97101959541e+12;1,33198337165e+12;2,51856250888e+11
2008-04-03;2,81975110650e+12;2,60778051431e+12;4,98480371569e+12;1,33425405143e+12;2,52023745471e+11
2008-04-04;2,83410546076e+12;2,61622279516e+12;5,00008040669e+12;1,33690703005e+12;2,53888683936e+11
2008-04-05;2,83410546076e+12;2,61622279516e+12;5,00008040669e+12;1,33690703005e+12;2,53888683936e+11
2008-04-06;2,83410546076e+12;2,61622279516e+12;5,00008040669e+12;1,33690703005e+12;2,53888683936e+11
2008-04-07;2,83925390479e+12;2,62046093175e+12;5,00796040384e+12;1,33830796096e+12;2,53994671886e+11
2008-04-08;2,85315228694e+12;2,63133439189e+12;5,02379490856e+12;1,34083970976e+12;2,54456102436e+11
2008-04-09;2,84614101403e+12;2,62656391804e+12;5,01746110262e+12;1,33965361963e+12;2,55803103231e+11
2008-04-10;2,83916650680e+12;2,62181296721e+12;5,01368297102e+12;1,33936554736e+12;2,55883238312e+11
2008-04-11;2,83753637695e+12;2,62274624911e+12;5,01286034039e+12;1,34068853148e+12;2,57305687878e+11
2008-04-12;2,83753637695e+12;2,62274624911e+12;5,01286034039e+12;1,34068853148e+12;2,57305687878e+11
2008-04-13;2,83753637695e+12;2,62274624911e+12;5,01286034039e+12;1,34068853148e+12;2,57305687878e+11
2008-04-14;2,86033480462e+12;2,6385481284e+12;5,04012233101e+12;1,34110917720e+12;2,58061158319e+11
2008-04-15;2,83359024076e+12;2,6263642905e+12;5,03067429704e+12;1,34069324205e+12;2,60086305904e+11
2008-04-16;2,8496054778e+12;2,63987871984e+12;5,05226141824e+12;1,34368234107e+12;2,61626860007e+11
2008-04-17;2,88702266699e+12;2,66642932278e+12;5,0861721587e+12;1,34862008240e+12;2,62735807282e+11
2008-04-18;2,89864783174e+12;2,67343849554e+12;5,0980670972e+12;1,350471977e+12;2,65064041288e+11
2008-04-19;2,89864783174e+12;2,67343849554e+12;5,0980670972e+12;1,350471977e+12;2,65064041288e+11
2008-04-20;2,89864783174e+12;2,67343849554e+12;5,0980670972e+12;1,350471977e+12;2,65064041288e+11
2008-04-21;2,91963725278e+12;2,69049778211e+12;5,12013641324e+12;1,35133032735e+12;2,65528486257e+11
2008-04-22;2,93165581005e+12;2,69926358968e+12;5,1329437806e+12;1,35292884131e+12;2,63469164733e+11
2008-04-23;2,93384511261e+12;2,70037923732e+12;5,134418075e+12;1,35387725445e+12;2,61556086012e+11
2008-04-24;2,91719204457e+12;2,68669926282e+12;5,10751525352e+12;1,35002691657e+12;2,61108469215e+11
