Fecha;C
1981-06-01;0
1981-06-02;0
1981-06-03;0
1981-06-04;0
1981-06-05;0
1981-06-06;0
1981-06-07;0
1981-06-08;0
1981-06-09;0
1981-06-10;0
1981-06-11;0
1981-06-12;0
1981-06-13;0
1981-06-14;0
1981-06-15;0
1981-06-16;0
1981-06-17;3125203
1981-06-18;3125499
1981-06-19;3130941
1981-06-20;3130941
1981-06-21;3130941
1981-06-22;3137621
1981-06-23;3175798
1981-06-24;3181093
1981-06-25;3187883
1981-06-26;3192103
1981-06-27;3192103
1981-06-28;3192103
1981-06-29;3200826
1981-06-30;3204904
1981-07-01;3211907
1981-07-02;3215118
1981-07-03;3211574
1981-07-04;3211574
1981-07-05;3211574
1981-07-06;3222712
1981-07-07;3238045
1981-07-08;3231547
1981-07-09;3234814
1981-07-10;3238129
1981-07-11;3238129
1981-07-12;3238129
1981-07-13;3250185
1981-07-14;3255836
1981-07-15;3265011
1981-07-16;3271989
1981-07-17;3276674
1981-07-18;3276674
1981-07-19;3276674
1981-07-20;6590740
1981-07-21;7983597
1981-07-22;8002258
1981-07-23;8008989
1981-07-24;8013145
1981-07-25;8013145
1981-07-26;8013145
1981-07-27;8054294
1981-07-28;8063140
1981-07-29;8069961
1981-07-30;8077016
1981-07-31;8183533
1981-08-01;8183533
1981-08-02;8183533
1981-08-03;8204977
1981-08-04;8212172
1981-08-05;8219304
1981-08-06;8225136
1981-08-07;8232441
1981-08-08;8232441
1981-08-09;8232441
1981-08-10;8264708
1981-08-11;8281314
1981-08-12;8291196
1981-08-13;8302823
1981-08-14;8346430
1981-08-15;8346430
1981-08-16;8346430
1981-08-17;8384576
1981-08-18;8397448
1981-08-19;8350899
1981-08-20;14254832
1981-08-21;14283451
1981-08-22;14283451
1981-08-23;14283451
1981-08-24;14440774
1981-08-25;14453344
1981-08-26;14464163
1981-08-27;14483770
1981-08-28;14484688
1981-08-29;14484688
1981-08-30;14484688
1981-08-31;14597092
1981-09-01;14608261
1981-09-02;14620851
1981-09-03;14646522
1981-09-04;14659127
1981-09-05;14659127
1981-09-06;14659127
1981-09-07;14725759
1981-09-08;14757384
1981-09-09;14771006
1981-09-10;14867260
1981-09-11;14867260
1981-09-12;14867260
1981-09-13;14867260
1981-09-14;15363572
1981-09-15;15226500
1981-09-16;15244550
1981-09-17;15290967
1981-09-18;15290967
1981-09-19;15290967
1981-09-20;15290967
1981-09-21;22667247
1981-09-22;22683738
1981-09-23;22701518
1981-09-24;23056409
1981-09-25;23136909
1981-09-26;23136909
1981-09-27;23136909
1981-09-28;23188169
1981-09-29;23203861
1981-09-30;23335534
1981-10-01;23161790
1981-10-02;23175277
1981-10-03;23175277
1981-10-04;23175277
1981-10-05;23220471
1981-10-06;23237251
1981-10-07;23252306
1981-10-08;23267359
1981-10-09;23466901
1981-10-10;23466901
1981-10-11;23466901
1981-10-12;23466901
1981-10-13;23537291
1981-10-14;23557184
1981-10-15;23590460
1981-10-16;25480384
1981-10-17;25480384
1981-10-18;25480384
1981-10-19;25867300
1981-10-20;34452310
1981-10-21;34473989
1981-10-22;34498030
1981-10-23;34593890
1981-10-24;34593890
1981-10-25;34593890
1981-10-26;34652009
1981-10-27;34676584
1981-10-28;34699349
1981-10-29;34713501
1981-10-30;35052446
1981-10-31;35052446
1981-11-01;35052446
1981-11-02;35122921
1981-11-03;34893562
1981-11-04;34917305
1981-11-05;35034173
1981-11-06;35114402
1981-11-07;35114402
1981-11-08;35114402
1981-11-09;35104793
1981-11-10;34479570
1981-11-11;34498856
1981-11-12;35954722
1981-11-13;36958730
1981-11-14;36958730
1981-11-15;36958730
1981-11-16;37066883
1981-11-17;37070428
1981-11-18;37197204
1981-11-19;37201836
1981-11-20;46658688
1981-11-21;46658688
1981-11-22;46658688
1981-11-23;46714098
1981-11-24;46736862
1981-11-25;46758822
1981-11-26;46782301
1981-11-27;46809694
1981-11-28;46809694
1981-11-29;46809694
1981-11-30;46880131
1981-12-01;47328029
1981-12-02;47341850
1981-12-03;47342416
1981-12-04;47370619
1981-12-05;47370619
1981-12-06;47370619
1981-12-07;47132758
1981-12-08;47132758
1981-12-09;47900467
1981-12-10;47950163
1981-12-11;48008586
1981-12-12;48008586
1981-12-13;48008586
1981-12-14;47216840
1981-12-15;47962192
1981-12-16;47999812
1981-12-17;48186229
1981-12-18;53767857
1981-12-19;53767857
1981-12-20;53767857
1981-12-21;63462928
1981-12-22;63511944
1981-12-23;63522889
1981-12-24;63574356
1981-12-25;63574356
1981-12-26;63574356
1981-12-27;63574356
1981-12-28;63773397
1981-12-29;63821340
1981-12-30;63987552
1981-12-31;64245110
1982-01-01;64245110
1982-01-02;64245110
1982-01-03;64245110
1982-01-04;65931468
1982-01-05;65749897
1982-01-06;65827989
1982-01-07;65957125
1982-01-08;66384442
1982-01-09;66384442
1982-01-10;66384442
1982-01-11;66520208
1982-01-12;66538311
1982-01-13;66585215
1982-01-14;66644990
1982-01-15;66644878
1982-01-16;66644878
1982-01-17;66644878
1982-01-18;66894569
1982-01-19;67258472
1982-01-20;79073572
1982-01-21;79134073
1982-01-22;81865368
1982-01-23;81865368
1982-01-24;81865368
1982-01-25;81524698
1982-01-26;82135331
1982-01-27;82214193
1982-01-28;82266742
1982-01-29;84182750
1982-01-30;84182750
1982-01-31;84182750
1982-02-01;84200190
1982-02-02;84285580
1982-02-03;84343044
1982-02-04;84376976
1982-02-05;84445302
1982-02-06;84445302
1982-02-07;84445302
1982-02-08;84796987
1982-02-09;84864617
1982-02-10;85746310
1982-02-11;85815398
1982-02-12;85855581
1982-02-13;85855581
1982-02-14;85855581
1982-02-15;86062814
1982-02-16;86145879
1982-02-17;86284737
