Fecha;C
1981-06-01;0
1981-06-02;0
1981-06-03;0
1981-06-04;0
1981-06-05;0
1981-06-06;0
1981-06-07;0
1981-06-08;0
1981-06-09;0
1981-06-10;0
1981-06-11;0
1981-06-12;0
1981-06-13;0
1981-06-14;0
1981-06-15;0
1981-06-16;0
1981-06-17;8861689
1981-06-18;8920863
1981-06-19;8988974
1981-06-20;8988974
1981-06-21;8988974
1981-06-22;9012343
1981-06-23;9037680
1981-06-24;9046518
1981-06-25;9057326
1981-06-26;9070935
1981-06-27;9070935
1981-06-28;9070935
1981-06-29;9094309
1981-06-30;8868303
1981-07-01;8880936
1981-07-02;8888647
1981-07-03;8896919
1981-07-04;8896919
1981-07-05;8896919
1981-07-06;8920297
1981-07-07;8933196
1981-07-08;8943129
1981-07-09;8964009
1981-07-10;8972404
1981-07-11;8972404
1981-07-12;8972404
1981-07-13;9002068
1981-07-14;9020548
1981-07-15;9038560
1981-07-16;9053329
1981-07-17;9071616
1981-07-18;9071616
1981-07-19;9071616
1981-07-20;23203030
1981-07-21;23223010
1981-07-22;23241590
1981-07-23;23262020
1981-07-24;23259560
1981-07-25;23259560
1981-07-26;23259560
1981-07-27;23321260
1981-07-28;23331900
1981-07-29;23352520
1981-07-30;23673900
1981-07-31;22881610
1981-08-01;22881610
1981-08-02;22881610
1981-08-03;22948558
1981-08-04;23001894
1981-08-05;23023797
1981-08-06;23044478
1981-08-07;23056130
1981-08-08;23056130
1981-08-09;23056130
1981-08-10;23256198
1981-08-11;23281568
1981-08-12;23310615
1981-08-13;23351379
1981-08-14;23374175
1981-08-15;23374175
1981-08-16;23374175
1981-08-17;23469028
1981-08-18;23506409
1981-08-19;23539513
1981-08-20;41860809
1981-08-21;41920915
1981-08-22;41920915
1981-08-23;41920915
1981-08-24;42011320
1981-08-25;42050702
1981-08-26;42075935
1981-08-27;42126157
1981-08-28;42182966
1981-08-29;42182966
1981-08-30;42182966
1981-08-31;41726782
1981-09-01;41789689
1981-09-02;41866748
1981-09-03;41900547
1981-09-04;41946276
1981-09-05;41946276
1981-09-06;41946276
1981-09-07;42029181
1981-09-08;42067370
1981-09-09;42100896
1981-09-10;42278529
1981-09-11;42278529
1981-09-12;42278529
1981-09-13;42278529
1981-09-14;42129644
1981-09-15;42196207
1981-09-16;42250009
1981-09-17;42344154
1981-09-18;42344154
1981-09-19;42344154
1981-09-20;42344154
1981-09-21;62068833
1981-09-22;62231205
1981-09-23;62312104
1981-09-24;62365225
1981-09-25;62407531
1981-09-26;62407531
1981-09-27;62407531
1981-09-28;62515764
1981-09-29;62586257
1981-09-30;64422704
1981-10-01;64579973
1981-10-02;64643655
1981-10-03;64643655
1981-10-04;64643655
1981-10-05;64757493
1981-10-06;64803771
1981-10-07;64890876
1981-10-08;64931905
1981-10-09;64995396
1981-10-10;64995396
1981-10-11;64995396
1981-10-12;64995396
1981-10-13;65394764
1981-10-14;64032629
1981-10-15;64090759
1981-10-16;64156036
1981-10-17;64156036
1981-10-18;64156036
1981-10-19;64308646
1981-10-20;87279429
1981-10-21;87302529
1981-10-22;87127514
1981-10-23;87190821
1981-10-24;87190821
1981-10-25;87190821
1981-10-26;87282279
1981-10-27;87315243
1981-10-28;87362945
1981-10-29;87339146
1981-10-30;86857843
1981-10-31;86857843
1981-11-01;86857843
1981-11-02;86653873
1981-11-03;86806548
1981-11-04;86421006
1981-11-05;86401459
1981-11-06;86273647
1981-11-07;86273647
1981-11-08;86273647
1981-11-09;86187145
1981-11-10;88078446
1981-11-11;85710094
1981-11-12;85785668
1981-11-13;85822013
1981-11-14;85822013
1981-11-15;85822013
1981-11-16;85627822
1981-11-17;85458231
1981-11-18;85401529
1981-11-19;85356708
1981-11-20;108595343
1981-11-21;108595343
1981-11-22;108595343
1981-11-23;108691928
1981-11-24;108569332
1981-11-25;108555943
1981-11-26;108453824
1981-11-27;108420300
1981-11-28;108420300
1981-11-29;108420300
1981-11-30;108122676
1981-12-01;108405613
1981-12-02;108096379
1981-12-03;108384352
1981-12-04;108434805
1981-12-05;108434805
1981-12-06;108434805
1981-12-07;108424593
1981-12-08;108424593
1981-12-09;108536784
1981-12-10;109602244
1981-12-11;109717486
1981-12-12;109717486
1981-12-13;109717486
1981-12-14;104897345
1981-12-15;104954709
1981-12-16;105049838
1981-12-17;105123461
1981-12-18;105189644
1981-12-19;105189644
1981-12-20;105189644
1981-12-21;129944616
1981-12-22;130033332
1981-12-23;130045455
1981-12-24;130103928
1981-12-25;130103928
1981-12-26;130103928
1981-12-27;130103928
1981-12-28;130440842
1981-12-29;130598430
1981-12-30;131995139
1981-12-31;130033208
1982-01-01;130033208
1982-01-02;130033208
1982-01-03;130033208
1982-01-04;130134953
1982-01-05;129948963
1982-01-06;130094757
1982-01-07;130699407
1982-01-08;132769187
1982-01-09;132769187
1982-01-10;132769187
1982-01-11;132915665
1982-01-12;132906665
1982-01-13;132833009
1982-01-14;132979772
1982-01-15;126283406
1982-01-16;126283406
1982-01-17;126283406
1982-01-18;126490057
1982-01-19;126580636
1982-01-20;149732629
1982-01-21;151030751
1982-01-22;151975764
1982-01-23;151975764
1982-01-24;151975764
1982-01-25;152371675
1982-01-26;152967298
1982-01-27;153077675
1982-01-28;153206655
1982-01-29;154449297
1982-01-30;154449297
1982-01-31;154449297
1982-02-01;155107085
1982-02-02;155479332
1982-02-03;155608558
1982-02-04;155669866
1982-02-05;155750018
1982-02-06;155750018
1982-02-07;155750018
1982-02-08;156255962
1982-02-09;156351307
1982-02-10;157305694
1982-02-11;157491435
1982-02-12;157334455
1982-02-13;157334455
1982-02-14;157334455
1982-02-15;157527845
1982-02-16;157088838
1982-02-17;157286721
