Fecha;A;B;C;D;E
2010-09-01;1976242565;1089295671;604510861;314852374;8839428
2010-09-02;1992914476;1097671892;606226897;315914634;8852536
2010-09-03;1996636896;1099971535;606716066;315870672;8855571
2010-09-04;1996636896;1099971535;606716066;315870672;8855571
2010-09-05;1996636896;1099971535;606716066;315870672;8855571
2010-09-06;2004608876;1103796103;607500831;316281198;8859286
2010-09-07;2011005758;1106437924;608545226;316948599;8861554
2010-09-08;2001211120;1102098690;607560286;316479650;8862202
2010-09-09;2011456857;1106347827;609909462;316911317;8864396
2010-09-10;2015476873;1107876353;609882587;316978857;8866131
2010-09-11;2015476873;1107876353;609882587;316978857;8866131
2010-09-12;2015476873;1107876353;609882587;316978857;8866131
2010-09-13;2099752531;1111288334;636124990;317298167;8874293
2010-09-14;2122452617;1120358387;638312509;318174506;8874369
2010-09-15;2266181362;1397178383;828185002;321109739;8921050
2010-09-16;2282636575;1388395868;832091415;321490804;8923418
2010-09-17;2282636575;1388395868;832091415;321490804;8923418
2010-09-18;2282636575;1388395868;832091415;321490804;8923418
2010-09-19;2282636575;1388395868;832091415;321490804;8923418
2010-09-20;2282636575;1388395868;832091415;321490804;8923418
2010-09-21;2304510287;1398237922;834306757;322383015;8928607
2010-09-22;2311269253;1452248924;1035995049;322772622;8923435
2010-09-23;2269224576;1446035783;1064808890;322232097;9000179
2010-09-24;2250384899;1436650647;1072553317;322494154;9426938
2010-09-25;2250384899;1436650647;1072553317;322494154;9426938
2010-09-26;2250384899;1436650647;1072553317;322494154;9426938
2010-09-27;2257374512;1438597588;1079388647;322484769;9512595
2010-09-28;2267891096;1442131514;1264769279;323149260;9801671
2010-09-29;2272554710;1444160254;1268758561;323323737;9804127
2010-09-30;2280144719;1447176330;1394478470;323395339;9768830
2010-10-01;2481547816;1506250155;1607113142;323367152;26747273
2010-10-02;2481547816;1506250155;1607113142;323367152;26747273
2010-10-03;2481547816;1506250155;1607113142;323367152;26747273
2010-10-04;2491564089;1510765211;1608950951;323668959;26753344
2010-10-05;2501029421;1514775237;1550763078;324142572;88017474
2010-10-06;2515706117;1520716400;1553017120;324487642;88029171
2010-10-07;2530233516;1519438070;1551757281;324459141;71119595
2010-10-08;2520675082;1510586625;1549986566;324307268;71116053
2010-10-09;2520675082;1510586625;1549986566;324307268;71116053
2010-10-10;2520675082;1510586625;1549986566;324307268;71116053
2010-10-11;2520675082;1510586625;1549986566;324307268;71116053
2010-10-12;2531785258;1514937868;1552225483;324863579;71185761
2010-10-13;2517293439;1508055155;1547841386;324216852;71120741
2010-10-14;2539529115;1517775940;1553509795;324792454;71122864
2010-10-15;2725614984;1594308536;1638354810;375908675;72088106
2010-10-16;2725614984;1594308536;1638354810;375908675;72088106
2010-10-17;2725614984;1594308536;1638354810;375908675;72088106
2010-10-18;2724276321;1593856612;1782619428;376443548;72545488
2010-10-19;2740760806;1606295427;1904656112;424038651;81822171
2010-10-20;2725700319;1600903172;2548617135;423721136;81876005
2010-10-21;2745891297;1610443674;2619780166;425865961;82585159
2010-10-22;2765751036;1616610041;2875583379;426576092;83143096
2010-10-23;2765751036;1616610041;2875583379;426576092;83143096
2010-10-24;2765751036;1616610041;2875583379;426576092;83143096
2010-10-25;2772174448;1620686407;2909449943;431223640;84195735
2010-10-26;2782568788;1625060925;2917563542;431620839;84109576
2010-10-27;2800383812;1633091237;2943602787;435777968;84904990
2010-10-28;2799744555;1635062495;2957978567;436409628;84902426
2010-10-29;2806599897;1640165971;2989404455;438550081;85276169
2010-10-30;2806599897;1640165971;2989404455;438550081;85276169
2010-10-31;2806599897;1640165971;2989404455;438550081;85276169
2010-11-01;2806599897;1640165971;2989404455;438550081;85276169
2010-11-02;2947528103;1695453437;3000386106;446099922;85508058
2010-11-03;2970168380;1642887625;3014123194;510389159;85595432
2010-11-04;2986628538;1650377102;3023994916;511242979;85690327
2010-11-05;3004778790;1657119870;3027438891;511530775;85842171
2010-11-06;3004778790;1657119870;3027438891;511530775;85842171
2010-11-07;3004778790;1657119870;3027438891;511530775;85842171
2010-11-08;3105420856;1696466773;2803262792;529865584;92267838
2010-11-09;3111418450;1699373472;2807608750;530399032;92267552
2010-11-10;3094458884;1692600969;2803323135;529848863;92128119
2010-11-11;3104900090;1697140380;2827705210;530270169;92128933
2010-11-12;3104982542;1698730358;2913936965;535781628;93892894
2010-11-13;3104982542;1698730358;2913936965;535781628;93892894
2010-11-14;3104982542;1698730358;2913936965;535781628;93892894
2010-11-15;3206699427;1702605859;2910639973;639072094;112063117
2010-11-16;3210882160;1705143126;3015686450;644934110;114009513
2010-11-17;3186873459;1696058384;3117579174;646158997;115262027
2010-11-18;3192460709;1700268191;3438899004;645724736;115430805
2010-11-19;3197207170;1729663139;3443125114;647061520;115731423
2010-11-20;3197207170;1729663139;3443125114;647061520;115731423
2010-11-21;3197207170;1729663139;3443125114;647061520;115731423
2010-11-22;3254472547;1751486255;3994605087;651161389;117683777
2010-11-23;3271906185;1759900212;4208216162;652332167;118218117
2010-11-24;3241962626;1802375789;4208628888;652290898;118596352
2010-11-25;3322590888;1864490246;4101204146;659175503;120626245
2010-11-26;3342962747;1875680575;4218974818;663803681;121885832
2010-11-27;3342962747;1875680575;4218974818;663803681;121885832
2010-11-28;3342962747;1875680575;4218974818;663803681;121885832
2010-11-29;3311278058;1863944020;4263981510;662904115;121929576
2010-11-30;3334441869;1874739510;4840196426;673877140;124579127
2010-12-01;3464920706;1874648820;4874217168;673826373;124391802
2010-12-02;3503790079;1889222671;4896768240;682866994;124276467
2010-12-03;3536305967;1902237697;4905121628;682974557;124129197
2010-12-04;3536305967;1902237697;4905121628;682974557;124129197
2010-12-05;3536305967;1902237697;4905121628;682974557;124129197
2010-12-06;3529687697;1899199995;4901904306;682877122;124185819
2010-12-07;3515766622;1892454321;4890529483;682247782;124131017
