Fecha;C
1993-08-01;0
1993-08-02;0
1993-08-03;0
1993-08-04;0
1993-08-05;0
1993-08-06;0
1993-08-07;0
1993-08-08;0
1993-08-09;0
1993-08-10;0
1993-08-11;0
1993-08-12;0
1993-08-13;0
1993-08-14;0
1993-08-15;0
1993-08-16;0
1993-08-17;0
1993-08-18;0
1993-08-19;0
1993-08-20;0
1993-08-21;0
1993-08-22;0
1993-08-23;0
1993-08-24;0
1993-08-25;0
1993-08-26;0
1993-08-27;0
1993-08-28;0
1993-08-29;0
1993-08-30;0
1993-08-31;0
1993-09-01;0
1993-09-02;0
1993-09-03;0
1993-09-04;0
1993-09-05;0
1993-09-06;0
1993-09-07;0
1993-09-08;0
1993-09-09;0
1993-09-10;0
1993-09-11;0
1993-09-12;0
1993-09-13;0
1993-09-14;0
1993-09-15;0
1993-09-16;0
1993-09-17;0
1993-09-18;0
1993-09-19;0
1993-09-20;0
1993-09-21;0
1993-09-22;0
1993-09-23;0
1993-09-24;0
1993-09-25;0
1993-09-26;0
1993-09-27;0
1993-09-28;0
1993-09-29;0
1993-09-30;0
1993-10-01;0
1993-10-02;0
1993-10-03;0
1993-10-04;0
1993-10-05;0
1993-10-06;0
1993-10-07;0
1993-10-08;0
1993-10-09;0
1993-10-10;0
1993-10-11;0
1993-10-12;0
1993-10-13;0
1993-10-14;72509
1993-10-15;63679
1993-10-16;63679
1993-10-17;63679
1993-10-18;63679
1993-10-19;63679
1993-10-20;63679
1993-10-21;63679
1993-10-22;1721120
1993-10-23;1721120
1993-10-24;1721120
1993-10-25;1721120
1993-10-26;4532354
1993-10-27;4532354
1993-10-28;382485456
1993-10-29;382485456
1993-10-30;382485456
1993-10-31;382485456
1993-11-01;382485456
1993-11-02;382485456
1993-11-03;382485456
1993-11-04;381480083
1993-11-05;381480083
1993-11-06;381480083
1993-11-07;381480083
1993-11-08;384295828
1993-11-09;384295828
1993-11-10;384295828
1993-11-11;384353917
1993-11-12;384353917
1993-11-13;384353917
1993-11-14;384353917
1993-11-15;388069514
1993-11-16;388069514
1993-11-17;388069514
1993-11-18;388069514
1993-11-19;388069514
1993-11-20;388069514
1993-11-21;388069514
1993-11-22;388069514
1993-11-23;399814316
1993-11-24;405259735
1993-11-25;406048892
1993-11-26;407361329
1993-11-27;407361329
1993-11-28;407361329
1993-11-29;1090659663
1993-11-30;1091506132
1993-12-01;1093189141
1993-12-02;1095565524
1993-12-03;1096886845
1993-12-04;1096886845
1993-12-05;1096886845
1993-12-06;1100798765
1993-12-07;1100347162
1993-12-08;1100347162
1993-12-09;1103454733
1993-12-10;1104110006
1993-12-11;1104110006
1993-12-12;1104110006
1993-12-13;1106460281
1993-12-14;1107224411
1993-12-15;1108977622
1993-12-16;1109742579
1993-12-17;1113155712
1993-12-18;1113155712
1993-12-19;1113155712
1993-12-20;1114389368
1993-12-21;1115769219
1993-12-22;1129568125
1993-12-23;1133485043
1993-12-24;1136456005
1993-12-25;1136456005
1993-12-26;1136456005
1993-12-27;1140164020
1993-12-28;1147221738
1993-12-29;1583667568
1993-12-30;1585758784
1993-12-31;1589830575
1994-01-01;1589830575
1994-01-02;1589830575
1994-01-03;1591323063
1994-01-04;1595147595
1994-01-05;1598253022
1994-01-06;1602502306
1994-01-07;1608341451
1994-01-08;1608341451
1994-01-09;1608341451
1994-01-10;1613423548
1994-01-11;1616628770
1994-01-12;1617147045
1994-01-13;1623465771
1994-01-14;1628729212
1994-01-15;1628729212
1994-01-16;1628729212
1994-01-17;1632029226
1994-01-18;1635341090
1994-01-19;1651145427
1994-01-20;1663716868
1994-01-21;1668553756
1994-01-22;1668553756
1994-01-23;1668553756
1994-01-24;1672713958
1994-01-25;1679322591
1994-01-26;1682334558
1994-01-27;1685854936
1994-01-28;1686435653
1994-01-29;1686435653
1994-01-30;1686435653
1994-01-31;2209165704
1994-02-01;2212023934
1994-02-02;2215759320
1994-02-03;2223640039
1994-02-04;2232442572
1994-02-05;2232442572
1994-02-06;2232442572
1994-02-07;2238099643
1994-02-08;2245452825
1994-02-09;2251527549
1994-02-10;2260785250
1994-02-11;2268564134
1994-02-12;2268564134
1994-02-13;2268564134
1994-02-14;2273404427
1994-02-15;2270112376
1994-02-16;2272390892
1994-02-17;2270308237
1994-02-18;2268364111
1994-02-19;2268364111
1994-02-20;2268364111
1994-02-21;2271559662
1994-02-22;2269949882
1994-02-23;2266501228
1994-02-24;2267353216
1994-02-25;2291181417
1994-02-26;2291181417
1994-02-27;2291181417
1994-02-28;2981175198
1994-03-01;3002798865
1994-03-02;3003024997
1994-03-03;2994362603
1994-03-04;2981598192
1994-03-05;2981598192
1994-03-06;2981598192
1994-03-07;2978624839
1994-03-08;2969247754
1994-03-09;2966701668
1994-03-10;2964656477
1994-03-11;2962712604
1994-03-12;2962712604
1994-03-13;2962712604
1994-03-14;2963441322
1994-03-15;2964143749
1994-03-16;2964632449
1994-03-17;2970629566
1994-03-18;2974119273
1994-03-19;2974119273
1994-03-20;2974119273
1994-03-21;2969410407
1994-03-22;2966874033
1994-03-23;2980349959
1994-03-24;2979797050
1994-03-25;2994572316
1994-03-26;2994572316
1994-03-27;2994572316
1994-03-28;2991712517
1994-03-29;2921315395
1994-03-30;3402056434
1994-03-31;3396112157
