Fecha;C
1986-03-01;7000
1986-03-02;7000
1986-03-03;7000
1986-03-04;7000
1986-03-05;7000
1986-03-06;7000
1986-03-07;7000
1986-03-08;7000
1986-03-09;7000
1986-03-10;33999432
1986-03-11;34001080
1986-03-12;34012476
1986-03-13;34031620
1986-03-14;34065627
1986-03-15;34065627
1986-03-16;34065627
1986-03-17;34161119
1986-03-18;34272092
1986-03-19;34523014
1986-03-20;34540322
1986-03-21;34817922
1986-03-22;34817922
1986-03-23;34817922
1986-03-24;34787461
1986-03-25;34811542
1986-03-26;34924555
1986-03-27;34980685
1986-03-28;34980685
1986-03-29;34980685
1986-03-30;34980685
1986-03-31;35050377
1986-04-01;35284612
1986-04-02;35348899
1986-04-03;35336522
1986-04-04;35428434
1986-04-05;35428434
1986-04-06;35428434
1986-04-07;35484536
1986-04-08;35599167
1986-04-09;35709787
1986-04-10;85246859
1986-04-11;85248545
1986-04-12;85248545
1986-04-13;85248545
1986-04-14;84637571
1986-04-15;84656205
1986-04-16;84812409
1986-04-17;84733363
1986-04-18;84758056
1986-04-19;84758056
1986-04-20;84758056
1986-04-21;84966072
1986-04-22;85027133
1986-04-23;85124919
1986-04-24;85343270
1986-04-25;85404093
1986-04-26;85404093
1986-04-27;85404093
1986-04-28;85671267
1986-04-29;85728492
1986-04-30;165002262
1986-05-01;165002262
1986-05-02;165002262
1986-05-03;165002262
1986-05-04;165002262
1986-05-05;165117559
1986-05-06;165584445
1986-05-07;165828991
1986-05-08;166112680
1986-05-09;208080668
1986-05-10;208080668
1986-05-11;208080668
1986-05-12;208434746
1986-05-13;208652139
1986-05-14;208509609
1986-05-15;208594025
1986-05-16;208726862
1986-05-17;208726862
1986-05-18;208726862
1986-05-19;209091910
1986-05-20;210095924
1986-05-21;210095924
1986-05-22;210751650
1986-05-23;211010731
1986-05-24;211010731
1986-05-25;211010731
1986-05-26;211489386
1986-05-27;211620734
1986-05-28;211753048
1986-05-29;212156720
1986-05-30;303360628
1986-05-31;303360628
1986-06-01;303360628
1986-06-02;304425568
1986-06-03;304737798
1986-06-04;305211953
1986-06-05;305594526
1986-06-06;305691400
1986-06-07;305691400
1986-06-08;305691400
1986-06-09;306212052
1986-06-10;355429117
1986-06-11;355641686
1986-06-12;356193176
1986-06-13;356495037
1986-06-14;356495037
