Fecha;A;B;C;D;E
2019-10-01;0;0;0;0;0
2019-10-02;0;0;500000000;0;0
2019-10-03;0;0;499267841;0;0
2019-10-04;0;0;500970814;0;0
2019-10-05;0;0;500970814;0;0
2019-10-06;0;0;500970814;0;0
2019-10-07;0;0;502237560;0;0
2019-10-08;0;0;503425741;0;0
2019-10-09;0;0;503988112;0;0
2019-10-10;0;0;521444141;0;0
2019-10-11;1041475;0;840458479;0;0
2019-10-12;1041475;0;840458479;0;0
2019-10-13;1041475;0;840458479;0;0
2019-10-14;1041297;0;854391711;0;0
2019-10-15;1056634;0;855053011;0;0
2019-10-16;1066432;0;857533637;0;0
2019-10-17;1075078;0;1319940818;0;1699950008
2019-10-18;1072283;0;1316440178;0;1700380199
2019-10-19;1072283;0;1316440178;0;1700380199
2019-10-20;1072283;0;1316440178;0;1700380199
2019-10-21;382509308;0;944457042;0;1697996289
2019-10-22;385049520;0;946826842;0;1693157119
2019-10-23;385632070;0;946063924;0;1686804752
2019-10-24;385391414;0;985421443;0;1687733132
2019-10-25;424512558;0;945960076;0;1694507083
2019-10-26;424512558;0;945960076;0;1694507083
2019-10-27;424512558;0;945960076;0;1694507083
2019-10-28;426025696;114050596;912133674;0;1694182596
2019-10-29;428083562;114606097;912823818;0;1687967337
2019-10-30;426947896;114381224;911692494;0;1680865260
2019-10-31;426947896;114381224;911692494;0;1680865260
2019-11-01;426947896;114381224;911692494;0;1680865260
2019-11-02;426947896;114381224;911692494;0;1680865260
2019-11-03;426947896;114381224;911692494;0;1680865260
2019-11-04;2058857082;1394597765;2789070661;595764227;4186600045
2019-11-05;2109654714;1406144859;2758285306;615209424;4173565604
2019-11-06;2125247427;1413181836;2767180665;615893795;4170230997
2019-11-07;2111695165;1405946501;3041514099;616202887;4177646041
2019-11-08;2366209108;1405239088;2791171638;617312573;4201847533
2019-11-09;2366209108;1405239088;2791171638;617312573;4201847533
2019-11-10;2366209108;1405239088;2791171638;617312573;4201847533
2019-11-11;2374444721;1412059699;2822748634;620910713;4228592491
2019-11-12;2396615726;1414272770;2832494647;622664329;4219782898
2019-11-13;2536886966;1452887369;2816641110;613081686;4129418020
2019-11-14;2577961963;1450086289;3108573468;603960011;3994462535
2019-11-15;4667493339;2429948034;4630731304;1128991797;5032186045
2019-11-16;4667493339;2429948034;4630731304;1128991797;5032186045
2019-11-17;4667493339;2429948034;4630731304;1128991797;5032186045
2019-11-18;4764140900;2595407249;4584995637;1167102034;5200778581
2019-11-19;4829163532;2589644816;4591472413;1128923745;5242326450
2019-11-20;4891945760;2767865620;4665454789;971116042;5219355876
2019-11-21;4942316594;2784714242;6776808458;958668151;5174950918
2019-11-22;4868504189;2835947235;6790854524;971863609;5147429453
2019-11-23;4868504189;2835947235;6790854524;971863609;5147429453
2019-11-24;4868504189;2835947235;6790854524;971863609;5147429453
2019-11-25;5020250744;2850720972;6777045048;974859490;5093113470
2019-11-26;5056544899;2886075635;6860907001;976731198;4994310384
2019-11-27;5192874170;2820589044;7003013222;981877441;4855640494
2019-11-28;5282275465;2918174559;7014622425;1004724023;4847478372
2019-11-29;5395674451;2920383961;7128161247;971004154;4839459431
2019-11-30;5395674451;2920383961;7128161247;971004154;4839459431
2019-12-01;5395674451;2920383961;7128161247;971004154;4839459431
2019-12-02;8064047948;4442920256;8015489643;1239776548;6502655808
2019-12-03;8014831840;4406521509;7935730780;1230092971;6486218021
2019-12-04;8029746280;4386674030;7906270752;1227003875;6446567254
2019-12-05;8042753050;4424025186;8101174612;1226609994;6292736869
2019-12-06;8088988256;4410962624;8044688447;1222427715;6261052556
2019-12-07;8088988256;4410962624;8044688447;1222427715;6261052556
2019-12-08;8088988256;4410962624;8044688447;1222427715;6261052556
2019-12-09;8197641694;4427010161;8024285791;1226753770;6269623075
2019-12-10;7756898798;4444717898;8000776290;1192213225;6685472521
2019-12-11;7749121554;4479575781;8121943361;1197782423;6733080416
2019-12-12;7827400292;4515410217;8482016703;1193017544;6708455031
2019-12-13;7886453122;4544178995;8656379546;1194055952;6746947638
2019-12-14;7886453122;4544178995;8656379546;1194055952;6746947638
2019-12-15;7886453122;4544178995;8656379546;1194055952;6746947638
2019-12-16;9992971222;6636791246;8074078951;2425258603;7935535760
2019-12-17;9862827607;6544871388;8575175303;2421608321;8103998168
2019-12-18;9837189797;6577321791;8736418288;2441469570;8200962843
2019-12-19;9881296198;6548359851;8810115336;2401058933;8181159428
2019-12-20;9400730724;6467824425;8705643068;2512416505;8753896480
2019-12-21;9400730724;6467824425;8705643068;2512416505;8753896480
2019-12-22;9400730724;6467824425;8705643068;2512416505;8753896480
2019-12-23;9348332233;6261975543;8633963248;2561071720;9074369477
2019-12-24;9178891507;6180805767;8612749182;2653744801;9352130507
2019-12-25;9178891507;6180805767;8612749182;2653744801;9352130507
2019-12-26;9160253736;6163850433;8495474695;2621227100;9499603779
2019-12-27;9135383998;6141027790;8488590918;2630897432;9504196998
2019-12-28;9135383998;6141027790;8488590918;2630897432;9504196998
2019-12-29;9135383998;6141027790;8488590918;2630897432;9504196998
2019-12-30;9002209233;6152000787;8585208919;2634089896;9645888618
2019-12-31;8902967458;6338475237;8497292733;2607159744;9681650217
2020-01-01;8902967458;6338475237;8497292733;2607159744;9681650217
2020-01-02;12478109292;7902834761;10205266079;3251292239;11651365150
2020-01-03;12647310616;7908593975;10309782623;3270632047;11824483556
2020-01-04;12647310616;7908593975;10309782623;3270632047;11824483556
2020-01-05;12647310616;7908593975;10309782623;3270632047;11824483556
2020-01-06;12663563216;7911938321;10202932153;3250749497;12166272625
2020-01-07;12799238708;7974777596;10238287845;3275110778;12208235274
2020-01-08;12941409776;7998735674;10365440524;3254005367;12120194845
2020-01-09;12791187388;7884125738;10462456254;3339991177;12198452533
2020-01-10;12910983564;7906498259;10558819478;3170211669;12253268465
2020-01-11;12910983564;7906498259;10558819478;3170211669;12253268465
2020-01-12;12910983564;7906498259;10558819478;3170211669;12253268465
2020-01-13;13021236153;8052862662;10571708107;3176826785;12372455666
2020-01-14;13094373038;8107911040;11162220972;3196769742;12614158852
2020-01-15;14697970869;8965978902;13819932130;3412755394;15101290334
2020-01-16;15007762212;9009752145;14081721438;3314562742;14819800437
2020-01-17;15201539772;9163586561;13982260282;3331296735;14726636322
2020-01-18;15201539772;9163586561;13982260282;3331296735;14726636322
2020-01-19;15201539772;9163586561;13982260282;3331296735;14726636322
2020-01-20;15345509929;9196282165;13843392906;3347460323;14766621180
2020-01-21;15463538798;9189781695;13866506215;3345307605;14713494717
2020-01-22;14702145670;8933181059;13774412433;3322146091;15517978169
2020-01-23;14420064972;8803883787;13681589229;3805241841;15480250077
2020-01-24;14065542245;8581361252;13785774536;4090185762;15616661899
2020-01-25;14065542245;8581361252;13785774536;4090185762;15616661899
2020-01-26;14065542245;8581361252;13785774536;4090185762;15616661899
2020-01-27;13989085917;8517168107;14902784920;4080557482;15818074270
2020-01-28;14018308168;9908690263;13805031588;4084646158;15496454146
2020-01-29;14023763172;9917062146;13843335983;4103743057;15537143603
2020-01-30;13870917869;10172038790;13272197510;4335568636;15738234823
2020-01-31;13825153025;10300563052;13325546107;4473082727;15557150998
2020-02-01;13825153025;10300563052;13325546107;4473082727;15557150998
2020-02-02;13825153025;10300563052;13325546107;4473082727;15557150998
2020-02-03;14588438075;10445458116;14020006019;4670674341;16334436886
2020-02-04;14414084284;10341442526;14023770706;4659628061;16354028326
2020-02-05;14504814105;10370991683;14138832680;4611265776;16383233676
2020-02-06;14789169451;10831365515;14194454773;5377270445;14992617256
2020-02-07;14887213513;10889181332;14319655591;5436689036;14956870466
2020-02-08;14887213513;10889181332;14319655591;5436689036;14956870466
2020-02-09;14887213513;10889181332;14319655591;5436689036;14956870466
2020-02-10;14969809771;10931391531;14487755756;5448941631;14952761516
2020-02-11;15049320602;11037536295;14668811377;5538596805;14912039198
2020-02-12;15139101261;11106909830;14992635773;5555353506;14894406390
2020-02-13;15188581388;11201312459;15651391000;5564595874;14904757564
2020-02-14;15402695224;11359767799;16194981475;5433158381;14760142066
2020-02-15;15402695224;11359767799;16194981475;5433158381;14760142066
2020-02-16;15402695224;11359767799;16194981475;5433158381;14760142066
2020-02-17;16386120420;11885362492;18206030134;5727601040;15976999934
2020-02-18;16428395587;11895496503;18244140302;5730193073;15941058635
2020-02-19;16428804556;11881503661;18339480338;5689275380;15772100359
2020-02-20;16484120071;12171028106;18321981527;5664488002;15751986235
2020-02-21;16533589004;12230759410;18881055424;5552926940;15671935411
2020-02-22;16533589004;12230759410;18881055424;5552926940;15671935411
2020-02-23;16533589004;12230759410;18881055424;5552926940;15671935411
2020-02-24;16563153967;12467027674;18460723455;5521851624;15556637354
2020-02-25;16175673970;12253474270;18407442730;5516382550;15617344912
2020-02-26;16049341455;12166576664;18374284600;5511629015;15593118147
2020-02-27;15878511954;12022579726;18104699245;5593440871;15673486715
2020-02-28;15553410119;11812907668;18151998535;5489453249;15572810234
2020-02-29;15553410119;11812907668;18151998535;5489453249;15572810234
2020-03-01;15553410119;11812907668;18151998535;5489453249;15572810234
2020-03-02;15844023935;11901927198;18852588752;5551705007;15970672770
2020-03-03;16053937729;12016115687;18995119508;5684797250;16012771243
2020-03-04;15913773355;12001616018;19006437709;5764828374;16112076789
2020-03-05;15897109138;12094525936;19278051009;5836841837;16664939507
2020-03-06;15873001748;12296873817;19400057748;5850350674;16634952700
2020-03-07;15873001748;12296873817;19400057748;5850350674;16634952700
2020-03-08;15873001748;12296873817;19400057748;5850350674;16634952700
2020-03-09;15773209341;12224454961;20311594111;5881571828;15640917837
2020-03-10;15015924715;11888041062;21106745578;5904114582;14857298405
2020-03-11;14928169614;11892001821;21737865912;5874174883;14540396445
2020-03-12;14719692339;11718348211;22059889159;5851704634;14376765405
2020-03-13;13652761437;11116825189;22103505824;5720608943;14345290030
2020-03-14;13652761437;11116825189;22103505824;5720608943;14345290030
2020-03-15;13652761437;11116825189;22103505824;5720608943;14345290030
2020-03-16;14004360048;11826225083;22896450261;5902041599;14889723147
2020-03-17;12974803646;11425822079;23563580050;5902285301;15302317437
2020-03-18;12689638094;11407912721;22945746314;6005842410;16439720287
2020-03-19;12068369890;11003554718;21567329472;5815876135;16870287971
2020-03-20;11920578678;10819356471;20521309943;5737448822;17543695824
2020-03-21;11920578678;10819356471;20521309943;5737448822;17543695824
2020-03-22;11920578678;10819356471;20521309943;5737448822;17543695824
2020-03-23;11773110901;10652849888;19890928603;5627402836;18247923663
2020-03-24;11138955337;10434926628;19117950738;5600189943;18953342189
2020-03-25;10906247025;10319820021;19041990419;5687759765;19850090927
2020-03-26;10768208204;10562756875;18632804188;5769995458;20949512737
2020-03-27;10538034426;10672508511;18640050749;5775269769;22113451760
2020-03-28;10538034426;10672508511;18640050749;5775269769;22113451760
2020-03-29;10538034426;10672508511;18640050749;5775269769;22113451760
2020-03-30;10904711479;10636140238;18169664711;5732325930;21901660631
2020-03-31;11602032503;10775793617;18148751607;5732822661;21448047808
2020-04-01;12385557524;11350118277;18658012221;5802567345;21331297719
2020-04-02;12789625941;11201773688;18548272217;5894264963;21125562624
2020-04-03;12979300975;11306638343;18601709262;5908742440;21193580104
2020-04-04;12979300975;11306638343;18601709262;5908742440;21193580104
2020-04-05;12979300975;11306638343;18601709262;5908742440;21193580104
2020-04-06;12996754831;11302077469;18530231341;6033231998;21156808412
