Fecha,C
1998-10-01,6904.04
1998-10-02,6966.39
1998-10-03,6966.39
1998-10-04,6966.39
1998-10-05,6985.0
1998-10-06,7002.28
1998-10-07,7028.49
1998-10-08,7045.98
1998-10-09,7047.44
1998-10-10,7047.44
1998-10-11,7047.44
1998-10-12,7047.44
1998-10-13,7102.42
1998-10-14,7132.65
1998-10-15,7150.16
1998-10-16,7159.85
1998-10-17,7159.85
1998-10-18,7159.85
1998-10-19,7188.11
1998-10-20,7207.26
1998-10-21,7211.56
1998-10-22,7227.4
1998-10-23,7226.9
1998-10-24,7226.9
1998-10-25,7226.9
1998-10-26,7234.04
1998-10-27,7251.61
1998-10-28,7255.94
1998-10-29,7269.98
1998-10-30,7286.73
1998-10-31,7286.73
1998-11-01,7286.73
1998-11-02,7311.73
1998-11-03,7327.68
1998-11-04,7355.98
1998-11-05,7408.15
1998-11-06,7424.83
1998-11-07,7424.83
1998-11-08,7424.83
1998-11-09,7458.47
1998-11-10,7472.05
1998-11-11,7495.98
1998-11-12,7533.79
1998-11-13,7556.11
1998-11-14,7556.11
1998-11-15,7556.11
1998-11-16,7579.69
1998-11-17,7592.43
1998-11-18,7590.26
1998-11-19,7597.83
1998-11-20,7609.0
1998-11-21,7609.0
1998-11-22,7609.0
1998-11-23,7622.04
1998-11-24,7634.15
1998-11-25,7647.07
1998-11-26,7663.9
1998-11-27,7661.55
1998-11-28,7661.55
1998-11-29,7661.55
1998-11-30,7682.61
1998-12-01,7689.3
1998-12-02,7699.75
1998-12-03,7692.22
1998-12-04,7686.7
1998-12-05,7686.7
1998-12-06,7686.7
1998-12-07,7684.17
1998-12-08,7684.17
1998-12-09,7673.44
1998-12-10,7667.41
1998-12-11,7663.2
1998-12-12,7663.2
1998-12-13,7663.2
1998-12-14,7655.76
1998-12-15,7634.49
1998-12-16,7612.46
1998-12-17,7594.61
1998-12-18,7577.15
1998-12-19,7577.15
1998-12-20,7577.15
1998-12-21,7581.69
1998-12-22,7608.97
1998-12-23,7618.65
1998-12-24,7649.78
1998-12-25,7649.78
1998-12-26,7649.78
1998-12-27,7649.78
1998-12-28,7655.34
1998-12-29,7659.95
1998-12-30,7664.28
1998-12-31,7666.71
