Fecha,C
1994-01-01,4900.0
1994-01-02,4900.0
1994-01-03,4900.0
1994-01-04,4900.0
1994-01-05,4900.0
1994-01-06,4900.0
1994-01-07,4900.0
1994-01-08,4900.0
1994-01-09,4900.0
1994-01-10,4900.0
1994-01-11,4900.0
1994-01-12,4900.0
1994-01-13,4900.0
1994-01-14,4900.0
1994-01-15,4900.0
1994-01-16,4900.0
1994-01-17,4900.0
1994-01-18,4900.0
1994-01-19,4900.0
1994-01-20,4900.0
1994-01-21,4900.0
1994-01-22,4900.0
1994-01-23,4900.0
1994-01-24,4900.0
1994-01-25,4900.0
1994-01-26,4900.0
1994-01-27,4900.0
1994-01-28,4900.0
1994-01-29,4900.0
1994-01-30,4900.0
1994-01-31,4900.0
1994-02-01,4900.0
1994-02-02,4900.0
1994-02-03,4900.0
1994-02-04,4900.0
1994-02-05,4900.0
1994-02-06,4900.0
1994-02-07,4900.0
1994-02-08,4900.0
1994-02-09,4900.0
1994-02-10,4900.0
1994-02-11,4900.0
1994-02-12,4900.0
1994-02-13,4900.0
1994-02-14,4900.0
1994-02-15,4900.0
1994-02-16,4900.0
1994-02-17,4900.0
1994-02-18,4900.0
1994-02-19,4900.0
1994-02-20,4900.0
1994-02-21,4900.0
1994-02-22,4900.0
1994-02-23,4900.0
1994-02-24,4900.0
1994-02-25,4900.0
1994-02-26,4900.0
1994-02-27,4900.0
1994-02-28,4900.0
1994-03-01,4900.0
1994-03-02,4900.0
1994-03-03,4900.0
1994-03-04,4900.0
1994-03-05,4900.0
1994-03-06,4900.0
1994-03-07,4900.0
1994-03-08,4900.0
1994-03-09,4900.0
1994-03-10,4900.0
1994-03-11,4900.0
1994-03-12,4900.0
1994-03-13,4900.0
1994-03-14,4900.0
1994-03-15,4900.0
1994-03-16,4900.0
1994-03-17,4900.0
1994-03-18,4900.0
1994-03-19,4900.0
1994-03-20,4900.0
1994-03-21,4900.0
1994-03-22,4900.0
1994-03-23,4900.0
1994-03-24,4900.0
1994-03-25,4900.0
1994-03-26,4900.0
1994-03-27,4900.0
1994-03-28,4900.0
1994-03-29,4900.0
1994-03-30,4900.0
1994-03-31,4900.0
1994-04-01,4900.0
1994-04-02,4900.0
1994-04-03,4900.0
1994-04-04,4900.0
1994-04-05,4903.43
1994-04-06,4904.41
1994-04-07,4904.41
1994-04-08,4906.37
1994-04-09,4906.37
1994-04-10,4906.37
1994-04-11,4907.51
1994-04-12,4908.36
1994-04-13,4907.66
1994-04-14,4912.79
1994-04-15,4917.13
1994-04-16,4917.13
1994-04-17,4917.13
1994-04-18,4924.13
1994-04-19,4935.7
1994-04-20,4938.8
1994-04-21,4947.56
1994-04-22,4948.03
1994-04-23,4948.03
1994-04-24,4948.03
1994-04-25,4945.75
1994-04-26,4957.12
1994-04-27,4957.79
1994-04-28,4957.79
1994-04-29,4966.39
1994-04-30,4966.39
1994-05-01,4966.39
1994-05-02,4972.45
1994-05-03,4973.52
1994-05-04,4976.59
1994-05-05,4981.75
1994-05-06,4988.42
1994-05-07,4988.42
1994-05-08,4988.42
1994-05-09,4997.91
1994-05-10,4996.87
1994-05-11,4997.8
1994-05-12,5000.3
1994-05-13,4994.23
1994-05-14,4994.23
1994-05-15,4994.23
1994-05-16,4991.91
1994-05-17,4991.6
1994-05-18,4989.46
1994-05-19,5003.66
1994-05-20,5015.25
1994-05-21,5015.25
1994-05-22,5015.25
1994-05-23,5030.92
1994-05-24,5038.17
1994-05-25,5049.69
1994-05-26,5065.21
1994-05-27,5066.3
1994-05-28,5066.3
1994-05-29,5066.3
1994-05-30,5075.96
1994-05-31,5088.26
1994-06-01,5095.39
1994-06-02,5095.39
1994-06-03,5105.68
1994-06-04,5105.68
1994-06-05,5105.68
1994-06-06,5114.16
1994-06-07,5120.39
1994-06-08,5126.86
1994-06-09,5137.28
1994-06-10,5144.48
1994-06-11,5144.48
1994-06-12,5144.48
1994-06-13,5153.22
1994-06-14,5155.25
1994-06-15,5162.64
1994-06-16,5174.47
1994-06-17,5182.03
1994-06-18,5182.03
1994-06-19,5182.03
1994-06-20,5193.12
1994-06-21,5189.38
1994-06-22,5186.85
1994-06-23,5177.51
1994-06-24,5177.29
1994-06-25,5177.29
1994-06-26,5177.29
1994-06-27,5184.42
1994-06-28,5186.47
1994-06-29,5186.47
1994-06-30,5184.46
1994-07-01,5172.02
1994-07-02,5172.02
1994-07-03,5172.02
1994-07-04,5165.11
1994-07-05,5158.72
1994-07-06,5155.72
1994-07-07,5153.13
1994-07-08,5154.96
1994-07-09,5154.96
1994-07-10,5154.96
1994-07-11,5142.26
1994-07-12,5131.71
1994-07-13,5128.2
1994-07-14,5128.26
1994-07-15,5131.63
1994-07-16,5131.63
1994-07-17,5131.63
1994-07-18,5136.67
1994-07-19,5135.5
1994-07-20,5140.44
1994-07-21,5137.1
1994-07-22,5140.48
1994-07-23,5140.48
1994-07-24,5140.48
1994-07-25,5139.61
1994-07-26,5137.46
1994-07-27,5140.63
1994-07-28,5134.19
1994-07-29,5135.08
1994-07-30,5135.08
1994-07-31,5135.08
1994-08-01,5139.83
1994-08-02,5137.95
1994-08-03,5139.61
1994-08-04,5151.52
1994-08-05,5165.44
1994-08-06,5165.44
1994-08-07,5165.44
1994-08-08,5169.82
1994-08-09,5183.88
1994-08-10,5193.42
1994-08-11,5215.04
1994-08-12,5225.73
1994-08-13,5225.73
1994-08-14,5225.73
1994-08-15,5225.73
1994-08-16,5238.68
1994-08-17,5242.41
1994-08-18,5248.15
1994-08-19,5251.56
1994-08-20,5251.56
1994-08-21,5251.56
1994-08-22,5253.85
1994-08-23,5259.65
1994-08-24,5266.07
1994-08-25,5270.97
1994-08-26,5282.58
1994-08-27,5282.58
1994-08-28,5282.58
1994-08-29,5298.75
1994-08-30,5303.7
1994-08-31,5313.91
1994-09-01,5326.29
1994-09-02,5336.34
1994-09-03,5336.34
1994-09-04,5336.34
1994-09-05,5343.31
1994-09-06,5344.71
1994-09-07,5348.03
1994-09-08,5349.51
1994-09-09,5351.77
1994-09-10,5351.77
1994-09-11,5351.77
1994-09-12,5360.43
1994-09-13,5358.41
1994-09-14,5358.04
1994-09-15,5357.93
1994-09-16,5361.65
1994-09-17,5361.65
1994-09-18,5361.65
1994-09-19,5361.65
1994-09-20,5372.01
1994-09-21,5380.61
1994-09-22,5386.11
1994-09-23,5391.47
1994-09-24,5391.47
1994-09-25,5391.47
1994-09-26,5400.67
1994-09-27,5411.52
1994-09-28,5418.75
1994-09-29,5433.75
1994-09-30,5447.72
1994-10-01,5447.72
1994-10-02,5447.72
1994-10-03,5471.37
1994-10-04,5478.64
1994-10-05,5492.1
1994-10-06,5501.23
1994-10-07,5513.54
1994-10-08,5513.54
1994-10-09,5513.54
1994-10-10,5527.1
1994-10-11,5534.85
1994-10-12,5534.85
1994-10-13,5547.54
1994-10-14,5568.83
1994-10-15,5568.83
1994-10-16,5568.83
1994-10-17,5584.91
1994-10-18,5609.27
1994-10-19,5623.14
1994-10-20,5642.53
1994-10-21,5659.37
1994-10-22,5659.37
1994-10-23,5659.37
1994-10-24,5671.76
1994-10-25,5693.29
1994-10-26,5699.97
1994-10-27,5707.07
1994-10-28,5710.63
1994-10-29,5710.63
1994-10-30,5710.63
1994-10-31,5713.47
1994-11-01,5713.47
1994-11-02,5714.41
1994-11-03,5709.46
1994-11-04,5701.24
1994-11-05,5701.24
1994-11-06,5701.24
1994-11-07,5695.08
1994-11-08,5690.98
1994-11-09,5687.51
1994-11-10,5687.45
1994-11-11,5693.55
1994-11-12,5693.55
1994-11-13,5693.55
1994-11-14,5697.45
1994-11-15,5696.17
1994-11-16,5694.18
1994-11-17,5692.28
1994-11-18,5695.24
1994-11-19,5695.24
1994-11-20,5695.24
1994-11-21,5700.73
1994-11-22,5704.51
1994-11-23,5701.11
1994-11-24,5690.79
1994-11-25,5681.5
1994-11-26,5681.5
1994-11-27,5681.5
1994-11-28,5682.99
1994-11-29,5676.32
1994-11-30,5670.79
1994-12-01,5672.92
1994-12-02,5671.58
1994-12-03,5671.58
1994-12-04,5671.58
1994-12-05,5670.63
1994-12-06,5667.21
1994-12-07,5666.74
1994-12-08,5666.74
1994-12-09,5671.72
1994-12-10,5671.72
1994-12-11,5671.72
1994-12-12,5683.92
1994-12-13,5685.85
1994-12-14,5686.87
1994-12-15,5688.11
1994-12-16,5681.63
1994-12-17,5681.63
1994-12-18,5681.63
1994-12-19,5686.67
1994-12-20,5687.33
1994-12-21,5688.61
1994-12-22,5680.72
1994-12-23,5665.76
1994-12-24,5665.76
1994-12-25,5665.76
1994-12-26,5660.62
1994-12-27,5660.41
1994-12-28,5657.08
1994-12-29,5649.8
1994-12-30,5644.02
1994-12-31,5644.02
1995-01-01,5644.02
1995-01-02,5645.95
1995-01-03,5638.13
1995-01-04,5634.79
1995-01-05,5630.74
1995-01-06,5630.42
1995-01-07,5630.42
1995-01-08,5630.42
1995-01-09,5625.96
1995-01-10,5617.49
1995-01-11,5594.18
1995-01-12,5556.71
1995-01-13,5549.52
1995-01-14,5549.52
1995-01-15,5549.52
1995-01-16,5550.28
1995-01-17,5555.89
1995-01-18,5559.4
1995-01-19,5557.94
1995-01-20,5555.42
1995-01-21,5555.42
1995-01-22,5555.42
1995-01-23,5549.55
1995-01-24,5544.2
1995-01-25,5548.21
1995-01-26,5563.86
1995-01-27,5567.35
1995-01-28,5567.35
1995-01-29,5567.35
1995-01-30,5566.58
1995-01-31,5549.44
1995-02-01,5532.99
1995-02-02,5533.69
1995-02-03,5533.23
1995-02-04,5533.23
1995-02-05,5533.23
1995-02-06,5540.9
1995-02-07,5543.82
1995-02-08,5544.27
1995-02-09,5542.84
1995-02-10,5542.4
1995-02-11,5542.4
1995-02-12,5542.4
1995-02-13,5542.16
1995-02-14,5540.57
1995-02-15,5538.43
1995-02-16,5523.66
1995-02-17,5497.9
1995-02-18,5497.9
1995-02-19,5497.9
1995-02-20,5486.8
1995-02-21,5473.65
1995-02-22,5472.08
1995-02-23,5470.73
1995-02-24,5473.29
1995-02-25,5473.29
1995-02-26,5473.29
1995-02-27,5484.09
1995-02-28,5487.11
1995-03-01,5483.42
1995-03-02,5488.4
1995-03-03,5489.61
1995-03-04,5489.61
1995-03-05,5489.61
1995-03-06,5487.21
1995-03-07,5477.21
1995-03-08,5462.51
1995-03-09,5436.87
1995-03-10,5402.22
1995-03-11,5402.22
1995-03-12,5402.22
1995-03-13,5369.64
1995-03-14,5363.25
1995-03-15,5365.78
1995-03-16,5370.68
1995-03-17,5370.25
1995-03-18,5370.25
1995-03-19,5370.25
1995-03-20,5375.76
1995-03-21,5370.55
1995-03-22,5374.14
1995-03-23,5383.9
1995-03-24,5405.08
1995-03-25,5405.08
1995-03-26,5405.08
1995-03-27,5447.02
1995-03-28,5466.34
1995-03-29,5468.1
1995-03-30,5473.69
1995-03-31,5487.48
1995-04-01,5487.48
1995-04-02,5487.48
1995-04-03,5491.2
1995-04-04,5495.18
1995-04-05,5506.09
1995-04-06,5509.74
1995-04-07,5528.48
1995-04-08,5528.48
1995-04-09,5528.48
1995-04-10,5541.02
1995-04-11,5541.3
1995-04-12,5547.46
1995-04-13,5557.52
1995-04-14,5557.52
1995-04-15,5557.52
1995-04-16,5557.52
1995-04-17,5567.86
1995-04-18,5568.52
1995-04-19,5575.15
1995-04-20,5582.24
1995-04-21,5575.78
1995-04-22,5575.78
1995-04-23,5575.78
1995-04-24,5575.77
1995-04-25,5585.72
1995-04-26,5601.43
1995-04-27,5614.3
1995-04-28,5629.11
1995-04-29,5629.11
1995-04-30,5629.11
1995-05-01,5629.11
1995-05-02,5631.57
1995-05-03,5632.24
1995-05-04,5640.26
1995-05-05,5655.64
1995-05-06,5655.64
1995-05-07,5655.64
1995-05-08,5667.89
1995-05-09,5682.79
1995-05-10,5691.58
1995-05-11,5705.41
1995-05-12,5718.55
1995-05-13,5718.55
1995-05-14,5718.55
1995-05-15,5732.21
1995-05-16,5747.75
1995-05-17,5753.66
1995-05-18,5762.74
1995-05-19,5791.07
1995-05-20,5791.07
1995-05-21,5791.07
1995-05-22,5807.67
1995-05-23,5816.75
1995-05-24,5826.42
1995-05-25,5835.05
1995-05-26,5834.31
1995-05-27,5834.31
1995-05-28,5834.31
1995-05-29,5836.52
1995-05-30,5863.39
1995-05-31,5866.74
1995-06-01,5870.89
1995-06-02,5862.41
1995-06-03,5862.41
1995-06-04,5862.41
1995-06-05,5861.29
1995-06-06,5865.99
1995-06-07,5879.69
1995-06-08,5884.49
1995-06-09,5883.35
1995-06-10,5883.35
1995-06-11,5883.35
1995-06-12,5887.22
1995-06-13,5885.41
1995-06-14,5884.95
1995-06-15,5884.95
1995-06-16,5883.08
1995-06-17,5883.08
1995-06-18,5883.08
1995-06-19,5880.59
1995-06-20,5873.21
1995-06-21,5863.67
1995-06-22,5848.71
1995-06-23,5840.43
1995-06-24,5840.43
1995-06-25,5840.43
1995-06-26,5842.13
1995-06-27,5856.08
1995-06-28,5859.21
1995-06-29,5859.21
1995-06-30,5864.85
1995-07-01,5864.85
1995-07-02,5864.85
1995-07-03,5887.12
1995-07-04,5896.08
1995-07-05,5897.28
1995-07-06,5908.67
1995-07-07,5921.81
1995-07-08,5921.81
1995-07-09,5921.81
1995-07-10,5945.74
1995-07-11,5959.1
1995-07-12,5986.51
1995-07-13,5999.73
1995-07-14,6008.89
1995-07-15,6008.89
1995-07-16,6008.89
1995-07-17,6018.2
1995-07-18,6022.97
1995-07-19,6022.79
1995-07-20,6030.95
1995-07-21,6030.59
1995-07-22,6030.59
1995-07-23,6030.59
1995-07-24,6032.63
1995-07-25,6023.16
1995-07-26,5997.26
1995-07-27,5973.97
1995-07-28,5952.59
1995-07-29,5952.59
1995-07-30,5952.59
1995-07-31,5946.15
1995-08-01,5937.23
1995-08-02,5928.33
1995-08-03,5924.91
1995-08-04,5918.01
1995-08-05,5918.01
1995-08-06,5918.01
1995-08-07,5911.15
1995-08-08,5905.4
1995-08-09,5901.31
1995-08-10,5889.59
1995-08-11,5871.55
1995-08-12,5871.55
1995-08-13,5871.55
1995-08-14,5855.7
1995-08-15,5855.7
1995-08-16,5831.04
1995-08-17,5799.85
1995-08-18,5785.41
1995-08-19,5785.41
1995-08-20,5785.41
1995-08-21,5794.17
1995-08-22,5799.7
1995-08-23,5808.33
1995-08-24,5801.1
1995-08-25,5795.14
1995-08-26,5795.14
1995-08-27,5795.14
1995-08-28,5795.24
1995-08-29,5790.99
1995-08-30,5790.66
1995-08-31,5795.07
1995-09-01,5797.96
1995-09-02,5797.96
1995-09-03,5797.96
1995-09-04,5796.7
1995-09-05,5787.0
1995-09-06,5785.38
1995-09-07,5777.44
1995-09-08,5783.1
1995-09-09,5783.1
1995-09-10,5783.1
1995-09-11,5783.1
1995-09-12,5790.78
1995-09-13,5790.4
1995-09-14,5793.79
1995-09-15,5789.78
1995-09-16,5789.78
1995-09-17,5789.78
1995-09-18,5789.78
1995-09-19,5789.78
1995-09-20,5797.83
1995-09-21,5791.77
1995-09-22,5791.02
1995-09-23,5791.02
1995-09-24,5791.02
1995-09-25,5799.22
1995-09-26,5792.34
1995-09-27,5786.48
1995-09-28,5773.61
1995-09-29,5768.86
1995-09-30,5768.86
1995-10-01,5768.86
1995-10-02,5769.98
1995-10-03,5772.49
1995-10-04,5773.16
1995-10-05,5776.87
1995-10-06,5775.89
1995-10-07,5775.89
1995-10-08,5775.89
1995-10-09,5786.39
1995-10-10,5786.03
1995-10-11,5788.71
1995-10-12,5788.71
1995-10-13,5797.04
1995-10-14,5797.04
1995-10-15,5797.04
1995-10-16,5807.7
1995-10-17,5810.82
1995-10-18,5819.38
1995-10-19,5830.33
1995-10-20,5827.05
1995-10-21,5827.05
1995-10-22,5827.05
1995-10-23,5833.14
1995-10-24,5842.85
1995-10-25,5856.83
1995-10-26,5867.24
1995-10-27,5869.75
1995-10-28,5869.75
1995-10-29,5869.75
1995-10-30,5879.24
1995-10-31,5885.36
1995-11-01,5885.36
1995-11-02,5885.76
1995-11-03,5889.39
1995-11-04,5889.39
1995-11-05,5889.39
1995-11-06,5882.58
1995-11-07,5881.27
1995-11-08,5884.77
1995-11-09,5879.14
1995-11-10,5863.24
1995-11-11,5863.24
1995-11-12,5863.24
1995-11-13,5855.02
1995-11-14,5858.95
1995-11-15,5855.67
1995-11-16,5855.38
1995-11-17,5850.77
1995-11-18,5850.77
1995-11-19,5850.77
1995-11-20,5850.52
1995-11-21,5858.23
1995-11-22,5853.2
1995-11-23,5856.13
1995-11-24,5853.41
1995-11-25,5853.41
1995-11-26,5853.41
1995-11-27,5855.18
1995-11-28,5857.22
1995-11-29,5838.1
1995-11-30,5841.74
1995-12-01,5848.29
1995-12-02,5848.29
1995-12-03,5848.29
1995-12-04,5853.95
1995-12-05,5873.87
1995-12-06,5882.17
1995-12-07,5893.51
1995-12-08,5893.51
1995-12-09,5893.51
1995-12-10,5893.51
1995-12-11,5906.96
1995-12-12,5911.27
1995-12-13,5919.97
1995-12-14,5937.0
1995-12-15,5951.78
1995-12-16,5951.78
1995-12-17,5951.78
1995-12-18,5967.21
1995-12-19,5973.74
1995-12-20,5980.24
1995-12-21,5992.85
1995-12-22,6001.77
1995-12-23,6001.77
1995-12-24,6001.77
1995-12-25,6001.77
1995-12-26,6012.98
1995-12-27,6022.06
1995-12-28,6029.09
1995-12-29,6037.13
1995-12-30,6037.13
1995-12-31,6037.13
1996-01-01,6037.13
1996-01-02,6036.32
1996-01-03,6040.24
1996-01-04,6051.02
1996-01-05,6054.66
1996-01-06,6054.66
1996-01-07,6054.66
1996-01-08,6052.82
1996-01-09,6053.5
1996-01-10,6054.89
1996-01-11,6056.06
1996-01-12,6058.03
1996-01-13,6058.03
1996-01-14,6058.03
1996-01-15,6064.02
1996-01-16,6068.36
1996-01-17,6070.27
1996-01-18,6075.45
1996-01-19,6084.02
1996-01-20,6084.02
1996-01-21,6084.02
1996-01-22,6082.79
1996-01-23,6076.82
1996-01-24,6067.09
1996-01-25,6064.64
1996-01-26,6064.46
1996-01-27,6064.46
1996-01-28,6064.46
1996-01-29,6063.07
1996-01-30,6053.81
1996-01-31,6053.19
1996-02-01,6052.69
1996-02-02,6051.2
1996-02-03,6051.2
1996-02-04,6051.2
1996-02-05,6052.58
1996-02-06,6049.31
1996-02-07,6051.68
1996-02-08,6054.14
1996-02-09,6054.7
1996-02-10,6054.7
1996-02-11,6054.7
1996-02-12,6058.24
1996-02-13,6065.72
1996-02-14,6066.73
1996-02-15,6070.18
1996-02-16,6072.68
1996-02-17,6072.68
1996-02-18,6072.68
1996-02-19,6069.43
1996-02-20,6062.9
1996-02-21,6056.74
1996-02-22,6057.11
1996-02-23,6057.46
1996-02-24,6057.46
1996-02-25,6057.46
1996-02-26,6058.89
1996-02-27,6058.7
1996-02-28,6056.3
1996-02-29,6065.07
1996-03-01,6067.67
1996-03-02,6067.67
1996-03-03,6067.67
1996-03-04,6073.95
1996-03-05,6078.41
1996-03-06,6086.58
1996-03-07,6092.79
1996-03-08,6091.12
1996-03-09,6091.12
1996-03-10,6091.12
1996-03-11,6090.68
1996-03-12,6087.62
1996-03-13,6084.29
1996-03-14,6084.2
1996-03-15,6087.79
1996-03-16,6087.79
1996-03-17,6087.79
1996-03-18,6081.17
1996-03-19,6081.83
1996-03-20,6080.88
1996-03-21,6076.6
1996-03-22,6077.28
1996-03-23,6077.28
1996-03-24,6077.28
1996-03-25,6079.5
1996-03-26,6082.29
1996-03-27,6078.66
1996-03-28,6073.22
1996-03-29,6070.96
1996-03-30,6070.96
1996-03-31,6070.96
1996-04-01,6066.93
1996-04-02,6063.47
1996-04-03,6057.89
1996-04-04,6054.73
1996-04-05,6054.73
1996-04-06,6054.73
1996-04-07,6054.73
1996-04-08,6053.89
1996-04-09,6040.09
1996-04-10,6039.54
1996-04-11,6038.42
1996-04-12,6038.66
1996-04-13,6038.66
1996-04-14,6038.66
1996-04-15,6044.23
1996-04-16,6042.91
1996-04-17,6045.16
1996-04-18,6056.69
1996-04-19,6066.56
1996-04-20,6066.56
1996-04-21,6066.56
1996-04-22,6082.55
1996-04-23,6097.91
1996-04-24,6112.32
1996-04-25,6125.57
1996-04-26,6134.19
1996-04-27,6134.19
1996-04-28,6134.19
1996-04-29,6143.9
1996-04-30,6156.82
1996-05-01,6156.82
1996-05-02,6161.87
1996-05-03,6175.34
1996-05-04,6175.34
1996-05-05,6175.34
1996-05-06,6194.03
1996-05-07,6200.45
1996-05-08,6207.91
1996-05-09,6213.61
1996-05-10,6230.36
1996-05-11,6230.36
1996-05-12,6230.36
1996-05-13,6244.54
1996-05-14,6251.37
1996-05-15,6249.22
1996-05-16,6265.81
1996-05-17,6269.62
1996-05-18,6269.62
1996-05-19,6269.62
1996-05-20,6273.42
1996-05-21,6273.42
1996-05-22,6278.71
1996-05-23,6279.27
1996-05-24,6278.07
1996-05-25,6278.07
1996-05-26,6278.07
1996-05-27,6274.42
1996-05-28,6268.99
1996-05-29,6263.49
1996-05-30,6260.04
1996-05-31,6250.29
1996-06-01,6250.29
1996-06-02,6250.29
1996-06-03,6250.28
1996-06-04,6242.21
1996-06-05,6237.7
1996-06-06,6237.7
1996-06-07,6232.15
1996-06-08,6232.15
1996-06-09,6232.15
1996-06-10,6233.3
1996-06-11,6226.71
1996-06-12,6232.97
1996-06-13,6234.02
1996-06-14,6259.01
1996-06-15,6259.01
1996-06-16,6259.01
1996-06-17,6274.17
1996-06-18,6279.27
1996-06-19,6287.19
1996-06-20,6301.64
1996-06-21,6313.32
1996-06-22,6313.32
1996-06-23,6313.32
1996-06-24,6327.76
1996-06-25,6332.08
1996-06-26,6337.82
1996-06-27,6346.63
1996-06-28,6353.57
1996-06-29,6353.57
1996-06-30,6353.57
1996-07-01,6357.36
1996-07-02,6363.5
1996-07-03,6377.23
1996-07-04,6389.92
1996-07-05,6403.02
1996-07-06,6403.02
1996-07-07,6403.02
1996-07-08,6413.01
1996-07-09,6416.75
1996-07-10,6422.64
