Fecha,C
1992-01-01,0.0
1992-01-02,3500.0
1992-01-03,3500.0
1992-01-04,3500.0
1992-01-05,3500.0
1992-01-06,3500.0
1992-01-07,3500.0
1992-01-08,3500.0
1992-01-09,3500.0
1992-01-10,3500.0
1992-01-11,3500.0
1992-01-12,3500.0
1992-01-13,3500.0
1992-01-14,3500.0
1992-01-15,3500.0
1992-01-16,3500.0
1992-01-17,3500.0
1992-01-18,3500.0
1992-01-19,3500.0
1992-01-20,3500.0
1992-01-21,3500.0
1992-01-22,3500.0
1992-01-23,3500.0
1992-01-24,3500.0
1992-01-25,3500.0
1992-01-26,3500.0
1992-01-27,3500.0
1992-01-28,3500.0
1992-01-29,3500.0
1992-01-30,3500.0
1992-01-31,3500.0
1992-02-01,3500.0
1992-02-02,3500.0
1992-02-03,3500.0
1992-02-04,3500.0
1992-02-05,3500.0
1992-02-06,3500.0
1992-02-07,3500.0
1992-02-08,3500.0
1992-02-09,3500.0
1992-02-10,3500.0
1992-02-11,3500.0
1992-02-12,3500.0
1992-02-13,3500.0
1992-02-14,3500.0
1992-02-15,3500.0
1992-02-16,3500.0
1992-02-17,3500.0
1992-02-18,3500.0
1992-02-19,3507.76
1992-02-20,3509.06
1992-02-21,3510.34
1992-02-22,3510.34
1992-02-23,3510.34
1992-02-24,3517.98
1992-02-25,3519.37
1992-02-26,3515.25
1992-02-27,3514.37
1992-02-28,3516.11
1992-02-29,3516.11
1992-03-01,3516.11
1992-03-02,3520.1
1992-03-03,3521.42
1992-03-04,3522.75
1992-03-05,3524.06
1992-03-06,3525.38
1992-03-07,3525.38
1992-03-08,3525.38
1992-03-09,3529.34
1992-03-10,3530.55
1992-03-11,3531.75
1992-03-12,3533.58
1992-03-13,3542.53
1992-03-14,3542.53
1992-03-15,3542.53
1992-03-16,3545.86
1992-03-17,3546.1
1992-03-18,3545.77
1992-03-19,3545.07
1992-03-20,3551.13
1992-03-21,3551.13
1992-03-22,3551.13
1992-03-23,3552.29
1992-03-24,3552.41
1992-03-25,3553.48
1992-03-26,3555.45
1992-03-27,3554.81
1992-03-28,3554.81
1992-03-29,3554.81
1992-03-30,3557.77
1992-03-31,3562.86
1992-04-01,3562.82
1992-04-02,3562.81
1992-04-03,3564.52
1992-04-04,3564.52
1992-04-05,3564.52
1992-04-06,3559.78
1992-04-07,3558.46
1992-04-08,3556.11
1992-04-09,3557.9
1992-04-10,3586.09
1992-04-11,3586.09
1992-04-12,3586.09
1992-04-13,3586.86
1992-04-14,3587.08
1992-04-15,3588.36
1992-04-16,3589.68
1992-04-17,3589.68
1992-04-18,3589.68
1992-04-19,3589.68
1992-04-20,3594.86
1992-04-21,3595.25
1992-04-22,3595.25
1992-04-23,3597.93
1992-04-24,3598.72
1992-04-25,3598.72
1992-04-26,3598.72
1992-04-27,3603.64
1992-04-28,3608.8
1992-04-29,3604.29
1992-04-30,3605.29
1992-05-01,3605.29
1992-05-02,3605.29
1992-05-03,3605.29
1992-05-04,3609.5
1992-05-05,3613.19
1992-05-06,3613.86
1992-05-07,3613.8
1992-05-08,3614.65
1992-05-09,3614.65
1992-05-10,3614.65
1992-05-11,3621.82
1992-05-12,3623.3
1992-05-13,3625.46
1992-05-14,3627.61
1992-05-15,3628.58
1992-05-16,3628.58
1992-05-17,3628.58
1992-05-18,3635.42
1992-05-19,3637.41
1992-05-20,3638.82
1992-05-21,3638.82
1992-05-22,3643.88
1992-05-23,3643.88
1992-05-24,3643.88
1992-05-25,3650.66
1992-05-26,3656.67
1992-05-27,3659.41
1992-05-28,3661.02
1992-05-29,3662.91
1992-05-30,3662.91
1992-05-31,3662.91
1992-06-01,3671.33
1992-06-02,3672.58
1992-06-03,3673.71
1992-06-04,3677.25
1992-06-05,3682.8
1992-06-06,3682.8
1992-06-07,3682.8
1992-06-08,3691.58
1992-06-09,3693.93
1992-06-10,3692.55
1992-06-11,3696.24
1992-06-12,3700.68
1992-06-13,3700.68
1992-06-14,3700.68
1992-06-15,3709.85
1992-06-16,3711.7
1992-06-17,3712.28
1992-06-18,3712.28
1992-06-19,3719.86
1992-06-20,3719.86
1992-06-21,3719.86
1992-06-22,3726.6
1992-06-23,3728.23
1992-06-24,3729.31
1992-06-25,3728.84
1992-06-26,3739.33
1992-06-27,3739.33
1992-06-28,3739.33
1992-06-29,3739.33
1992-06-30,3740.69
1992-07-01,3739.4
1992-07-02,3741.92
1992-07-03,3750.17
1992-07-04,3750.17
1992-07-05,3750.17
1992-07-06,3755.97
1992-07-07,3751.92
1992-07-08,3754.67
1992-07-09,3759.71
1992-07-10,3763.77
1992-07-11,3763.77
1992-07-12,3763.77
1992-07-13,3768.21
1992-07-14,3768.67
1992-07-15,3768.66
1992-07-16,3772.39
1992-07-17,3774.89
1992-07-18,3774.89
1992-07-19,3774.89
1992-07-20,3779.65
1992-07-21,3779.61
1992-07-22,3779.19
1992-07-23,3781.38
1992-07-24,3784.72
1992-07-25,3784.72
1992-07-26,3784.72
1992-07-27,3791.08
1992-07-28,3792.51
1992-07-29,3792.97
1992-07-30,3793.83
1992-07-31,3793.2
1992-08-01,3793.2
1992-08-02,3793.2
1992-08-03,3797.89
1992-08-04,3797.68
1992-08-05,3796.91
1992-08-06,3796.3
1992-08-07,3796.08
1992-08-08,3796.08
1992-08-09,3796.08
1992-08-10,3798.1
1992-08-11,3797.66
1992-08-12,3799.8
1992-08-13,3797.76
1992-08-14,3795.06
1992-08-15,3795.06
1992-08-16,3795.06
1992-08-17,3795.58
1992-08-18,3791.44
1992-08-19,3785.0
1992-08-20,3774.9
1992-08-21,3762.79
1992-08-22,3762.79
1992-08-23,3762.79
1992-08-24,3758.46
1992-08-25,3757.63
1992-08-26,3757.5
1992-08-27,3752.48
1992-08-28,3758.07
1992-08-29,3758.07
1992-08-30,3758.07
1992-08-31,3757.94
1992-09-01,3750.36
1992-09-02,3745.13
1992-09-03,3741.51
1992-09-04,3751.92
1992-09-05,3751.92
1992-09-06,3751.92
1992-09-07,3766.93
1992-09-08,3768.01
1992-09-09,3762.04
1992-09-10,3755.37
1992-09-11,3755.37
1992-09-12,3755.37
1992-09-13,3755.37
1992-09-14,3763.17
1992-09-15,3757.74
1992-09-16,3748.02
1992-09-17,3741.46
1992-09-18,3741.46
1992-09-19,3741.46
1992-09-20,3741.46
1992-09-21,3756.24
1992-09-22,3761.89
1992-09-23,3764.27
1992-09-24,3756.59
1992-09-25,3754.31
1992-09-26,3754.31
1992-09-27,3754.31
1992-09-28,3766.51
1992-09-29,3762.31
1992-09-30,3750.51
1992-10-01,3745.95
1992-10-02,3742.82
1992-10-03,3742.82
1992-10-04,3742.82
1992-10-05,3742.82
1992-10-06,3743.87
1992-10-07,3745.64
1992-10-08,3752.91
1992-10-09,3756.19
1992-10-10,3756.19
1992-10-11,3756.19
1992-10-12,3756.19
1992-10-13,3760.75
1992-10-14,3760.39
1992-10-15,3768.55
1992-10-16,3779.2
1992-10-17,3779.2
1992-10-18,3779.2
1992-10-19,3795.08
1992-10-20,3801.01
1992-10-21,3804.83
1992-10-22,3811.37
1992-10-23,3814.85
1992-10-24,3814.85
1992-10-25,3814.85
1992-10-26,3823.68
1992-10-27,3824.81
1992-10-28,3827.86
1992-10-29,3832.48
1992-10-30,3844.76
1992-10-31,3844.76
1992-11-01,3844.76
1992-11-02,3862.82
1992-11-03,3845.37
1992-11-04,3837.28
1992-11-05,3844.72
1992-11-06,3851.63
1992-11-07,3851.63
1992-11-08,3851.63
1992-11-09,3866.4
1992-11-10,3866.5
1992-11-11,3866.8
1992-11-12,3869.37
1992-11-13,3869.62
1992-11-14,3869.62
1992-11-15,3869.62
1992-11-16,3868.33
1992-11-17,3863.57
1992-11-18,3862.84
1992-11-19,3856.32
1992-11-20,3855.59
1992-11-21,3855.59
1992-11-22,3855.59
1992-11-23,3862.36
1992-11-24,3858.37
1992-11-25,3853.57
1992-11-26,3857.27
1992-11-27,3859.39
1992-11-28,3859.39
1992-11-29,3859.39
1992-11-30,3863.57
1992-12-01,3860.73
1992-12-02,3858.52
1992-12-03,3862.52
1992-12-04,3866.28
1992-12-05,3866.28
1992-12-06,3866.28
1992-12-07,3873.78
1992-12-08,3873.78
1992-12-09,3877.71
1992-12-10,3878.57
1992-12-11,3878.0
1992-12-12,3878.0
1992-12-13,3878.0
1992-12-14,3886.38
1992-12-15,3886.47
1992-12-16,3885.85
1992-12-17,3887.85
1992-12-18,3889.84
1992-12-19,3889.84
1992-12-20,3889.84
1992-12-21,3896.2
1992-12-22,3895.01
1992-12-23,3894.77
1992-12-24,3902.17
1992-12-25,3902.17
1992-12-26,3902.17
1992-12-27,3902.17
1992-12-28,3912.58
1992-12-29,3917.82
1992-12-30,3921.9
1992-12-31,3921.6
1993-01-01,3921.6
1993-01-02,3921.6
1993-01-03,3921.6
1993-01-04,3930.66
1993-01-05,3931.44
1993-01-06,3933.49
1993-01-07,3932.53
1993-01-08,3932.59
1993-01-09,3932.59
1993-01-10,3932.59
1993-01-11,3929.42
1993-01-12,3938.99
1993-01-13,3937.14
1993-01-14,3937.12
1993-01-15,3942.58
1993-01-16,3942.58
1993-01-17,3942.58
1993-01-18,3948.73
1993-01-19,3949.64
1993-01-20,3950.91
1993-01-21,3955.84
1993-01-22,3961.04
1993-01-23,3961.04
1993-01-24,3961.04
1993-01-25,3965.75
1993-01-26,3970.68
1993-01-27,3982.86
1993-01-28,3993.75
1993-01-29,4003.92
1993-01-30,4003.92
1993-01-31,4003.92
1993-02-01,4008.19
1993-02-02,4013.82
1993-02-03,4020.13
1993-02-04,4028.96
1993-02-05,4032.38
1993-02-06,4032.38
1993-02-07,4032.38
1993-02-08,4036.77
1993-02-09,4040.48
1993-02-10,4041.96
1993-02-11,4041.22
1993-02-12,4041.27
1993-02-13,4041.27
1993-02-14,4041.27
1993-02-15,4035.14
1993-02-16,4028.95
1993-02-17,4032.07
1993-02-18,4033.9
1993-02-19,4034.11
1993-02-20,4034.11
1993-02-21,4034.11
1993-02-22,4039.53
1993-02-23,4039.44
1993-02-24,4036.18
1993-02-25,4037.45
1993-02-26,4036.26
1993-02-27,4036.26
1993-02-28,4036.26
1993-03-01,4037.38
1993-03-02,4034.29
1993-03-03,4032.12
1993-03-04,4031.62
1993-03-05,4034.89
1993-03-06,4034.89
1993-03-07,4034.89
1993-03-08,4038.91
1993-03-09,4039.47
1993-03-10,4036.68
1993-03-11,4032.77
1993-03-12,4031.25
1993-03-13,4031.25
1993-03-14,4031.25
1993-03-15,4035.46
1993-03-16,4036.16
1993-03-17,4039.11
1993-03-18,4040.17
1993-03-19,4041.56
1993-03-20,4041.56
1993-03-21,4041.56
1993-03-22,4047.36
1993-03-23,4048.9
1993-03-24,4050.36
1993-03-25,4054.07
1993-03-26,4057.49
1993-03-27,4057.49
1993-03-28,4057.49
1993-03-29,4063.07
1993-03-30,4064.08
1993-03-31,4061.08
1993-04-01,4064.13
1993-04-02,4065.48
1993-04-03,4065.48
1993-04-04,4065.48
1993-04-05,4068.68
1993-04-06,4067.53
1993-04-07,4066.5
1993-04-08,4066.96
1993-04-09,4066.96
1993-04-10,4066.96
1993-04-11,4066.96
1993-04-12,4070.39
1993-04-13,4069.99
1993-04-14,4070.1
1993-04-15,4070.07
1993-04-16,4070.37
1993-04-17,4070.37
1993-04-18,4070.37
1993-04-19,4072.42
1993-04-20,4065.97
1993-04-21,4063.77
1993-04-22,4062.29
1993-04-23,4063.07
1993-04-24,4063.07
1993-04-25,4063.07
1993-04-26,4061.68
1993-04-27,4058.88
1993-04-28,4060.88
1993-04-29,4058.95
1993-04-30,4056.93
1993-05-01,4056.93
1993-05-02,4056.93
1993-05-03,4058.09
1993-05-04,4056.15
1993-05-05,4057.72
1993-05-06,4057.13
1993-05-07,4052.34
1993-05-08,4052.34
1993-05-09,4052.34
1993-05-10,4050.56
1993-05-11,4045.98
1993-05-12,4041.88
1993-05-13,4041.61
1993-05-14,4044.09
1993-05-15,4044.09
1993-05-16,4044.09
1993-05-17,4049.27
1993-05-18,4051.98
1993-05-19,4053.49
1993-05-20,4057.06
1993-05-21,4057.06
1993-05-22,4057.06
1993-05-23,4057.06
1993-05-24,4067.1
