Fecha,C
1990-05-01,1304.5
1990-05-02,1307.34
1990-05-03,1308.77
1990-05-04,1310.19
1990-05-05,1310.19
1990-05-06,1310.19
1990-05-07,1314.48
1990-05-08,1315.91
1990-05-09,1317.34
1990-05-10,1318.5
1990-05-11,1319.61
1990-05-12,1319.61
1990-05-13,1319.61
1990-05-14,1323.1
1990-05-15,1324.27
1990-05-16,1325.44
1990-05-17,1326.62
1990-05-18,1327.74
1990-05-19,1327.74
1990-05-20,1327.74
1990-05-21,1327.74
1990-05-22,1332.38
1990-05-23,1333.54
1990-05-24,1334.7
1990-05-25,1335.86
1990-05-26,1335.86
1990-05-27,1335.86
1990-05-28,1339.36
1990-05-29,1340.52
1990-05-30,1341.69
1990-05-31,1342.86
1990-06-01,1344.03
1990-06-02,1344.03
1990-06-03,1344.03
1990-06-04,1347.54
1990-06-05,1348.71
1990-06-06,1349.89
1990-06-07,1351.06
1990-06-08,1352.24
1990-06-09,1352.24
1990-06-10,1352.24
1990-06-11,1355.56
1990-06-12,1356.63
1990-06-13,1357.73
1990-06-14,1357.73
1990-06-15,1359.93
1990-06-16,1359.93
1990-06-17,1359.93
1990-06-18,1363.24
1990-06-19,1364.35
1990-06-20,1365.85
1990-06-21,1367.51
1990-06-22,1368.31
1990-06-23,1368.31
1990-06-24,1368.31
1990-06-25,1371.39
1990-06-26,1372.39
1990-06-27,1372.02
1990-06-28,1372.77
1990-06-29,1372.77
1990-06-30,1372.77
1990-07-01,1372.77
1990-07-02,1376.62
1990-07-03,1377.46
1990-07-04,1378.54
1990-07-05,1379.6
1990-07-06,1380.74
1990-07-07,1380.74
1990-07-08,1380.74
1990-07-09,1383.87
1990-07-10,1385.44
1990-07-11,1386.85
1990-07-12,1388.31
1990-07-13,1389.91
1990-07-14,1389.91
1990-07-15,1389.91
1990-07-16,1394.05
1990-07-17,1395.44
1990-07-18,1396.88
1990-07-19,1398.75
1990-07-20,1400.14
1990-07-21,1400.14
1990-07-22,1400.14
1990-07-23,1404.27
1990-07-24,1405.82
1990-07-25,1407.16
1990-07-26,1409.14
1990-07-27,1409.43
1990-07-28,1409.43
1990-07-29,1409.43
1990-07-30,1413.91
1990-07-31,1415.04
1990-08-01,1416.58
1990-08-02,1418.0
1990-08-03,1419.42
1990-08-04,1419.42
1990-08-05,1419.42
1990-08-06,1423.55
1990-08-07,1424.9
1990-08-08,1426.2
1990-08-09,1427.66
1990-08-10,1428.94
1990-08-11,1428.94
1990-08-12,1428.94
1990-08-13,1433.01
1990-08-14,1434.04
1990-08-15,1434.04
1990-08-16,1436.71
1990-08-17,1438.0
1990-08-18,1438.0
1990-08-19,1438.0
1990-08-20,1441.82
1990-08-21,1444.29
1990-08-22,1445.99
1990-08-23,1447.5
1990-08-24,1448.56
1990-08-25,1448.56
1990-08-26,1448.56
1990-08-27,1452.37
1990-08-28,1452.58
1990-08-29,1453.92
1990-08-30,1455.53
1990-08-31,1456.24
1990-09-01,1456.24
1990-09-02,1456.24
1990-09-03,1460.79
1990-09-04,1461.94
1990-09-05,1462.97
1990-09-06,1463.9
1990-09-07,1465.63
1990-09-08,1465.63
1990-09-09,1465.63
1990-09-10,1469.81
1990-09-11,1469.81
1990-09-12,1472.36
1990-09-13,1473.59
1990-09-14,1474.98
1990-09-15,1474.98
1990-09-16,1474.98
1990-09-17,1479.11
1990-09-18,1479.11
1990-09-19,1479.11
1990-09-20,1483.09
1990-09-21,1484.42
1990-09-22,1484.42
1990-09-23,1484.42
1990-09-24,1487.95
1990-09-25,1488.9
1990-09-26,1490.52
1990-09-27,1491.68
1990-09-28,1493.81
1990-09-29,1493.81
1990-09-30,1493.81
1990-10-01,1498.22
1990-10-02,1499.7
1990-10-03,1500.97
1990-10-04,1502.45
1990-10-05,1504.12
1990-10-06,1504.12
1990-10-07,1504.12
1990-10-08,1508.52
1990-10-09,1509.7
1990-10-10,1512.19
1990-10-11,1515.0
1990-10-12,1515.0
1990-10-13,1515.0
1990-10-14,1515.0
1990-10-15,1526.13
1990-10-16,1527.83
1990-10-17,1530.12
1990-10-18,1532.82
1990-10-19,1535.21
1990-10-20,1535.21
1990-10-21,1535.21
1990-10-22,1543.79
1990-10-23,1545.64
1990-10-24,1547.71
1990-10-25,1550.3
1990-10-26,1552.9
1990-10-27,1552.9
1990-10-28,1552.9
1990-10-29,1560.87
1990-10-30,1562.78
1990-10-31,1565.56
1990-11-01,1565.56
1990-11-02,1571.79
1990-11-03,1571.79
1990-11-04,1571.79
1990-11-05,1580.58
1990-11-06,1581.95
1990-11-07,1584.65
1990-11-08,1587.76
1990-11-09,1591.62
1990-11-10,1591.62
1990-11-11,1591.62
1990-11-12,1599.45
1990-11-13,1600.98
1990-11-14,1603.72
1990-11-15,1605.91
1990-11-16,1608.81
1990-11-17,1608.81
1990-11-18,1608.81
1990-11-19,1616.04
1990-11-20,1618.48
1990-11-21,1621.5
1990-11-22,1628.16
1990-11-23,1629.96
1990-11-24,1629.96
1990-11-25,1629.96
1990-11-26,1638.51
1990-11-27,1640.46
1990-11-28,1643.62
1990-11-29,1648.78
1990-11-30,1650.48
1990-12-01,1650.48
1990-12-02,1650.48
1990-12-03,1657.69
1990-12-04,1659.71
1990-12-05,1661.76
1990-12-06,1664.49
1990-12-07,1668.33
1990-12-08,1668.33
1990-12-09,1668.33
1990-12-10,1674.22
1990-12-11,1675.19
1990-12-12,1675.28
1990-12-13,1676.44
1990-12-14,1678.92
1990-12-15,1678.92
1990-12-16,1678.92
1990-12-17,1682.5
1990-12-18,1683.64
1990-12-19,1682.91
1990-12-20,1683.89
1990-12-21,1685.14
1990-12-22,1685.14
1990-12-23,1685.14
1990-12-24,1688.19
1990-12-25,1688.19
1990-12-26,1696.38
1990-12-27,1696.73
1990-12-28,1698.63
1990-12-29,1698.63
1990-12-30,1698.63
1990-12-31,1702.22
1991-01-01,1702.22
1991-01-02,1704.54
1991-01-03,1705.81
1991-01-04,1706.63
1991-01-05,1706.63
1991-01-06,1706.63
1991-01-07,1710.01
1991-01-08,1712.16
1991-01-09,1712.76
1991-01-10,1713.85
1991-01-11,1715.82
1991-01-12,1715.82
1991-01-13,1715.82
1991-01-14,1717.12
1991-01-15,1719.76
1991-01-16,1719.38
1991-01-17,1720.58
1991-01-18,1722.38
1991-01-19,1722.38
1991-01-20,1722.38
1991-01-21,1725.19
1991-01-22,1725.91
1991-01-23,1727.17
