Fecha;A;B;C;D;E
2008-04-01;22638,21;19669,45;19275,16;16135,76;19245,88
2008-04-02;22814,82;19794,03;19352,12;16172,77;19252,33
2008-04-03;22982,36;19894,84;19420,72;16207,81;19276,74
2008-04-04;23111,55;19966,27;19478,61;16237,34;19284,86
2008-04-05;23111,55;19966,27;19478,61;16237,34;19284,86
2008-04-06;23111,55;19966,27;19478,61;16237,34;19284,86
2008-04-07;23152,82;19998,62;19509,34;16254,43;19299,75
2008-04-08;23272,14;20083,48;19573,94;16288,22;19306,06
2008-04-09;23226,53;20052,24;19551,19;16283,25;19307,51
2008-04-10;23169,61;20015,97;19536,46;16279,75;19313,56
2008-04-11;23164,96;20021,36;19531,91;16282,18;19317,27
2008-04-12;23164,96;20021,36;19531,91;16282,18;19317,27
2008-04-13;23164,96;20021,36;19531,91;16282,18;19317,27
2008-04-14;23354,98;20145,95;19642,72;16335,57;19337,21
2008-04-15;23249,18;20089,7;19631,22;16342,49;19361,93
2008-04-16;23383,77;20193,05;19710,17;16379,8;19368,48
2008-04-17;23681,72;20383,93;19829,12;16429,96;19371,26
2008-04-18;23787,48;20446,03;19873,9;16453,31;19369,07
2008-04-19;23787,48;20446,03;19873,9;16453,31;19369,07
2008-04-20;23787,48;20446,03;19873,9;16453,31;19369,07
2008-04-21;23929,46;20553,99;19951,73;16490,82;19385,8
2008-04-22;24035,39;20618,35;19989,92;16506,47;19380,96
2008-04-23;24013,2;20602,21;19979,61;16508,85;19390,66
2008-04-24;23866,23;20494,82;19877,17;16467,74;19403,99
2008-04-25;23822,64;20474,86;19865,54;16461,74;19402,03
2008-04-26;23822,64;20474,86;19865,54;16461,74;19402,03
2008-04-27;23822,64;20474,86;19865,54;16461,74;19402,03
2008-04-28;23917,35;20532,81;19915,94;16485,79;19415,48
2008-04-29;23983,45;20565,79;19939,15;16495,26;19422,25
2008-04-30;23891,9;20485,64;19868,58;16447,97;19374,48
2008-05-01;23891,9;20485,64;19868,58;16447,97;19374,48
2008-05-02;24015,76;20568,51;19921,18;16473,13;19370,79
2008-05-03;24015,76;20568,51;19921,18;16473,13;19370,79
2008-05-04;24015,76;20568,51;19921,18;16473,13;19370,79
2008-05-05;24288,27;20745,2;20035,08;16523,14;19388,73
2008-05-06;24375,47;20784,42;20053,2;16537,14;19388,9
2008-05-07;24429,42;20808,71;20056,81;16539,15;19389,37
2008-05-08;24303,43;20713,51;19998,2;16499,82;19356,19
2008-05-09;24226,61;20647,37;19921,27;16439,95;19244,34
2008-05-10;24226,61;20647,37;19921,27;16439,95;19244,34
2008-05-11;24226,61;20647,37;19921,27;16439,95;19244,34
2008-05-12;24159,01;20604,64;19885,32;16418,02;19214,94
2008-05-13;24172,19;20610,89;19869,97;16398,01;19150,26
2008-05-14;24186,67;20610,32;19851,54;16374,85;19125,19
2008-05-15;24302,41;20661,09;19849,03;16331,68;18952,76
2008-05-16;24410,54;20723,99;19885,43;16353,82;18973,34
2008-05-17;24410,54;20723,99;19885,43;16353,82;18973,34
2008-05-18;24410,54;20723,99;19885,43;16353,82;18973,34
2008-05-19;24637,39;20887,22;20014,91;16429,15;19008,96
2008-05-20;24795,26;20990,09;20104,52;16466,13;19012,21
2008-05-21;24795,26;20990,09;20104,52;16466,13;19012,21
2008-05-22;24711,62;20938,11;20099,07;16479,29;19022,75
2008-05-23;24699,9;20935,45;20116,72;16502,91;19048,31
2008-05-24;24699,9;20935,45;20116,72;16502,91;19048,31
2008-05-25;24699,9;20935,45;20116,72;16502,91;19048,31
2008-05-26;24601,86;20894,44;20123,62;16534,26;19117,77
2008-05-27;24592,93;20906,76;20142,58;16555,24;19139,33
2008-05-28;24642,41;20936,6;20165,54;16556,42;19136,33
2008-05-29;24667,11;20952,79;20180,25;16562,24;19130,26
2008-05-30;24816,69;21053,7;20249,05;16594,79;19142,52
2008-05-31;24816,69;21053,7;20249,05;16594,79;19142,52
2008-06-01;24816,69;21053,7;20249,05;16594,79;19142,52
2008-06-02;24888,97;21090,91;20265,57;16599,08;19155,19
2008-06-03;24889,45;21086,9;20262,17;16598,61;19162,94
2008-06-04;24800,1;21023,15;20228,28;16589,87;19165,93
2008-06-05;24675,31;20940,62;20183,34;16578,54;19177,21
2008-06-06;24680,35;20968,94;20200,26;16589,11;19172,83
2008-06-07;24680,35;20968,94;20200,26;16589,11;19172,83
2008-06-08;24680,35;20968,94;20200,26;16589,11;19172,83
2008-06-09;24592,6;20913,84;20170,7;16582,27;19185,29
2008-06-10;24435,29;20818,05;20103,65;16555,5;19184,9
2008-06-11;24164,29;20650,06;20000,21;16509,81;19197,18
2008-06-12;24029,62;20558,65;19939,61;16477,87;19189,48
2008-06-13;24182,27;20695,79;20067,35;16539,68;19197,67
2008-06-14;24182,27;20695,79;20067,35;16539,68;19197,67
2008-06-15;24182,27;20695,79;20067,35;16539,68;19197,67
2008-06-16;24270,32;20749,33;20089,02;16544,97;19171,46
2008-06-17;24331,82;20774,02;20109,35;16563,84;19197,63
2008-06-18;24313,01;20754,86;20102,96;16563,49;19202,49
2008-06-19;24248,5;20716,28;20075,75;16555,28;19204,18
2008-06-20;24187,01;20701,06;20087,35;16560,5;19198,2
2008-06-21;24187,01;20701,06;20087,35;16560,5;19198,2
2008-06-22;24187,01;20701,06;20087,35;16560,5;19198,2
