Fecha,C
1981-06-01,100.0
1981-06-02,100.0
1981-06-03,100.0
1981-06-04,100.0
1981-06-05,100.0
1981-06-06,100.0
1981-06-07,100.0
1981-06-08,100.0
1981-06-09,100.0
1981-06-10,100.0
1981-06-11,100.0
1981-06-12,100.0
1981-06-13,100.0
1981-06-14,100.0
1981-06-15,100.0
1981-06-16,100.0
1981-06-17,101.89
1981-06-18,101.9
1981-06-19,101.95
1981-06-20,101.95
1981-06-21,101.95
1981-06-22,102.15
1981-06-23,102.14
1981-06-24,102.31
1981-06-25,102.51
1981-06-26,102.59
1981-06-27,102.59
1981-06-28,102.59
1981-06-29,102.88
1981-06-30,103.01
1981-07-01,103.1
1981-07-02,103.19
1981-07-03,103.07
1981-07-04,103.07
1981-07-05,103.07
1981-07-06,103.37
1981-07-07,103.54
1981-07-08,103.65
1981-07-09,103.76
1981-07-10,103.86
1981-07-11,103.86
1981-07-12,103.86
1981-07-13,104.25
1981-07-14,104.43
1981-07-15,104.72
1981-07-16,104.95
1981-07-17,105.1
1981-07-18,105.1
1981-07-19,105.1
1981-07-20,105.74
1981-07-21,105.85
1981-07-22,105.95
1981-07-23,106.03
1981-07-24,106.09
1981-07-25,106.09
1981-07-26,106.09
1981-07-27,106.63
1981-07-28,106.75
1981-07-29,106.84
1981-07-30,106.94
1981-07-31,107.0
1981-08-01,107.0
1981-08-02,107.0
1981-08-03,107.28
1981-08-04,107.38
1981-08-05,107.47
1981-08-06,107.55
1981-08-07,107.64
1981-08-08,107.64
1981-08-09,107.64
1981-08-10,108.06
1981-08-11,108.28
1981-08-12,108.41
1981-08-13,108.56
1981-08-14,109.13
1981-08-15,109.13
1981-08-16,109.13
1981-08-17,109.63
1981-08-18,109.8
1981-08-19,110.13
1981-08-20,110.23
1981-08-21,110.45
1981-08-22,110.45
1981-08-23,110.45
1981-08-24,110.74
1981-08-25,110.84
1981-08-26,110.92
1981-08-27,111.07
1981-08-28,111.08
1981-08-29,111.08
1981-08-30,111.08
1981-08-31,111.37
1981-09-01,111.46
1981-09-02,111.55
1981-09-03,111.75
1981-09-04,111.84
1981-09-05,111.84
1981-09-06,111.84
1981-09-07,112.35
1981-09-08,112.45
1981-09-09,112.55
1981-09-10,112.7
1981-09-11,112.7
1981-09-12,112.7
1981-09-13,112.7
1981-09-14,113.08
1981-09-15,113.2
1981-09-16,113.34
1981-09-17,113.65
1981-09-18,113.65
1981-09-19,113.65
1981-09-20,113.65
1981-09-21,114.13
1981-09-22,114.21
1981-09-23,114.3
1981-09-24,114.39
1981-09-25,114.54
1981-09-26,114.54
1981-09-27,114.54
1981-09-28,114.79
1981-09-29,114.87
1981-09-30,114.96
1981-10-01,115.03
1981-10-02,115.1
1981-10-03,115.1
1981-10-04,115.1
1981-10-05,115.33
1981-10-06,115.41
1981-10-07,115.48
1981-10-08,115.56
1981-10-09,115.8
1981-10-10,115.8
1981-10-11,115.8
1981-10-12,115.8
1981-10-13,116.15
1981-10-14,116.24
1981-10-15,116.41
1981-10-16,116.53
1981-10-17,116.53
1981-10-18,116.53
1981-10-19,117.06
1981-10-20,117.14
1981-10-21,117.21
1981-10-22,117.29
1981-10-23,117.37
1981-10-24,117.37
1981-10-25,117.37
1981-10-26,117.57
1981-10-27,117.65
1981-10-28,117.73
1981-10-29,117.78
1981-10-30,117.85
1981-10-31,117.85
1981-11-01,117.85
1981-11-02,118.09
1981-11-03,118.05
1981-11-04,118.13
1981-11-05,118.1
1981-11-06,118.46
1981-11-07,118.46
1981-11-08,118.46
1981-11-09,118.43
1981-11-10,118.47
1981-11-11,118.54
1981-11-12,118.66
1981-11-13,118.89
1981-11-14,118.89
1981-11-15,118.89
1981-11-16,119.04
