Fecha;C
1981-06-01;100,0
1981-06-02;100,0
1981-06-03;100,0
1981-06-04;100,0
1981-06-05;100,0
1981-06-06;100,0
1981-06-07;100,0
1981-06-08;100,0
1981-06-09;100,0
1981-06-10;100,0
1981-06-11;100,0
1981-06-12;100,0
1981-06-13;100,0
1981-06-14;100,0
1981-06-15;100,0
1981-06-16;100,0
1981-06-17;100,42
1981-06-18;100,48
1981-06-19;100,55
1981-06-20;100,55
1981-06-21;100,55
1981-06-22;100,76
1981-06-23;100,94
1981-06-24;101,03
1981-06-25;101,11
1981-06-26;101,23
1981-06-27;101,23
1981-06-28;101,23
1981-06-29;101,49
1981-06-30;101,54
1981-07-01;101,69
1981-07-02;101,77
1981-07-03;101,86
1981-07-04;101,86
1981-07-05;101,86
1981-07-06;102,13
1981-07-07;102,22
1981-07-08;102,31
1981-07-09;102,42
1981-07-10;102,52
1981-07-11;102,52
1981-07-12;102,52
1981-07-13;102,85
1981-07-14;103,06
1981-07-15;103,25
1981-07-16;103,42
1981-07-17;103,62
1981-07-18;103,62
1981-07-19;103,62
1981-07-20;103,89
1981-07-21;103,98
1981-07-22;104,06
1981-07-23;104,15
1981-07-24;104,14
1981-07-25;104,14
1981-07-26;104,14
1981-07-27;104,14
1981-07-28;104,47
1981-07-29;104,56
1981-07-30;104,74
1981-07-31;104,86
1981-08-01;104,86
1981-08-02;104,86
1981-08-03;105,17
1981-08-04;105,41
1981-08-05;105,51
1981-08-06;105,61
1981-08-07;105,72
1981-08-08;105,72
1981-08-09;105,72
1981-08-10;106,07
1981-08-11;106,18
1981-08-12;106,31
1981-08-13;106,5
1981-08-14;106,6
1981-08-15;106,6
1981-08-16;106,6
1981-08-17;107,04
1981-08-18;107,21
1981-08-19;107,36
1981-08-20;107,36
1981-08-21;107,52
1981-08-22;107,52
1981-08-23;107,52
1981-08-24;107,75
1981-08-25;107,85
1981-08-26;107,92
1981-08-27;108,05
1981-08-28;108,19
1981-08-29;108,19
1981-08-30;108,19
1981-08-31;108,35
1981-09-01;108,51
1981-09-02;108,71
1981-09-03;108,8
1981-09-04;108,92
1981-09-05;108,92
1981-09-06;108,92
1981-09-07;109,13
1981-09-08;109,23
1981-09-09;109,32
1981-09-10;109,47
1981-09-11;109,47
1981-09-12;109,47
1981-09-13;109,47
1981-09-14;109,85
1981-09-15;110,03
1981-09-16;110,17
1981-09-17;110,41
1981-09-18;110,41
1981-09-19;110,41
1981-09-20;110,41
1981-09-21;110,76
1981-09-22;111,05
1981-09-23;111,17
1981-09-24;111,26
1981-09-25;111,34
1981-09-26;111,34
1981-09-27;111,34
1981-09-28;111,53
1981-09-29;111,66
1981-09-30;111,71
1981-10-01;111,98
1981-10-02;112,09
1981-10-03;112,09
1981-10-04;112,09
1981-10-05;112,29
1981-10-06;112,37
1981-10-07;112,52
1981-10-08;112,59
1981-10-09;112,7
1981-10-10;112,7
1981-10-11;112,7
1981-10-12;112,7
1981-10-13;113,08
1981-10-14;113,23
1981-10-15;113,33
1981-10-16;113,45
1981-10-17;113,45
1981-10-18;113,45
1981-10-19;113,72
1981-10-20;113,64
1981-10-21;113,67
1981-10-22;113,44
1981-10-23;113,52
1981-10-24;113,52
1981-10-25;113,52
1981-10-26;113,64
1981-10-27;113,68
1981-10-28;113,75
1981-10-29;113,72
1981-10-30;113,73
1981-10-31;113,73
1981-11-01;113,73
1981-11-02;113,46
1981-11-03;113,4
1981-11-04;113,15
1981-11-05;113,13
1981-11-06;112,96
1981-11-07;112,96
1981-11-08;112,96
1981-11-09;112,85
1981-11-10;112,99
1981-11-11;113,23
1981-11-12;113,38
1981-11-13;113,43
1981-11-14;113,43
1981-11-15;113,43
1981-11-16;113,17
