Fecha;C
1988-10-01;1000,0
1988-10-02;1000,0
1988-10-03;1000,0
1988-10-04;1000,0
1988-10-05;1000,0
1988-10-06;1000,0
1988-10-07;1008,81
1988-10-08;1008,81
1988-10-09;1008,81
1988-10-10;1010,08
1988-10-11;1010,51
1988-10-12;1010,51
1988-10-13;1011,34
1988-10-14;1012,74
1988-10-15;1012,74
1988-10-16;1012,74
1988-10-17;1019,6
1988-10-18;1020,74
1988-10-19;1023,06
1988-10-20;1025,44
1988-10-21;1013,1
1988-10-22;1013,1
1988-10-23;1013,1
1988-10-24;1014,74
1988-10-25;1015,29
1988-10-26;1015,84
1988-10-27;1016,39
1988-10-28;1016,93
1988-10-29;1016,93
1988-10-30;1016,93
1988-10-31;1018,58
1988-11-01;1018,58
1988-11-02;1020,72
1988-11-03;1021,56
1988-11-04;1022,39
1988-11-05;1022,39
1988-11-06;1022,39
1988-11-07;1024,87
1988-11-08;1024,12
1988-11-09;1025,48
1988-11-10;1027,51
1988-11-11;1062,64
1988-11-12;1062,64
1988-11-13;1062,64
1988-11-14;1319,32
1988-11-15;1028,54
1988-11-16;1029,2
1988-11-17;1029,86
1988-11-18;1030,52
1988-11-19;1030,52
1988-11-20;1030,52
1988-11-21;1032,52
1988-11-22;1033,18
1988-11-23;1033,85
1988-11-24;1034,51
1988-11-25;1042,64
1988-11-26;1042,64
1988-11-27;1042,64
1988-11-28;1052,86
1988-11-29;1042,94
1988-11-30;1043,48
1988-12-01;1043,57
1988-12-02;1043,58
1988-12-03;1043,58
1988-12-04;1043,58
1988-12-05;1045,67
1988-12-06;1046,36
1988-12-07;1047,0
1988-12-08;1047,0
1988-12-09;1048,32
1988-12-10;1048,32
1988-12-11;1048,32
1988-12-12;1050,53
1988-12-13;1051,29
1988-12-14;1052,2
1988-12-15;1052,79
1988-12-16;1053,54
1988-12-17;1053,54
1988-12-18;1053,54
1988-12-19;1055,99
1988-12-20;1056,69
1988-12-21;1057,48
1988-12-22;1058,24
1988-12-23;1059,01
1988-12-24;1059,01
1988-12-25;1059,01
1988-12-26;1061,31
1988-12-27;1062,11
1988-12-28;1062,54
1988-12-29;1063,25
1988-12-30;1064,14
1988-12-31;1064,14
1989-01-01;1064,14
1989-01-02;1066,26
1989-01-03;1067,07
1989-01-04;1068,12
1989-01-05;1068,93
1989-01-06;1069,64
1989-01-07;1069,64
1989-01-08;1069,64
1989-01-09;1071,13
1989-01-10;1071,94
1989-01-11;1072,37
1989-01-12;1072,69
1989-01-13;1073,21
1989-01-14;1073,21
