Fecha;C
1993-06-01;4500,0
1993-06-02;4500,0
1993-06-03;4500,0
1993-06-04;4500,0
1993-06-05;4500,0
1993-06-06;4500,0
1993-06-07;4500,0
1993-06-08;4500,0
1993-06-09;4500,0
1993-06-10;4500,0
1993-06-11;4500,0
1993-06-12;4500,0
1993-06-13;4500,0
1993-06-14;4500,0
1993-06-15;4500,0
1993-06-16;4500,0
1993-06-17;4500,0
1993-06-18;4500,0
1993-06-19;4500,0
1993-06-20;4500,0
1993-06-21;4500,0
1993-06-22;4510,27
1993-06-23;4510,27
1993-06-24;4510,27
1993-06-25;4510,27
1993-06-26;4510,27
1993-06-27;4510,27
1993-06-28;4510,27
1993-06-29;4510,27
1993-06-30;4510,27
1993-07-01;4510,27
1993-07-02;4510,27
1993-07-03;4510,27
1993-07-04;4510,27
1993-07-05;4510,27
1993-07-06;4510,27
1993-07-07;4510,27
1993-07-08;4510,27
1993-07-09;4510,27
1993-07-10;4510,27
1993-07-11;4510,27
1993-07-12;4510,27
1993-07-13;4510,27
1993-07-14;4510,27
1993-07-15;4511,89
1993-07-16;4511,32
1993-07-17;4511,32
1993-07-18;4511,32
1993-07-19;4512,56
1993-07-20;4512,9
1993-07-21;4513,28
1993-07-22;4512,32
1993-07-23;4512,4
1993-07-24;4512,4
1993-07-25;4512,4
1993-07-26;4512,64
1993-07-27;4512,72
1993-07-28;4512,8
1993-07-29;4512,88
1993-07-30;4512,97
1993-07-31;4512,97
1993-08-01;4512,97
1993-08-02;4513,18
1993-08-03;4513,61
1993-08-04;4513,55
1993-08-05;4513,98
1993-08-06;4514,0
1993-08-07;4514,0
1993-08-08;4514,0
1993-08-09;4514,05
1993-08-10;4514,68
1993-08-11;4516,6
1993-08-12;4507,67
1993-08-13;4553,23
1993-08-14;4553,23
1993-08-15;4553,23
1993-08-16;4562,11
1993-08-17;4566,16
1993-08-18;4564,6
1993-08-19;4568,12
1993-08-20;4571,79
1993-08-21;4571,79
1993-08-22;4571,79
1993-08-23;4586,95
1993-08-24;4588,96
1993-08-25;4589,08
1993-08-26;4590,35
1993-08-27;4622,4
1993-08-28;4622,4
1993-08-29;4622,4
1993-08-30;4597,42
1993-08-31;4596,17
1993-09-01;4597,75
1993-09-02;4604,09
1993-09-03;4611,94
1993-09-04;4611,94
1993-09-05;4611,94
1993-09-06;4614,87
1993-09-07;4620,09
1993-09-08;4622,54
1993-09-09;4622,28
1993-09-10;4627,33
1993-09-11;4627,33
1993-09-12;4627,33
1993-09-13;4639,56
1993-09-14;4638,0
1993-09-15;4638,42
1993-09-16;4642,0
1993-09-17;4646,43
1993-09-18;4646,43
1993-09-19;4646,43
1993-09-20;4656,28
1993-09-21;4657,17
1993-09-22;4662,11
1993-09-23;4667,37
1993-09-24;4673,33
1993-09-25;4673,33
1993-09-26;4673,33
1993-09-27;4691,22
1993-09-28;4694,36
1993-09-29;4689,42
1993-09-30;4697,27
1993-10-01;4706,68
1993-10-02;4706,68
1993-10-03;4706,68
1993-10-04;4715,36
1993-10-05;4718,71
1993-10-06;4725,77
1993-10-07;4727,63
1993-10-08;4733,74
1993-10-09;4733,74
1993-10-10;4733,74
1993-10-11;4747,17
1993-10-12;4747,17
1993-10-13;4750,06
1993-10-14;4752,38
1993-10-15;4755,36
1993-10-16;4755,36
1993-10-17;4755,36
1993-10-18;4761,0
1993-10-19;4761,54
1993-10-20;4761,08
1993-10-21;4765,66
1993-10-22;4771,82
1993-10-23;4771,82
1993-10-24;4771,82
1993-10-25;4774,15
1993-10-26;4779,78
1993-10-27;4783,68
1993-10-28;4786,44
1993-10-29;4787,76
1993-10-30;4787,76
1993-10-31;4787,76
1993-11-01;4787,76
1993-11-02;4798,61
1993-11-03;4794,39
1993-11-04;4805,01
1993-11-05;4807,75
1993-11-06;4807,75
1993-11-07;4807,75
1993-11-08;4818,25
1993-11-09;4817,79
1993-11-10;4825,1
1993-11-11;4828,93
1993-11-12;4839,29
1993-11-13;4839,29
1993-11-14;4839,29
1993-11-15;4854,5
1993-11-16;4860,54
1993-11-17;4866,29
1993-11-18;4879,61
1993-11-19;4896,16
1993-11-20;4896,16
1993-11-21;4896,16
1993-11-22;4919,2
1993-11-23;4925,96
1993-11-24;4935,12
1993-11-25;4943,07
1993-11-26;4964,96
1993-11-27;4964,96
1993-11-28;4964,96
1993-11-29;4975,67
1993-11-30;4979,6
1993-12-01;4982,18
1993-12-02;4992,95
1993-12-03;5004,19
1993-12-04;5004,19
1993-12-05;5004,19
1993-12-06;5019,88
1993-12-07;5022,33
1993-12-08;5022,33
1993-12-09;5033,03
1993-12-10;5032,67
1993-12-11;5032,67
1993-12-12;5032,67
1993-12-13;5039,55
1993-12-14;5043,44
1993-12-15;5051,97
1993-12-16;5059,3
1993-12-17;5072,16
1993-12-18;5072,16
1993-12-19;5072,16
1993-12-20;5079,28
1993-12-21;5086,1
1993-12-22;5099,56
1993-12-23;5119,96
1993-12-24;5135,43
1993-12-25;5135,43
1993-12-26;5135,43
1993-12-27;5156,91
1993-12-28;5166,06
1993-12-29;5183,03
1993-12-30;5200,62
1993-12-31;5217,24
1994-01-01;5217,24
1994-01-02;5217,24
1994-01-03;5217,82
1994-01-04;5233,95
1994-01-05;5259,55
1994-01-06;5285,53
1994-01-07;5314,39
1994-01-08;5314,39
1994-01-09;5314,39
1994-01-10;5344,99
1994-01-11;5357,6
1994-01-12;5369,86
1994-01-13;5390,47
1994-01-14;5412,36
1994-01-15;5412,36
1994-01-16;5412,36
1994-01-17;5424,56
1994-01-18;5436,68
1994-01-19;5449,74
1994-01-20;5462,44
1994-01-21;5473,5
1994-01-22;5473,5
1994-01-23;5473,5
1994-01-24;5487,38
1994-01-25;5493,44
1994-01-26;5503,52
1994-01-27;5506,98
1994-01-28;5511,66
1994-01-29;5511,66
1994-01-30;5511,66
1994-01-31;5525,54
1994-02-01;5531,08
1994-02-02;5542,49
1994-02-03;5564,39
1994-02-04;5585,37
1994-02-05;5585,37
1994-02-06;5585,37
1994-02-07;5603,05
1994-02-08;5614,69
1994-02-09;5635,04
1994-02-10;5657,8
1994-02-11;5683,27
1994-02-12;5683,27
1994-02-13;5683,27
1994-02-14;5696,17
1994-02-15;5694,66
1994-02-16;5699,49
1994-02-17;5696,5
1994-02-18;5693,88
1994-02-19;5693,88
1994-02-20;5693,88
1994-02-21;5701,05
1994-02-22;5698,13
1994-02-23;5689,93
1994-02-24;5691,74
1994-02-25;5695,6
1994-02-26;5695,6
1994-02-27;5695,6
1994-02-28;5701,36
1994-03-01;5703,33
1994-03-02;5702,48
1994-03-03;5682,47
1994-03-04;5659,17
1994-03-05;5659,17
1994-03-06;5659,17
1994-03-07;5642,96
1994-03-08;5630,57
1994-03-09;5621,04
1994-03-10;5612,96
1994-03-11;5608,59
1994-03-12;5608,59
1994-03-13;5608,59
1994-03-14;5606,82
1994-03-15;5607,05
1994-03-16;5605,39
1994-03-17;5613,01
1994-03-18;5620,14
1994-03-19;5620,14
1994-03-20;5620,14
1994-03-21;5626,77
1994-03-22;5615,02
1994-03-23;5605,45
1994-03-24;5602,63
1994-03-25;5595,82
1994-03-26;5595,82
1994-03-27;5595,82
1994-03-28;5593,4
1994-03-29;5588,92
1994-03-30;5573,2
1994-03-31;5560,62
1994-04-01;5560,62
1994-04-02;5560,62
1994-04-03;5560,62
1994-04-04;5546,5
1994-04-05;5527,53
1994-04-06;5509,27
1994-04-07;5500,43
1994-04-08;5489,18
1994-04-09;5489,18
1994-04-10;5489,18
1994-04-11;5497,94
1994-04-12;5495,98
1994-04-13;5493,93
1994-04-14;5495,77
1994-04-15;5502,97
1994-04-16;5502,97
1994-04-17;5502,97
1994-04-18;5518,64
1994-04-19;5531,08
1994-04-20;5554,25
1994-04-21;5567,43
1994-04-22;5573,11
1994-04-23;5573,11
1994-04-24;5573,11
1994-04-25;5582,63
1994-04-26;5588,35
1994-04-27;5599,85
1994-04-28;5609,86
1994-04-29;5627,56
1994-04-30;5627,56
1994-05-01;5627,56
1994-05-02;5645,23
1994-05-03;5652,92
1994-05-04;5660,75
1994-05-05;5670,02
1994-05-06;5683,93
1994-05-07;5683,93
1994-05-08;5683,93
1994-05-09;5696,37
1994-05-10;5697,47
1994-05-11;5698,79
1994-05-12;5699,35
1994-05-13;5691,69
1994-05-14;5691,69
1994-05-15;5691,69
1994-05-16;5688,87
1994-05-17;5687,49
1994-05-18;5688,28
1994-05-19;5694,43
1994-05-20;5701,66
1994-05-21;5701,66
1994-05-22;5701,66
1994-05-23;5711,5
1994-05-24;5724,59
1994-05-25;5736,34
1994-05-26;5749,89
1994-05-27;5762,55
1994-05-28;5762,55
1994-05-29;5762,55
1994-05-30;5776,79
1994-05-31;5789,87
1994-06-01;5806,93
1994-06-02;5806,93
1994-06-03;5823,5
1994-06-04;5823,5
1994-06-05;5823,5
1994-06-06;5836,82
1994-06-07;5847,76
1994-06-08;5857,76
1994-06-09;5876,39
1994-06-10;5888,58
1994-06-11;5888,58
1994-06-12;5888,58
1994-06-13;5896,4
1994-06-14;5899,26
1994-06-15;5907,69
1994-06-16;5921,2
1994-06-17;5929,41
1994-06-18;5929,41
1994-06-19;5929,41
1994-06-20;5938,66
1994-06-21;5937,0
1994-06-22;5931,95
1994-06-23;5921,32
1994-06-24;5917,6
1994-06-25;5917,6
1994-06-26;5917,6
1994-06-27;5924,83
1994-06-28;5922,39
1994-06-29;5922,39
1994-06-30;5920,91
1994-07-01;5912,13
1994-07-02;5912,13
1994-07-03;5912,13
1994-07-04;5907,5
1994-07-05;5903,31
1994-07-06;5898,3
1994-07-07;5894,9
1994-07-08;5896,07
1994-07-09;5896,07
1994-07-10;5896,07
1994-07-11;5886,94
1994-07-12;5877,01
1994-07-13;5872,56
1994-07-14;5873,22
1994-07-15;5881,12
1994-07-16;5881,12
1994-07-17;5881,12
1994-07-18;5890,31
1994-07-19;5885,79
1994-07-20;5893,5
1994-07-21;5890,03
1994-07-22;5893,63
1994-07-23;5893,63
1994-07-24;5893,63
1994-07-25;5895,76
1994-07-26;5891,76
1994-07-27;5897,04
1994-07-28;5890,22
1994-07-29;5889,13
1994-07-30;5889,13
1994-07-31;5889,13
1994-08-01;5891,61
1994-08-02;5890,71
1994-08-03;5896,54
1994-08-04;5904,4
1994-08-05;5919,99
1994-08-06;5919,99
1994-08-07;5919,99
1994-08-08;5927,05
1994-08-09;5943,76
1994-08-10;5951,22
1994-08-11;5971,49
1994-08-12;5980,67
1994-08-13;5980,67
1994-08-14;5980,67
1994-08-15;5980,67
1994-08-16;5994,53
1994-08-17;5999,37
1994-08-18;6004,48
1994-08-19;6006,83
1994-08-20;6006,83
1994-08-21;6006,83
1994-08-22;6008,13
1994-08-23;6014,33
1994-08-24;6022,83
1994-08-25;6027,34
1994-08-26;6037,2
1994-08-27;6037,2
1994-08-28;6037,2
1994-08-29;6054,06
1994-08-30;6062,95
1994-08-31;6074,16
1994-09-01;6087,64
1994-09-02;6099,92
1994-09-03;6099,92
1994-09-04;6099,92
1994-09-05;6107,24
1994-09-06;6109,99
1994-09-07;6111,86
1994-09-08;6111,57
1994-09-09;6112,36
1994-09-10;6112,36
1994-09-11;6112,36
1994-09-12;6120,11
1994-09-13;6116,35
1994-09-14;6115,35
1994-09-15;6112,59
1994-09-16;6114,73
1994-09-17;6114,73
1994-09-18;6114,73
1994-09-19;6114,73
1994-09-20;6127,5
1994-09-21;6136,8
1994-09-22;6143,07
1994-09-23;6148,75
1994-09-24;6148,75
1994-09-25;6148,75
1994-09-26;6161,6
1994-09-27;6171,3
1994-09-28;6180,11
1994-09-29;6191,78
1994-09-30;6204,66
1994-10-01;6204,66
1994-10-02;6204,66
1994-10-03;6233,59
1994-10-04;6243,65
1994-10-05;6259,27
1994-10-06;6268,01
1994-10-07;6282,35
1994-10-08;6282,35
1994-10-09;6282,35
1994-10-10;6299,5
1994-10-11;6307,08
1994-10-12;6307,08
1994-10-13;6321,32
1994-10-14;6345,04
1994-10-15;6345,04
1994-10-16;6345,04
1994-10-17;6362,22
1994-10-18;6391,65
1994-10-19;6408,21
1994-10-20;6430,82
1994-10-21;6450,15
1994-10-22;6450,15
1994-10-23;6450,15
1994-10-24;6465,32
1994-10-25;6501,87
1994-10-26;6510,03
1994-10-27;6519,25
1994-10-28;6523,69
1994-10-29;6523,69
1994-10-30;6523,69
1994-10-31;6527,22
1994-11-01;6527,22
1994-11-02;6529,2
1994-11-03;6523,16
1994-11-04;6513,72
1994-11-05;6513,72
1994-11-06;6513,72
1994-11-07;6504,01
1994-11-08;6497,72
1994-11-09;6492,53
1994-11-10;6494,06
1994-11-11;6500,0
1994-11-12;6500,0
1994-11-13;6500,0
1994-11-14;6504,99
1994-11-15;6505,39
1994-11-16;6502,98
1994-11-17;6497,8
1994-11-18;6500,97
1994-11-19;6500,97
1994-11-20;6500,97
1994-11-21;6507,63
1994-11-22;6511,91
