Fecha,C
1992-07-01,3800.0
1992-07-02,3800.0
1992-07-03,3800.0
1992-07-04,3800.0
1992-07-05,3800.0
1992-07-06,3800.0
1992-07-07,3800.0
1992-07-08,3800.0
1992-07-09,3800.0
1992-07-10,3800.0
1992-07-11,3800.0
1992-07-12,3800.0
1992-07-13,3800.0
1992-07-14,3800.0
1992-07-15,3800.0
1992-07-16,3800.0
1992-07-17,3800.0
1992-07-18,3800.0
1992-07-19,3800.0
1992-07-20,3800.0
1992-07-21,3800.0
1992-07-22,3800.0
1992-07-23,3800.0
1992-07-24,3800.0
1992-07-25,3800.0
1992-07-26,3800.0
1992-07-27,3800.0
1992-07-28,3800.0
1992-07-29,3800.0
1992-07-30,3800.0
1992-07-31,3800.0
1992-08-01,3800.0
1992-08-02,3800.0
1992-08-03,3800.0
1992-08-04,3800.0
1992-08-05,3800.0
1992-08-06,3800.0
1992-08-07,3800.0
1992-08-08,3800.0
1992-08-09,3800.0
1992-08-10,3800.0
1992-08-11,3800.0
1992-08-12,3800.0
1992-08-13,3800.0
1992-08-14,3800.0
1992-08-15,3800.0
1992-08-16,3800.0
1992-08-17,3800.0
1992-08-18,3800.0
1992-08-19,3800.0
1992-08-20,3800.0
1992-08-21,3800.0
1992-08-22,3800.0
1992-08-23,3800.0
1992-08-24,3800.0
1992-08-25,3800.0
1992-08-26,3800.0
1992-08-27,3800.0
1992-08-28,3800.0
1992-08-29,3800.0
1992-08-30,3800.0
1992-08-31,3800.0
1992-09-01,3800.0
1992-09-02,3800.0
1992-09-03,3800.0
1992-09-04,3800.0
1992-09-05,3800.0
1992-09-06,3800.0
1992-09-07,3800.0
1992-09-08,3800.0
1992-09-09,3800.0
1992-09-10,3800.0
1992-09-11,3800.0
1992-09-12,3800.0
1992-09-13,3800.0
1992-09-14,3800.0
1992-09-15,3800.0
1992-09-16,3800.0
1992-09-17,3800.0
1992-09-18,3800.0
1992-09-19,3800.0
1992-09-20,3800.0
1992-09-21,3800.0
1992-09-22,3800.0
1992-09-23,3800.0
1992-09-24,3800.0
1992-09-25,3800.0
1992-09-26,3800.0
1992-09-27,3800.0
1992-09-28,3800.0
1992-09-29,3800.0
1992-09-30,3800.0
1992-10-01,3800.0
1992-10-02,3800.0
1992-10-03,3800.0
1992-10-04,3800.0
1992-10-05,3800.0
1992-10-06,3800.0
1992-10-07,3800.0
1992-10-08,3800.0
1992-10-09,3800.0
1992-10-10,3800.0
1992-10-11,3800.0
