Fecha;C
1993-08-01;4000,0
1993-08-02;4000,0
1993-08-03;4000,0
1993-08-04;4000,0
1993-08-05;4000,0
1993-08-06;4000,0
1993-08-07;4000,0
1993-08-08;4000,0
1993-08-09;4000,0
1993-08-10;4000,0
1993-08-11;4000,0
1993-08-12;4000,0
1993-08-13;4000,0
1993-08-14;4000,0
1993-08-15;4000,0
1993-08-16;4000,0
1993-08-17;4000,0
1993-08-18;4000,0
1993-08-19;4000,0
1993-08-20;4000,0
1993-08-21;4000,0
1993-08-22;4000,0
1993-08-23;4000,0
1993-08-24;4000,0
1993-08-25;4000,0
1993-08-26;4000,0
1993-08-27;4000,0
1993-08-28;4000,0
1993-08-29;4000,0
1993-08-30;4000,0
1993-08-31;4000,0
1993-09-01;4000,0
1993-09-02;4000,0
1993-09-03;4000,0
1993-09-04;4000,0
1993-09-05;4000,0
1993-09-06;4000,0
1993-09-07;4000,0
1993-09-08;4000,0
1993-09-09;4000,0
1993-09-10;4000,0
1993-09-11;4000,0
1993-09-12;4000,0
1993-09-13;4000,0
1993-09-14;4000,0
1993-09-15;4000,0
1993-09-16;4000,0
1993-09-17;4000,0
1993-09-18;4000,0
1993-09-19;4000,0
1993-09-20;4000,0
1993-09-21;4000,0
1993-09-22;4000,0
1993-09-23;4000,0
1993-09-24;4000,0
1993-09-25;4000,0
1993-09-26;4000,0
1993-09-27;4000,0
1993-09-28;4000,0
1993-09-29;4000,0
1993-09-30;4000,0
1993-10-01;4000,0
1993-10-02;4000,0
1993-10-03;4000,0
1993-10-04;4000,0
1993-10-05;4000,0
1993-10-06;4000,0
1993-10-07;4000,0
1993-10-08;4000,0
1993-10-09;4000,0
1993-10-10;4000,0
1993-10-11;4000,0
1993-10-12;4000,0
1993-10-13;4000,0
1993-10-14;3999,39
1993-10-15;4089,85
1993-10-16;4089,85
1993-10-17;4089,85
1993-10-18;4089,85
1993-10-19;4089,85
1993-10-20;4089,85
1993-10-21;4089,85
1993-10-22;4057,14
1993-10-23;4057,14
1993-10-24;4057,14
1993-10-25;4057,14
1993-10-26;4072,93
1993-10-27;4072,93
