Fecha;A;B;C;D;E
2017-01-01;35047,05;32532,99;68834,59;28877,6;60417,43
2017-01-02;35047,05;32532,99;68834,59;28877,6;60417,43
2017-01-03;35182,61;32643,45;69052,14;28942,3;60495,09
2017-01-04;35441,5;32837,82;69383,18;29070,28;60679,21
2017-01-05;35551,44;32941,76;69612,08;29164,39;60845,23
2017-01-06;35510,4;32921,64;69610,54;29184,42;60921,14
2017-01-07;35510,4;32921,64;69610,54;29184,42;60921,14
2017-01-08;35510,4;32921,64;69610,54;29184,42;60921,14
2017-01-09;35452,73;32883,9;69536,03;29154,2;60854,63
2017-01-10;35588,98;32973,03;69665,32;29180,44;60862,61
2017-01-11;35685,97;33036,66;69731,4;29178,64;60838,89
2017-01-12;35860,02;33160,09;69915,67;29212,52;60868,95
2017-01-13;35589,04;32989,96;69701,95;29177,09;60911,14
2017-01-14;35589,04;32989,96;69701,95;29177,09;60911,14
2017-01-15;35589,04;32989,96;69701,95;29177,09;60911,14
2017-01-16;35516,19;32946,84;69633,53;29154,58;60874,8
2017-01-17;35525,46;32946,69;69633,42;29152,92;60865,9
2017-01-18;35402,06;32857,74;69477,99;29108,12;60836,75
2017-01-19;35510,23;32930,37;69564,93;29104,11;60792,01
2017-01-20;35471,52;32903,61;69512,39;29089,36;60771,64
2017-01-21;35471,52;32903,61;69512,39;29089,36;60771,64
2017-01-22;35471,52;32903,61;69512,39;29089,36;60771,64
2017-01-23;35491,44;32919,62;69568,41;29114,65;60813,74
2017-01-24;35269,04;32766,36;69342,59;29055,37;60768,54
2017-01-25;35444,14;32885,23;69507,21;29088,13;60807,8
2017-01-26;35562,09;32974,05;69625,82;29117,13;60842,56
2017-01-27;35542,78;32961,48;69594,08;29092,88;60816,69
2017-01-28;35542,78;32961,48;69594,08;29092,88;60816,69
2017-01-29;35542,78;32961,48;69594,08;29092,88;60816,69
2017-01-30;35578,65;32981,1;69622,47;29103,75;60827,37
2017-01-31;35379,19;32835,01;69427,88;29072,57;60823,3
2017-02-01;35221,12;32734,82;69313,91;29067,96;60874,74
2017-02-02;35312,93;32810,18;69464,18;29123,2;60972,9
2017-02-03;35222,51;32760,17;69416,29;29124,91;61006,7
2017-02-04;35222,51;32760,17;69416,29;29124,91;61006,7
2017-02-05;35222,51;32760,17;69416,29;29124,91;61006,7
2017-02-06;35306,14;32823,4;69520,81;29149,62;61035,16
2017-02-07;35234,71;32773,39;69436,53;29119,45;61010,28
2017-02-08;35456,74;32941,91;69743,79;29220,03;61135,98
2017-02-09;35551,98;33010,76;69868,57;29257,61;61201,68
2017-02-10;35679,84;33114,65;70024,96;29299,92;61268,33
2017-02-11;35679,84;33114,65;70024,96;29299,92;61268,33
2017-02-12;35679,84;33114,65;70024,96;29299,92;61268,33
2017-02-13;35634,91;33089,16;69976,99;29287,34;61271,73
2017-02-14;35751,88;33172,79;70076,09;29304,67;61282,04
2017-02-15;35739,2;33169,47;70083,7;29316,87;61330,92
2017-02-16;35744,14;33159,19;70035,66;29291,73;61287,11
2017-02-17;35737,72;33152,43;70002,57;29265,17;61224,66
2017-02-18;35737,72;33152,43;70002,57;29265,17;61224,66
2017-02-19;35737,72;33152,43;70002,57;29265,17;61224,66
2017-02-20;35924,03;33283,77;70229,53;29340,09;61316,48
2017-02-21;35903,23;33251,72;70151,9;29303,77;61274,6
2017-02-22;36060,84;33358,28;70269,53;29322,93;61254,67
2017-02-23;36045,22;33354,09;70287,91;29338,52;61298,64
2017-02-24;36036,16;33363,28;70324,56;29368,2;61383,32
2017-02-25;36036,16;33363,28;70324,56;29368,2;61383,32
2017-02-26;36036,16;33363,28;70324,56;29368,2;61383,32
2017-02-27;36129,27;33424,34;70472,92;29423,44;61472,0
2017-02-28;36086,92;33392,82;70395,52;29398,01;61440,24
2017-03-01;36192,23;33468,43;70555,41;29449,22;61506,64
2017-03-02;36508,52;33671,34;70788,26;29488,72;61505,33
2017-03-03;36523,83;33685,8;70824,42;29489,11;61510,62
2017-03-04;36523,83;33685,8;70824,42;29489,11;61510,62
2017-03-05;36523,83;33685,8;70824,42;29489,11;61510,62
2017-03-06;36602,65;33745,38;70932,35;29525,61;61538,45
2017-03-07;36788,98;33872,04;71118,58;29548,41;61529,86
2017-03-08;36845,74;33911,1;71169,06;29541,53;61496,32
2017-03-09;36822,63;33893,26;71123,18;29515,4;61471,99
2017-03-10;36865,66;33900,52;71075,42;29478,53;61376,46
2017-03-11;36865,66;33900,52;71075,42;29478,53;61376,46
2017-03-12;36865,66;33900,52;71075,42;29478,53;61376,46
2017-03-13;36956,95;33949,18;71117,57;29473,63;61317,86
2017-03-14;37206,02;34126,52;71360,33;29500,91;61292,47
2017-03-15;37330,02;34202,37;71384,86;29459,29;61157,75
2017-03-16;37583,15;34364,93;71544,79;29491,42;61151,94
2017-03-17;37547,64;34371,87;71626,82;29543,85;61309,95
2017-03-18;37547,64;34371,87;71626,82;29543,85;61309,95
2017-03-19;37547,64;34371,87;71626,82;29543,85;61309,95
2017-03-20;37602,1;34440,48;71793,46;29609,27;61444,86
2017-03-21;37703,07;34522,16;71950,87;29665,56;61518,69
2017-03-22;37423,95;34341,57;71705,82;29596,76;61453,28
2017-03-23;37545,85;34437,34;71896,94;29679,74;61590,59
2017-03-24;37618,49;34501,7;72013,54;29719,78;61688,35
2017-03-25;37618,49;34501,7;72013,54;29719,78;61688,35
2017-03-26;37618,49;34501,7;72013,54;29719,78;61688,35
2017-03-27;37736,25;34595,67;72168,05;29762,21;61725,25
2017-03-28;37809,32;34650,65;72293,01;29818,16;61812,68
2017-03-29;38176,06;34910,12;72646,67;29878,02;61835,34
2017-03-30;38167,76;34912,36;72663,74;29888,71;61849,46
