Fecha;C
1992-08-10;4000,0
1992-08-11;4000,0
1992-08-12;4000,0
1992-08-13;4000,0
1992-08-14;4000,0
1992-08-15;4000,0
1992-08-16;4000,0
1992-08-17;4000,0
1992-08-18;4000,0
1992-08-19;4000,0
1992-08-20;4000,0
1992-08-21;4000,0
1992-08-22;4000,0
1992-08-23;4000,0
1992-08-24;4000,0
1992-08-25;4000,0
1992-08-26;4000,0
1992-08-27;4000,0
1992-08-28;4000,0
1992-08-29;4000,0
1992-08-30;4000,0
1992-08-31;4000,0
1992-09-01;4000,0
1992-09-02;4000,0
1992-09-03;4000,0
1992-09-04;4000,0
1992-09-05;4000,0
1992-09-06;4000,0
1992-09-07;4000,0
1992-09-08;4000,0
1992-09-09;4000,0
1992-09-10;4000,0
1992-09-11;4000,0
1992-09-12;4000,0
1992-09-13;4000,0
1992-09-14;4000,0
1992-09-15;4000,0
1992-09-16;4000,0
1992-09-17;4000,0
1992-09-18;4000,0
1992-09-19;4000,0
1992-09-20;4000,0
1992-09-21;4000,0
1992-09-22;4000,0
1992-09-23;4000,04
1992-09-24;4028,29
1992-09-25;4030,18
1992-09-26;4030,18
1992-09-27;4030,18
1992-09-28;4038,44
1992-09-29;4040,94
1992-09-30;4043,92
1992-10-01;4044,53
1992-10-02;4047,08
1992-10-03;4047,08
1992-10-04;4047,08
1992-10-05;4053,54
1992-10-06;4056,05
1992-10-07;4058,86
1992-10-08;4066,21
1992-10-09;4068,52
1992-10-10;4068,52
1992-10-11;4068,52
1992-10-12;4068,52
1992-10-13;4082,21
1992-10-14;4024,17
1992-10-15;4030,89
1992-10-16;4044,71
1992-10-17;4044,71
1992-10-18;4044,71
1992-10-19;4069,66
1992-10-20;4075,8
1992-10-21;4074,52
1992-10-22;4084,98
1992-10-23;4089,84
1992-10-24;4089,84
1992-10-25;4089,84
1992-10-26;4098,76
1992-10-27;4099,76
1992-10-28;4103,26
1992-10-29;4110,33
1992-10-30;4123,66
1992-10-31;4123,66
1992-11-01;4123,66
1992-11-02;4149,22
1992-11-03;4142,86
1992-11-04;4140,95
1992-11-05;4149,03
1992-11-06;4161,05
1992-11-07;4161,05
1992-11-08;4161,05
1992-11-09;4176,65
1992-11-10;4179,8
1992-11-11;4190,37
1992-11-12;4199,53
1992-11-13;4198,55
1992-11-14;4198,55
1992-11-15;4198,55
1992-11-16;4197,93
1992-11-17;4194,23
1992-11-18;4193,63
1992-11-19;4187,84
1992-11-20;4191,61
1992-11-21;4191,61
1992-11-22;4191,61
1992-11-23;4196,6
1992-11-24;4195,1
1992-11-25;4189,97
1992-11-26;4256,43
1992-11-27;4187,77
1992-11-28;4187,77
1992-11-29;4187,77
1992-11-30;4188,74
1992-12-01;4187,79
1992-12-02;4201,95
1992-12-03;4203,48
1992-12-04;4207,25
1992-12-05;4207,25
1992-12-06;4207,25
1992-12-07;4215,34
1992-12-08;4215,34
1992-12-09;4216,92
1992-12-10;4218,97
1992-12-11;4219,2
1992-12-12;4219,2
1992-12-13;4219,2
1992-12-14;4225,37
1992-12-15;4222,08
1992-12-16;4221,22
1992-12-17;4223,98
1992-12-18;4226,2
1992-12-19;4226,2
1992-12-20;4226,2
1992-12-21;4232,45
1992-12-22;4233,38
1992-12-23;4236,08
1992-12-24;4243,98
1992-12-25;4243,98
1992-12-26;4243,98
1992-12-27;4243,98
1992-12-28;4259,75
1992-12-29;4251,81
1992-12-30;4257,97
1992-12-31;4257,13
1993-01-01;4257,13
1993-01-02;4257,13
1993-01-03;4257,13
1993-01-04;4267,01
1993-01-05;4266,39
1993-01-06;4270,36
1993-01-07;4271,84
1993-01-08;4273,06
1993-01-09;4273,06
1993-01-10;4273,06
1993-01-11;4270,19
1993-01-12;4283,41
1993-01-13;4280,36
1993-01-14;4278,41
1993-01-15;4288,35
1993-01-16;4288,35
1993-01-17;4288,35
1993-01-18;4300,24
1993-01-19;4304,68
1993-01-20;4298,89
1993-01-21;4298,43
1993-01-22;4309,71
1993-01-23;4309,71
1993-01-24;4309,71
1993-01-25;4318,67
1993-01-26;4332,4
1993-01-27;4315,79
1993-01-28;4349,36
1993-01-29;4367,28
1993-01-30;4367,28
1993-01-31;4367,28
1993-02-01;4376,98
1993-02-02;4384,29
1993-02-03;4391,76
1993-02-04;4405,56
1993-02-05;4411,49
1993-02-06;4411,49
1993-02-07;4411,49
1993-02-08;4418,12
1993-02-09;4425,79
1993-02-10;4428,88
1993-02-11;4426,96
1993-02-12;4423,4
1993-02-13;4423,4
1993-02-14;4423,4
1993-02-15;4416,99
1993-02-16;4410,77
1993-02-17;4411,0
1993-02-18;4412,47
1993-02-19;4411,72
1993-02-20;4411,72
1993-02-21;4411,72
1993-02-22;4418,4
1993-02-23;4418,6
1993-02-24;4419,88
1993-02-25;4421,21
1993-02-26;4419,51
1993-02-27;4419,51
1993-02-28;4419,51
1993-03-01;4420,01
1993-03-02;4418,97
1993-03-03;4414,64
1993-03-04;4414,31
1993-03-05;4413,07
1993-03-06;4413,07
1993-03-07;4413,07
1993-03-08;4416,47
1993-03-09;4412,59
1993-03-10;4407,95
1993-03-11;4399,46
1993-03-12;4396,35
1993-03-13;4396,35
1993-03-14;4396,35
1993-03-15;4396,73
1993-03-16;4397,36
1993-03-17;4398,33
1993-03-18;4399,42
1993-03-19;4399,17
1993-03-20;4399,17
1993-03-21;4399,17
1993-03-22;4404,51
1993-03-23;4406,17
1993-03-24;4407,49
1993-03-25;4411,91
1993-03-26;4416,28
1993-03-27;4416,28
1993-03-28;4416,28
1993-03-29;4422,71
1993-03-30;4420,88
1993-03-31;4416,42
1993-04-01;4419,15
1993-04-02;4420,11
1993-04-03;4420,11
1993-04-04;4420,11
1993-04-05;4422,03
1993-04-06;4421,32
1993-04-07;4420,81
1993-04-08;4419,59
1993-04-09;4419,59
1993-04-10;4419,59
1993-04-11;4419,59
1993-04-12;4424,76
1993-04-13;4421,48
1993-04-14;4423,01
1993-04-15;4421,43
1993-04-16;4420,1
1993-04-17;4420,1
1993-04-18;4420,1
1993-04-19;4421,04
1993-04-20;4416,57
1993-04-21;4414,09
1993-04-22;4410,46
1993-04-23;4407,93
1993-04-24;4407,93
1993-04-25;4407,93
1993-04-26;4404,18
1993-04-27;4401,3
1993-04-28;4406,99
1993-04-29;4404,04
1993-04-30;4397,18
1993-05-01;4397,18
1993-05-02;4397,18
1993-05-03;4398,04
1993-05-04;4396,55
1993-05-05;4398,59
1993-05-06;4398,73
1993-05-07;4393,68
1993-05-08;4393,68
1993-05-09;4393,68
1993-05-10;4383,48
1993-05-11;4377,62
1993-05-12;4375,1
1993-05-13;4376,47
1993-05-14;4380,27
1993-05-15;4380,27
1993-05-16;4380,27
1993-05-17;4385,25
1993-05-18;4389,13
1993-05-19;4391,06
1993-05-20;4394,57
1993-05-21;4394,57
1993-05-22;4394,57
1993-05-23;4394,57
1993-05-24;4406,98
1993-05-25;4407,35
1993-05-26;4413,54
1993-05-27;4422,31
1993-05-28;4427,58
1993-05-29;4427,58
1993-05-30;4427,58
1993-05-31;4440,1
1993-06-01;4443,02
1993-06-02;4450,95
1993-06-03;4456,24
1993-06-04;4462,95
1993-06-05;4462,95
1993-06-06;4462,95
1993-06-07;4474,54
1993-06-08;4477,13
1993-06-09;4480,96
1993-06-10;4480,96
1993-06-11;4493,72
1993-06-12;4493,72
1993-06-13;4493,72
1993-06-14;4506,37
1993-06-15;4512,53
1993-06-16;4521,93
1993-06-17;4533,1
1993-06-18;4554,1
1993-06-19;4554,1
1993-06-20;4554,1
1993-06-21;4566,73
1993-06-22;4569,3
1993-06-23;4573,69
1993-06-24;4585,25
1993-06-25;4595,4
1993-06-26;4595,4
1993-06-27;4595,4
1993-06-28;4609,43
1993-06-29;4609,43
1993-06-30;4616,14
1993-07-01;4635,2
1993-07-02;4649,78
1993-07-03;4649,78
1993-07-04;4649,78
1993-07-05;4663,05
1993-07-06;4672,37
1993-07-07;4684,64
1993-07-08;4696,01
1993-07-09;4704,93
1993-07-10;4704,93
1993-07-11;4704,93
1993-07-12;4716,28
1993-07-13;4724,62
1993-07-14;4726,02
1993-07-15;4723,62
1993-07-16;4724,94
1993-07-17;4724,94
1993-07-18;4724,94
1993-07-19;4734,05
1993-07-20;4733,43
1993-07-21;4728,9
1993-07-22;4728,61
1993-07-23;4730,99
1993-07-24;4730,99
1993-07-25;4730,99
1993-07-26;4735,27
1993-07-27;4735,0
1993-07-28;4734,33
1993-07-29;4732,92
1993-07-30;4735,45
1993-07-31;4735,45
1993-08-01;4735,45
1993-08-02;4757,08
1993-08-03;4763,08
1993-08-04;4768,27
1993-08-05;4782,84
1993-08-06;4792,23
1993-08-07;4792,23
1993-08-08;4792,23
1993-08-09;4798,06
1993-08-10;4796,57
1993-08-11;4799,84
1993-08-12;4803,41
1993-08-13;4808,73
1993-08-14;4808,73
1993-08-15;4808,73
1993-08-16;4818,91
1993-08-17;4818,71
1993-08-18;4825,69
1993-08-19;4834,08
1993-08-20;4837,2
1993-08-21;4837,2
1993-08-22;4837,2
1993-08-23;4859,21
1993-08-24;4862,68
1993-08-25;4864,57
1993-08-26;4869,25
1993-08-27;4882,64
1993-08-28;4882,64
1993-08-29;4882,64
1993-08-30;4897,31
1993-08-31;4898,38
1993-09-01;4905,16
1993-09-02;4915,03
1993-09-03;4924,08
1993-09-04;4924,08
1993-09-05;4924,08
1993-09-06;4928,41
1993-09-07;4933,57
1993-09-08;4937,84
1993-09-09;4941,49
1993-09-10;4943,67
1993-09-11;4943,67
1993-09-12;4943,67
1993-09-13;4955,31
1993-09-14;4952,39
1993-09-15;4951,5
1993-09-16;4953,53
1993-09-17;4959,29
1993-09-18;4959,29
1993-09-19;4959,29
1993-09-20;4967,16
1993-09-21;4968,66
1993-09-22;4972,59
1993-09-23;4981,26
1993-09-24;4982,41
1993-09-25;4982,41
1993-09-26;4982,41
1993-09-27;5000,57
1993-09-28;5005,8
1993-09-29;5010,24
1993-09-30;5019,41
1993-10-01;5028,34
1993-10-02;5028,34
1993-10-03;5028,34
1993-10-04;5039,42
1993-10-05;5043,64
1993-10-06;5049,09
