Fecha,C
1988-01-01,827.69
1988-01-02,827.69
1988-01-03,827.69
1988-01-04,831.4
1988-01-05,833.13
1988-01-06,835.61
1988-01-07,838.72
1988-01-08,840.05
1988-01-09,840.05
1988-01-10,840.05
1988-01-11,841.69
1988-01-12,843.0
1988-01-13,844.65
1988-01-14,845.39
1988-01-15,846.17
1988-01-16,846.17
1988-01-17,846.17
1988-01-18,847.04
1988-01-19,847.75
1988-01-20,848.31
1988-01-21,848.5
1988-01-22,849.17
1988-01-23,849.17
1988-01-24,849.17
1988-01-25,850.02
1988-01-26,850.16
1988-01-27,851.54
1988-01-28,851.82
1988-01-29,853.63
1988-01-30,853.63
1988-01-31,853.63
1988-02-01,855.85
1988-02-02,856.08
1988-02-03,856.08
1988-02-04,856.39
1988-02-05,856.83
1988-02-06,856.83
1988-02-07,856.83
1988-02-08,857.52
1988-02-09,857.82
1988-02-10,858.32
1988-02-11,859.28
1988-02-12,859.6
1988-02-13,859.6
1988-02-14,859.6
1988-02-15,860.85
1988-02-16,860.97
1988-02-17,861.18
1988-02-18,862.44
1988-02-19,863.25
1988-02-20,863.25
1988-02-21,863.25
1988-02-22,864.46
1988-02-23,865.0
1988-02-24,865.82
1988-02-25,866.62
1988-02-26,867.1
1988-02-27,867.1
1988-02-28,867.1
1988-02-29,868.05
1988-03-01,868.83
1988-03-02,869.31
1988-03-03,869.98
1988-03-04,870.82
1988-03-05,870.82
1988-03-06,870.82
1988-03-07,872.65
1988-03-08,873.07
1988-03-09,873.42
1988-03-10,874.69
1988-03-11,875.17
1988-03-12,875.17
1988-03-13,875.17
1988-03-14,876.84
1988-03-15,877.13
1988-03-16,877.53
1988-03-17,878.08
1988-03-18,879.12
1988-03-19,879.12
1988-03-20,879.12
1988-03-21,879.79
1988-03-22,879.67
1988-03-23,879.77
1988-03-24,879.76
1988-03-25,879.47
1988-03-26,879.47
1988-03-27,879.47
1988-03-28,879.49
1988-03-29,879.39
1988-03-30,878.71
1988-03-31,879.29
1988-04-01,879.29
1988-04-02,879.29
1988-04-03,879.29
1988-04-04,879.84
1988-04-05,879.55
1988-04-06,879.68
1988-04-07,879.45
1988-04-08,879.46
1988-04-09,879.46
1988-04-10,879.46
1988-04-11,880.78
1988-04-12,881.11
1988-04-13,881.96
1988-04-14,882.35
1988-04-15,882.72
1988-04-16,882.72
1988-04-17,882.72
1988-04-18,884.36
1988-04-19,884.74
1988-04-20,884.95
1988-04-21,885.15
1988-04-22,885.32
1988-04-23,885.32
1988-04-24,885.32
1988-04-25,886.42
1988-04-26,886.45
1988-04-27,886.7
1988-04-28,886.66
1988-04-29,887.01
1988-04-30,887.01
1988-05-01,887.01
1988-05-02,888.78
1988-05-03,889.47
1988-05-04,890.09
1988-05-05,890.59
1988-05-06,891.12
1988-05-07,891.12
1988-05-08,891.12
1988-05-09,893.23
1988-05-10,893.65
1988-05-11,893.09
1988-05-12,893.13
1988-05-13,892.93
1988-05-14,892.93
1988-05-15,892.93
1988-05-16,893.83
1988-05-17,894.22
1988-05-18,894.31
1988-05-19,894.38
1988-05-20,894.39
1988-05-21,894.39
1988-05-22,894.39
1988-05-23,895.45
1988-05-24,895.86
1988-05-25,896.82
1988-05-26,897.36
1988-05-27,897.82
1988-05-28,897.82
1988-05-29,897.82
1988-05-30,899.39
1988-05-31,899.77
1988-06-01,900.13
1988-06-02,900.13
1988-06-03,900.65
1988-06-04,900.65
1988-06-05,900.65
1988-06-06,901.62
1988-06-07,902.0
1988-06-08,902.41
1988-06-09,903.35
1988-06-10,903.71
1988-06-11,903.71
1988-06-12,903.71
1988-06-13,904.94
1988-06-14,906.12
1988-06-15,907.09
1988-06-16,908.39
1988-06-17,909.65
1988-06-18,909.65
1988-06-19,909.65
1988-06-20,911.22
1988-06-21,912.47
1988-06-22,913.56
1988-06-23,914.23
1988-06-24,914.83
1988-06-25,914.83
1988-06-26,914.83
1988-06-27,916.09
1988-06-28,916.63
1988-06-29,916.63
1988-06-30,917.74
1988-07-01,919.36
1988-07-02,919.36
1988-07-03,919.36
1988-07-04,920.62
1988-07-05,920.86
1988-07-06,921.56
1988-07-07,921.75
1988-07-08,921.85
1988-07-09,921.85
1988-07-10,921.85
1988-07-11,922.53
1988-07-12,922.7
1988-07-13,922.46
1988-07-14,922.21
1988-07-15,921.52
1988-07-16,921.52
1988-07-17,921.52
1988-07-18,921.71
1988-07-19,921.81
1988-07-20,922.09
1988-07-21,923.08
1988-07-22,923.35
1988-07-23,923.35
1988-07-24,923.35
1988-07-25,923.73
1988-07-26,924.0
1988-07-27,924.36
1988-07-28,924.91
1988-07-29,925.67
1988-07-30,925.67
1988-07-31,925.67
1988-08-01,926.93
1988-08-02,927.37
1988-08-03,927.88
1988-08-04,928.49
1988-08-05,929.33
1988-08-06,929.33
1988-08-07,929.33
1988-08-08,930.58
1988-08-09,931.26
1988-08-10,931.6
1988-08-11,931.82
1988-08-12,931.82
1988-08-13,931.82
1988-08-14,931.82
1988-08-15,931.82
1988-08-16,932.1
1988-08-17,932.15
1988-08-18,931.92
1988-08-19,931.68
1988-08-20,931.68
1988-08-21,931.68
1988-08-22,932.16
1988-08-23,932.46
1988-08-24,932.05
1988-08-25,932.35
1988-08-26,933.04
1988-08-27,933.04
1988-08-28,933.04
1988-08-29,934.01
1988-08-30,934.54
1988-08-31,934.79
1988-09-01,934.48
1988-09-02,934.97
1988-09-03,934.97
1988-09-04,934.97
1988-09-05,935.64
1988-09-06,935.92
1988-09-07,936.09
1988-09-08,936.07
1988-09-09,936.09
1988-09-10,936.09
1988-09-11,936.09
1988-09-12,936.86
1988-09-13,937.23
1988-09-14,937.61
1988-09-15,937.66
1988-09-16,938.08
1988-09-17,938.08
1988-09-18,938.08
1988-09-19,938.08
1988-09-20,939.4
1988-09-21,939.86
1988-09-22,939.88
1988-09-23,940.29
1988-09-24,940.29
1988-09-25,940.29
1988-09-26,941.54
1988-09-27,941.63
1988-09-28,941.45
1988-09-29,940.96
1988-09-30,940.68
1988-10-01,940.68
1988-10-02,940.68
1988-10-03,940.55
1988-10-04,941.36
1988-10-05,941.36
1988-10-06,943.28
1988-10-07,943.22
1988-10-08,943.22
1988-10-09,943.22
1988-10-10,943.6
1988-10-11,943.66
1988-10-12,943.66
1988-10-13,943.52
1988-10-14,943.34
1988-10-15,943.34
1988-10-16,943.34
1988-10-17,944.37
1988-10-18,944.62
1988-10-19,944.39
1988-10-20,943.5
1988-10-21,941.24
1988-10-22,941.24
1988-10-23,941.24
1988-10-24,942.31
1988-10-25,942.77
1988-10-26,943.67
1988-10-27,944.16
1988-10-28,945.72
1988-10-29,945.72
1988-10-30,945.72
1988-10-31,947.24
1988-11-01,947.24
1988-11-02,947.93
1988-11-03,949.84
1988-11-04,950.41
1988-11-05,950.41
1988-11-06,950.41
1988-11-07,951.82
1988-11-08,952.28
1988-11-09,952.8
1988-11-10,954.0
1988-11-11,954.98
1988-11-12,954.98
1988-11-13,954.98
1988-11-14,955.98
1988-11-15,956.49
1988-11-16,957.2
1988-11-17,957.22
1988-11-18,957.45
1988-11-19,957.45
1988-11-20,957.45
1988-11-21,959.13
1988-11-22,959.65
1988-11-23,959.93
1988-11-24,960.71
1988-11-25,961.34
1988-11-26,961.34
1988-11-27,961.34
1988-11-28,963.38
1988-11-29,964.05
1988-11-30,965.04
1988-12-01,964.99
1988-12-02,965.71
1988-12-03,965.71
1988-12-04,965.71
1988-12-05,967.54
1988-12-06,968.23
1988-12-07,968.53
1988-12-08,968.53
1988-12-09,969.88
1988-12-10,969.88
1988-12-11,969.88
1988-12-12,972.08
1988-12-13,972.85
1988-12-14,973.24
1988-12-15,973.48
1988-12-16,974.1
1988-12-17,974.1
1988-12-18,974.1
1988-12-19,976.41
1988-12-20,977.16
1988-12-21,978.43
1988-12-22,979.22
1988-12-23,980.25
1988-12-24,980.25
1988-12-25,980.25
1988-12-26,982.65
1988-12-27,983.49
1988-12-28,984.25
1988-12-29,985.23
1988-12-30,985.99
1988-12-31,985.99
1989-01-01,985.99
1989-01-02,987.58
1989-01-03,988.37
1989-01-04,990.03
1989-01-05,990.98
1989-01-06,992.91
1989-01-07,992.91
1989-01-08,992.91
1989-01-09,995.24
1989-01-10,996.66
1989-01-11,997.7
1989-01-12,999.19
1989-01-13,1000.33
1989-01-14,1000.33
1989-01-15,1000.33
1989-01-16,1002.99
1989-01-17,1004.1
1989-01-18,1005.6
1989-01-19,1007.42
1989-01-20,1008.62
1989-01-21,1008.62
1989-01-22,1008.62
1989-01-23,1010.53
1989-01-24,1010.79
1989-01-25,1011.08
1989-01-26,1011.83
1989-01-27,1012.63
1989-01-28,1012.63
1989-01-29,1012.63
1989-01-30,1014.68
1989-01-31,1015.39
1989-02-01,1015.19
1989-02-02,1016.48
1989-02-03,1018.15
1989-02-04,1018.15
1989-02-05,1018.15
1989-02-06,1021.37
1989-02-07,1022.54
1989-02-08,1024.15
1989-02-09,1025.81
1989-02-10,1027.36
1989-02-11,1027.36
1989-02-12,1027.36
1989-02-13,1029.7
1989-02-14,1030.94
1989-02-15,1032.52
1989-02-16,1033.64
1989-02-17,1034.37
1989-02-18,1034.37
1989-02-19,1034.37
1989-02-20,1036.61
1989-02-21,1037.89
1989-02-22,1038.94
1989-02-23,1040.29
1989-02-24,1041.48
1989-02-25,1041.48
1989-02-26,1041.48
1989-02-27,1043.68
1989-02-28,1044.48
1989-03-01,1045.13
1989-03-02,1045.97
1989-03-03,1046.62
1989-03-04,1046.62
1989-03-05,1046.62
1989-03-06,1048.28
1989-03-07,1049.1
1989-03-08,1050.15
1989-03-09,1051.39
1989-03-10,1052.55
1989-03-11,1052.55
1989-03-12,1052.55
1989-03-13,1054.74
1989-03-14,1055.93
1989-03-15,1056.91
1989-03-16,1057.56
1989-03-17,1058.42
1989-03-18,1058.42
1989-03-19,1058.42
1989-03-20,1059.19
1989-03-21,1059.38
1989-03-22,1059.37
1989-03-23,1058.72
1989-03-24,1058.72
1989-03-25,1058.72
1989-03-26,1058.72
1989-03-27,1059.49
1989-03-28,1059.08
1989-03-29,1058.85
1989-03-30,1059.09
1989-03-31,1059.54
1989-04-01,1059.54
1989-04-02,1059.54
1989-04-03,1058.77
1989-04-04,1058.96
1989-04-05,1058.91
1989-04-06,1059.38
1989-04-07,1061.54
1989-04-08,1061.54
1989-04-09,1061.54
1989-04-10,1063.35
1989-04-11,1064.73
1989-04-12,1066.46
1989-04-13,1068.73
1989-04-14,1070.81
1989-04-15,1070.81
