Fecha,C
1992-05-01,0.0
1992-05-02,0.0
1992-05-03,0.0
1992-05-04,0.0
1992-05-05,0.0
1992-05-06,0.0
1992-05-07,0.0
1992-05-08,0.0
1992-05-09,0.0
1992-05-10,0.0
1992-05-11,0.0
1992-05-12,0.0
1992-05-13,0.0
1992-05-14,0.0
1992-05-15,0.0
1992-05-16,0.0
1992-05-17,0.0
1992-05-18,0.0
1992-05-19,0.0
1992-05-20,0.0
1992-05-21,0.0
1992-05-22,0.0
1992-05-23,0.0
1992-05-24,0.0
1992-05-25,0.0
1992-05-26,0.0
1992-05-27,0.0
1992-05-28,0.0
1992-05-29,0.0
1992-05-30,0.0
1992-05-31,0.0
1992-06-01,0.0
1992-06-02,0.0
1992-06-03,0.0
1992-06-04,0.0
1992-06-05,0.0
1992-06-06,0.0
1992-06-07,0.0
1992-06-08,0.0
1992-06-09,0.0
1992-06-10,0.0
1992-06-11,0.0
1992-06-12,0.0
1992-06-13,0.0
1992-06-14,0.0
1992-06-15,0.0
1992-06-16,0.0
1992-06-17,0.0
1992-06-18,0.0
1992-06-19,0.0
1992-06-20,0.0
1992-06-21,0.0
1992-06-22,0.0
1992-06-23,0.0
1992-06-24,0.0
1992-06-25,0.0
1992-06-26,0.0
1992-06-27,0.0
1992-06-28,0.0
1992-06-29,0.0
1992-06-30,0.0
1992-07-01,3700.0
1992-07-02,3700.0
1992-07-03,3700.0
1992-07-04,3700.0
1992-07-05,3700.0
1992-07-06,3700.0
1992-07-07,3700.0
1992-07-08,3700.0
1992-07-09,3700.0
1992-07-10,3700.0
1992-07-11,3700.0
1992-07-12,3700.0
1992-07-13,3700.0
1992-07-14,3700.0
1992-07-15,3700.0
1992-07-16,3700.0
1992-07-17,3700.0
1992-07-18,3700.0
1992-07-19,3700.0
1992-07-20,3700.0
1992-07-21,3700.0
1992-07-22,3700.0
1992-07-23,3700.0
1992-07-24,3700.0
1992-07-25,3700.0
1992-07-26,3700.0
1992-07-27,3700.0
1992-07-28,3700.0
1992-07-29,3700.0
1992-07-30,3700.0
1992-07-31,3700.0
1992-08-01,3700.0
1992-08-02,3700.0
1992-08-03,3700.0
1992-08-04,3700.0
1992-08-05,3700.0
1992-08-06,3700.0
1992-08-07,3701.67
1992-08-08,3701.67
1992-08-09,3701.67
1992-08-10,3704.32
1992-08-11,3724.6
1992-08-12,3717.48
1992-08-13,3721.83
1992-08-14,3740.31
1992-08-15,3740.31
1992-08-16,3740.31
1992-08-17,3739.89
1992-08-18,3736.41
1992-08-19,3732.21
1992-08-20,3719.89
1992-08-21,3707.32
1992-08-22,3707.32
1992-08-23,3707.32
1992-08-24,3701.99
1992-08-25,3702.62
1992-08-26,3703.85
1992-08-27,3686.44
1992-08-28,3686.45
1992-08-29,3686.45
1992-08-30,3686.45
1992-08-31,3688.69
1992-09-01,3684.02
1992-09-02,3682.5
1992-09-03,3676.75
1992-09-04,3684.52
1992-09-05,3684.52
1992-09-06,3684.52
1992-09-07,3696.99
1992-09-08,3698.97
1992-09-09,3695.36
1992-09-10,3689.55
1992-09-11,3689.55
1992-09-12,3689.55
1992-09-13,3689.55
1992-09-14,3698.43
1992-09-15,3694.85
1992-09-16,3687.49
1992-09-17,3681.66
1992-09-18,3681.66
1992-09-19,3681.66
1992-09-20,3681.66
1992-09-21,3695.29
1992-09-22,3700.45
1992-09-23,3704.06
1992-09-24,3698.16
1992-09-25,3701.21
1992-09-26,3701.21
1992-09-27,3701.21
1992-09-28,3714.91
1992-09-29,3708.37
1992-09-30,3701.59
1992-10-01,3698.03
1992-10-02,3695.24
1992-10-03,3695.24
1992-10-04,3695.24
1992-10-05,3698.48
1992-10-06,3699.77
1992-10-07,3701.16
1992-10-08,3707.09
1992-10-09,3712.07
1992-10-10,3712.07
1992-10-11,3712.07
1992-10-12,3712.07
1992-10-13,3718.73
1992-10-14,3719.62
1992-10-15,3725.22
1992-10-16,3732.35
1992-10-17,3732.35
1992-10-18,3732.35
1992-10-19,3745.62
1992-10-20,3752.48
1992-10-21,3755.64
1992-10-22,3761.81
1992-10-23,3765.88
1992-10-24,3765.88
1992-10-25,3765.88
1992-10-26,3774.98
1992-10-27,3776.56
1992-10-28,3782.11
1992-10-29,3783.42
1992-10-30,3792.5
1992-10-31,3792.5
1992-11-01,3792.5
1992-11-02,3808.92
1992-11-03,3797.33
1992-11-04,3793.29
1992-11-05,3800.7
1992-11-06,3806.23
1992-11-07,3806.23
1992-11-08,3806.23
1992-11-09,3819.3
1992-11-10,3819.8
1992-11-11,3820.9
1992-11-12,3823.22
1992-11-13,3824.17
1992-11-14,3824.17
1992-11-15,3824.17
1992-11-16,3823.42
