Fecha,C
1981-06-01,100.0
1981-06-02,100.0
1981-06-03,100.0
1981-06-04,100.0
1981-06-05,100.0
1981-06-06,100.0
1981-06-07,100.0
1981-06-08,100.0
1981-06-09,100.0
1981-06-10,100.0
1981-06-11,100.0
1981-06-12,100.0
1981-06-13,100.0
1981-06-14,100.0
1981-06-15,100.0
1981-06-16,100.0
1981-06-17,100.67
1981-06-18,100.75
1981-06-19,100.84
1981-06-20,100.84
1981-06-21,100.84
1981-06-22,101.08
1981-06-23,101.16
1981-06-24,101.24
1981-06-25,101.32
1981-06-26,101.4
1981-06-27,101.4
1981-06-28,101.4
1981-06-29,101.64
1981-06-30,101.72
1981-07-01,101.95
1981-07-02,102.03
1981-07-03,102.12
1981-07-04,102.12
1981-07-05,102.12
1981-07-06,102.35
1981-07-07,102.44
1981-07-08,102.41
1981-07-09,102.49
1981-07-10,102.56
1981-07-11,102.56
1981-07-12,102.56
1981-07-13,102.81
1981-07-14,102.85
1981-07-15,102.92
1981-07-16,103.1
1981-07-17,103.25
1981-07-18,103.25
1981-07-19,103.25
1981-07-20,103.52
1981-07-21,103.6
1981-07-22,103.68
1981-07-23,103.78
1981-07-24,103.7
1981-07-25,103.7
1981-07-26,103.7
1981-07-27,103.97
1981-07-28,104.31
1981-07-29,104.38
1981-07-30,104.59
1981-07-31,104.67
1981-08-01,104.67
1981-08-02,104.67
1981-08-03,104.91
1981-08-04,105.01
1981-08-05,105.09
1981-08-06,105.08
1981-08-07,105.16
1981-08-08,105.16
1981-08-09,105.16
1981-08-10,105.48
1981-08-11,105.63
1981-08-12,105.73
1981-08-13,105.87
1981-08-14,106.02
1981-08-15,106.02
1981-08-16,106.02
1981-08-17,106.47
1981-08-18,106.59
1981-08-19,106.73
1981-08-20,106.77
1981-08-21,106.88
1981-08-22,106.88
1981-08-23,106.88
1981-08-24,107.15
1981-08-25,107.25
1981-08-26,107.33
1981-08-27,107.44
1981-08-28,107.61
1981-08-29,107.61
1981-08-30,107.61
1981-08-31,107.84
1981-09-01,107.93
1981-09-02,108.03
1981-09-03,108.11
1981-09-04,108.29
1981-09-05,108.29
1981-09-06,108.29
1981-09-07,108.53
1981-09-08,108.61
1981-09-09,108.68
1981-09-10,108.8
1981-09-11,108.8
1981-09-12,108.8
1981-09-13,108.8
1981-09-14,109.1
1981-09-15,109.21
1981-09-16,109.32
1981-09-17,109.47
1981-09-18,109.47
1981-09-19,109.47
1981-09-20,109.47
1981-09-21,109.86
1981-09-22,109.94
1981-09-23,110.04
1981-09-24,110.14
1981-09-25,110.27
1981-09-26,110.27
1981-09-27,110.27
1981-09-28,110.5
1981-09-29,110.73
1981-09-30,110.81
1981-10-01,110.89
1981-10-02,110.96
1981-10-03,110.96
1981-10-04,110.96
1981-10-05,111.2
1981-10-06,111.28
1981-10-07,111.3
1981-10-08,111.38
1981-10-09,111.49
1981-10-10,111.49
1981-10-11,111.49
1981-10-12,111.49
1981-10-13,111.87
1981-10-14,112.0
1981-10-15,112.17
1981-10-16,112.28
1981-10-17,112.28
1981-10-18,112.28
1981-10-19,112.7
1981-10-20,112.79
1981-10-21,112.88
1981-10-22,112.97
1981-10-23,113.05
1981-10-24,113.05
1981-10-25,113.05
1981-10-26,113.32
1981-10-27,113.4
1981-10-28,113.5
1981-10-29,113.59
1981-10-30,113.67
1981-10-31,113.67
1981-11-01,113.67
1981-11-02,113.95
1981-11-03,113.89
1981-11-04,113.99
1981-11-05,114.08
1981-11-06,114.3
1981-11-07,114.3
1981-11-08,114.3
1981-11-09,114.51
1981-11-10,114.6
1981-11-11,114.82
1981-11-12,114.8
1981-11-13,114.83
1981-11-14,114.83
1981-11-15,114.83
1981-11-16,115.06
