Fecha;A;B;C;D;E
2019-10-01;48000,0;42000,0;48000,0;39000,0;47000,0
2019-10-02;48000,0;42000,0;47999,98;39000,0;47000,0
2019-10-03;48000,0;42000,0;47929,7;39000,0;47000,0
2019-10-04;48000,0;42000,0;48090,83;39000,0;47000,0
2019-10-05;48000,0;42000,0;48090,83;39000,0;47000,0
2019-10-06;48000,0;42000,0;48090,83;39000,0;47000,0
2019-10-07;48000,0;42000,0;48210,12;39000,0;47000,0
2019-10-08;48000,0;42000,0;48319,21;39000,0;47000,0
2019-10-09;48000,0;42000,0;48373,18;39000,0;47000,0
2019-10-10;48000,0;42000,0;48564,62;39000,0;47000,0
2019-10-11;48016,37;42000,0;48499,33;39000,0;47000,0
2019-10-12;48016,37;42000,0;48499,33;39000,0;47000,0
2019-10-13;48016,37;42000,0;48499,33;39000,0;47000,0
2019-10-14;48008,16;42000,0;48478,93;39000,0;47000,0
2019-10-15;48715,26;42000,0;48493,81;39000,0;47000,0
2019-10-16;49166,99;42000,0;48612,52;39000,0;47000,0
2019-10-17;49565,61;42000,0;48607,62;39000,0;47000,96
2019-10-18;49436,75;42000,0;48406,53;39000,0;47012,85
2019-10-19;49436,75;42000,0;48406,53;39000,0;47012,85
2019-10-20;49436,75;42000,0;48406,53;39000,0;47012,85
2019-10-21;49563,82;42000,0;48163,46;39000,0;46946,94
2019-10-22;49892,97;42000,0;48196,52;39000,0;46813,15
2019-10-23;49968,46;42000,0;48028,4;39000,0;46604,31
2019-10-24;49937,27;42000,0;48036,44;39000,0;46629,96
2019-10-25;49880,51;42000,0;48092,15;39000,0;46762,0
2019-10-26;49880,51;42000,0;48092,15;39000,0;46762,0
2019-10-27;49880,51;42000,0;48092,15;39000,0;46762,0
2019-10-28;50056,36;42064,45;48185,37;39000,0;46753,04
2019-10-29;50298,15;42269,33;48155,49;39000,0;46581,53
2019-10-30;50164,6;42186,39;47988,51;39000,0;46385,56
2019-10-31;50164,6;42186,39;47988,51;39000,0;46385,56
2019-11-01;50164,6;42186,39;47988,51;39000,0;46385,56
2019-11-02;50164,6;42186,39;47988,51;39000,0;46385,56
2019-11-03;50164,6;42186,39;47988,51;39000,0;46385,56
2019-11-04;50774,15;42536,65;48278,39;39062,31;46388,03
2019-11-05;51306,14;42882,13;48471,59;39063,87;46275,18
2019-11-06;51684,45;43096,73;48624,79;39107,32;46238,6
2019-11-07;51350,88;42870,43;48502,69;39121,88;46318,76
2019-11-08;51295,95;42846,0;48527,14;39185,19;46453,41
2019-11-09;51295,95;42846,0;48527,14;39185,19;46453,41
2019-11-10;51295,95;42846,0;48527,14;39185,19;46453,41
2019-11-11;51474,03;43026,49;48758,48;39413,59;46749,08
2019-11-12;51540,48;43041,07;48780,44;39438,64;46755,57
2019-11-13;52568,28;43546,87;48943,67;39299,02;46202,46
2019-11-14;52666,35;43459,67;48495,28;38712,98;45438,81
2019-11-15;52906,82;43347,64;47959,75;38137,41;43918,19
2019-11-16;52906,82;43347,64;47959,75;38137,41;43918,19
2019-11-17;52906,82;43347,64;47959,75;38137,41;43918,19
2019-11-18;52856,14;43747,57;49174,32;39305,4;46023,5
2019-11-19;52561,13;43626,96;49189,82;39397,89;46405,28
2019-11-20;52956,03;43892,96;49421,79;39548,59;46525,2
2019-11-21;53465,05;44157,54;49570,27;39546,11;46323,11
2019-11-22;53252,46;44006,8;49455,33;39536,06;46309,28
2019-11-23;53252,46;44006,8;49455,33;39536,06;46309,28
2019-11-24;53252,46;44006,8;49455,33;39536,06;46309,28
2019-11-25;53336,43;44053,02;49527,79;39618,0;46401,4
2019-11-26;53318,96;44069,31;49609,79;39736,23;46595,95
2019-11-27;53189,5;43992,5;49602,6;39808,73;46716,88
2019-11-28;53900,69;44423,75;49929,45;39945,07;46693,9
2019-11-29;54827,4;44972,87;50292,06;40082,83;46613,18
2019-11-30;54827,4;44972,87;50292,06;40082,83;46613,18
2019-12-01;54827,4;44972,87;50292,06;40082,83;46613,18
2019-12-02;53923,35;44403,16;49816,8;39835,52;46591,72
2019-12-03;53398,86;44039,5;49512,28;39630,68;46427,17
2019-12-04;53159,41;43855,5;49341,0;39498,09;46322,37
2019-12-05;53153,39;43879,29;49346,0;39479,96;46319,17
2019-12-06;52970,72;43768,81;49174,29;39334,44;46240,24
2019-12-07;52970,72;43768,81;49174,29;39334,44;46240,24
2019-12-08;52970,72;43768,81;49174,29;39334,44;46240,24
2019-12-09;53100,57;43894,58;49320,16;39462,08;46390,52
2019-12-10;52652,28;43629,09;49156,57;39416,7;46407,7
2019-12-11;53015,01;43878,34;49371,75;39545,9;46485,53
2019-12-12;53032,15;43922,42;49487,97;39743,22;46667,8
2019-12-13;53219,63;44088,42;49683,35;39934,94;46869,32
2019-12-14;53219,63;44088,42;49683,35;39934,94;46869,32
