Fecha;C
1994-04-01;4703,68
1994-04-02;4703,68
1994-04-03;4703,68
1994-04-04;4694,89
1994-04-05;4682,33
1994-04-06;4671,31
1994-04-07;4666,04
1994-04-08;4660,04
1994-04-09;4660,04
1994-04-10;4660,04
1994-04-11;4669,66
1994-04-12;4669,02
1994-04-13;4668,47
1994-04-14;4672,42
1994-04-15;4679,79
1994-04-16;4679,79
1994-04-17;4679,79
1994-04-18;4693,43
1994-04-19;4699,77
1994-04-20;4715,67
1994-04-21;4726,5
1994-04-22;4729,58
1994-04-23;4729,58
1994-04-24;4729,58
1994-04-25;4738,11
1994-04-26;4742,31
1994-04-27;4749,55
1994-04-28;4756,73
1994-04-29;4761,39
1994-04-30;4761,39
1994-05-01;4761,39
1994-05-02;4769,91
1994-05-03;4774,52
1994-05-04;4780,4
1994-05-05;4788,44
1994-05-06;4800,21
1994-05-07;4800,21
1994-05-08;4800,21
1994-05-09;4811,36
1994-05-10;4812,59
1994-05-11;4814,57
1994-05-12;4815,3
1994-05-13;4810,43
1994-05-14;4810,43
1994-05-15;4810,43
1994-05-16;4808,1
1994-05-17;4807,43
1994-05-18;4805,95
1994-05-19;4815,06
1994-05-20;4819,45
1994-05-21;4819,45
1994-05-22;4819,45
1994-05-23;4830,18
1994-05-24;4837,38
1994-05-25;4844,54
1994-05-26;4852,34
1994-05-27;4862,8
1994-05-28;4862,8
1994-05-29;4862,8
1994-05-30;4877,02
1994-05-31;4888,75
1994-06-01;4904,27
1994-06-02;4904,27
1994-06-03;4918,79
1994-06-04;4918,79
1994-06-05;4918,79
1994-06-06;4931,21
1994-06-07;4941,87
1994-06-08;4951,18
1994-06-09;4966,78
1994-06-10;4977,09
1994-06-11;4977,09
1994-06-12;4977,09
1994-06-13;4984,12
1994-06-14;4987,96
1994-06-15;4996,53
1994-06-16;5008,11
1994-06-17;5015,03
1994-06-18;5015,03
1994-06-19;5015,03
1994-06-20;5023,5
1994-06-21;5022,26
1994-06-22;5018,47
1994-06-23;5010,7
1994-06-24;5008,6
1994-06-25;5008,6
1994-06-26;5008,6
1994-06-27;5014,21
1994-06-28;5011,67
1994-06-29;5011,67
1994-06-30;5010,95
1994-07-01;5001,5
1994-07-02;5001,5
1994-07-03;5001,5
1994-07-04;4996,22
1994-07-05;4992,05
1994-07-06;4987,64
1994-07-07;4984,82
1994-07-08;4985,04
1994-07-09;4985,04
1994-07-10;4985,04
1994-07-11;4978,78
1994-07-12;4969,58
1994-07-13;4966,66
1994-07-14;4966,49
1994-07-15;4971,02
1994-07-16;4971,02
1994-07-17;4971,02
1994-07-18;4977,85
1994-07-19;4977,95
1994-07-20;4983,2
1994-07-21;4980,85
1994-07-22;4983,66
1994-07-23;4983,66
1994-07-24;4983,66
1994-07-25;4984,07
1994-07-26;4978,61
1994-07-27;4981,69
1994-07-28;4975,8
1994-07-29;4974,44
1994-07-30;4974,44
1994-07-31;4974,44
1994-08-01;4979,65
1994-08-02;4978,96
1994-08-03;4983,18
1994-08-04;4990,2
1994-08-05;4998,7
1994-08-06;4998,7
1994-08-07;4998,7
1994-08-08;5001,35
1994-08-09;5015,05
1994-08-10;5022,5
1994-08-11;5037,16
1994-08-12;5046,19
1994-08-13;5046,19
1994-08-14;5046,19
1994-08-15;5046,19
1994-08-16;5059,05
1994-08-17;5063,11
1994-08-18;5066,48
1994-08-19;5070,82
1994-08-20;5070,82
1994-08-21;5070,82
1994-08-22;5072,21
1994-08-23;5077,96
1994-08-24;5083,55
1994-08-25;5088,51
1994-08-26;5097,8
1994-08-27;5097,8
1994-08-28;5097,8
1994-08-29;5103,58
1994-08-30;5107,45
1994-08-31;5120,49
1994-09-01;5132,67
1994-09-02;5142,65
1994-09-03;5142,65
1994-09-04;5142,65
1994-09-05;5151,64
1994-09-06;5155,24
1994-09-07;5155,47
1994-09-08;5156,17
1994-09-09;5158,09
1994-09-10;5158,09
1994-09-11;5158,09
1994-09-12;5162,46
1994-09-13;5159,71
1994-09-14;5158,89
1994-09-15;5159,82
1994-09-16;5162,62
1994-09-17;5162,62
1994-09-18;5162,62
1994-09-19;5162,62
1994-09-20;5172,75
1994-09-21;5182,41
1994-09-22;5187,3
1994-09-23;5191,35
1994-09-24;5191,35
1994-09-25;5191,35
1994-09-26;5202,07
1994-09-27;5210,71
1994-09-28;5217,84
1994-09-29;5224,5
1994-09-30;5238,26
1994-10-01;5238,26
1994-10-02;5238,26
1994-10-03;5257,41
1994-10-04;5264,0
1994-10-05;5276,35
1994-10-06;5283,15
1994-10-07;5294,53
1994-10-08;5294,53
1994-10-09;5294,53
1994-10-10;5308,05
1994-10-11;5315,42
1994-10-12;5315,42
1994-10-13;5326,82
1994-10-14;5345,23
1994-10-15;5345,23
1994-10-16;5345,23
1994-10-17;5359,2
1994-10-18;5384,43
1994-10-19;5399,02
1994-10-20;5418,22
