AFP;CAPITAL;CAPITAL;CUPRUM;CUPRUM;HABITAT;HABITAT;MODELO;MODELO;PLANVITAL;PLANVITAL;PROVIDA;PROVIDA
Item;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
Fecha;;;;;;;;;;;;
2018-01-01;41749,47;3906995059024;44149,62;5024624730169;44790,45;5502993342242;43576,89;1180026582933;40852,62;486300563137;43326,16;3798641469846
2018-01-02;41802,25;3916257151948;44207,99;5045430313806;44839,67;5518480796318;43642,58;1183761330717;40899,59;483364402166;43355,66;3807643873130
2018-01-03;41841,35;3919744658421;44239,58;5050397038242;44850,09;5520605573705;43629,45;1185923044226;40922,07;483926282357;43375,67;3808408772726
2018-01-04;41850,2;3921695701752;44247,48;5055142743851;44838,63;5522520372325;43619,7;1186899948994;40918,21;484100782909;43368,01;3807866447277
2018-01-05;42072,05;3945627234449;44474,13;5085324373807;45085,63;5557174303819;43854,92;1194965433572;41130,65;486975948493;43606,07;3830335188379
2018-01-06;42072,05;3945627234449;44474,13;5085324373807;45085,63;5557174303819;43854,92;1194965433572;41130,65;486975948493;43606,07;3830335188379
2018-01-07;42072,05;3945627234449;44474,13;5085324373807;45085,63;5557174303819;43854,92;1194965433572;41130,65;486975948493;43606,07;3830335188379
2018-01-08;42409,59;3980299577755;44832,23;5137084300331;45442,33;5608706665897;44207,72;1206980182448;41450,75;491206589823;43944,34;3862588060497
2018-01-09;42517,77;3995526265962;44948,94;5159116731515;45564,09;5634747919387;44333,65;1213849605478;41565,48;493391472551;44061,48;3876561882329
2018-01-10;42589,68;4014570597440;45021,34;5177800970441;45632,1;5658288314428;44402,57;1221424220922;41624,34;495254313103;44125,8;3886861198523
2018-01-11;42605,07;4022276374511;45037,01;5187152060744;45653,14;5670850875142;44410,75;1224181394094;41654,34;496975805861;44149,46;3892150999228
2018-01-12;42669,1;4038597504332;45113,6;5209223387949;45717,53;5691806562022;44466,72;1230411851364;41718,44;498757507496;44213,0;3904472414582
2018-01-13;42669,1;4038597504332;45113,6;5209223387949;45717,53;5691806562022;44466,72;1230411851364;41718,44;498757507496;44213,0;3904472414582
2018-01-14;42669,1;4038597504332;45113,6;5209223387949;45717,53;5691806562022;44466,72;1230411851364;41718,44;498757507496;44213,0;3904472414582
2018-01-15;42682,02;4088867196230;45135,95;5276297043222;45722,33;5806477197725;44462,89;1287383520437;41718,01;503645806412;44220,31;3934271171962
2018-01-16;42682,02;4088867196230;45135,95;5276297043222;45722,33;5806477197725;44462,89;1287383520437;41718,01;503645806412;44220,31;3934271171962
2018-01-17;42731,6;4122294355496;45180,67;5333520145139;45774,58;5887176794777;44480,62;1339526158026;41745,85;510234971122;44290,6;3956914008320
2018-01-18;43043,77;4162905180390;45516,48;5391190785182;46089,09;5950089593807;44836,54;1397885276135;42052,41;515875434655;44606,55;3990158678685
2018-01-19;43142,08;4181250275982;45608,18;5414107635352;46181,36;5975764842809;44899,7;1438620971661;42128,13;517921203483;44703,8;4002791494224
2018-01-20;43142,08;4181250275982;45608,18;5414107635352;46181,36;5975764842809;44899,7;1438620971661;42128,13;517921203483;44703,8;4002791494224
2018-01-21;43142,08;4181250275982;45608,18;5414107635352;46181,36;5975764842809;44899,7;1438620971661;42128,13;517921203483;44703,8;4002791494224
2018-01-22;43394,35;4208676962311;45870,32;5451035706328;46439,39;6020308013043;45172,93;1451993486600;42372,47;521814948701;44958,84;4029148432940
2018-01-23;43505,91;4225806139455;45984,83;5471023950691;46565,83;6047630245274;45273,49;1458070532265;42485,6;524045503573;45063,04;4042431670499
2018-01-24;43697,06;4248349078213;46183,76;5500869901025;46786,94;6086904553518;45475,8;1465850649745;42693,01;526945718893;45284,1;4064327425611
2018-01-25;43653,04;4248915402194;46123,77;5496759581264;46715,28;6084045575726;45422,16;1465293296097;42614,58;526365684219;45235,83;4062012278882
2018-01-26;43474,92;4218455727080;45917,88;5439782713641;46503,76;5986968021556;45218,3;1417957690037;42413,99;519756540187;45041,34;4037269346754
2018-01-27;43474,92;4218455727080;45917,88;5439782713641;46503,76;5986968021556;45218,3;1417957690037;42413,99;519756540187;45041,34;4037269346754
2018-01-28;43474,92;4218455727080;45917,88;5439782713641;46503,76;5986968021556;45218,3;1417957690037;42413,99;519756540187;45041,34;4037269346754
2018-01-29;43675,73;4228816714832;46138,94;5438874938069;46726,58;5971797407542;45420,26;1385995941982;42622,56;518927617664;45237,46;4048255006592
2018-01-30;43811,76;4243282975924;46276,76;5457639687886;46887,54;5983791543005;45570,49;1350086941042;42762,47;519954274595;45388,01;4061802958929
2018-01-31;43494,22;4198157384908;45936,51;5399575187818;46546,31;5915796826944;45221,22;1298477117864;42457,09;514688242834;45068,68;4023980734803
2018-02-01;43494,72;4201770059196;45946,53;5408578671455;46541,54;5928922123163;45223,98;1295168110134;42443,16;510006613354;45079,34;4040127373178
2018-02-02;43342,73;4189521204063;45765,48;5387478952810;46363,27;5907730081331;45052,07;1290196708510;42272,51;508117677539;44906,87;4025785472178
2018-02-03;43342,73;4189521204063;45765,48;5387478952810;46363,27;5907730081331;45052,07;1290196708510;42272,51;508117677539;44906,87;4025785472178
2018-02-04;43342,73;4189521204063;45765,48;5387478952810;46363,27;5907730081331;45052,07;1290196708510;42272,51;508117677539;44906,87;4025785472178
2018-02-05;42901,4;4148968998524;45294,17;5332793309568;45897,75;5846252337277;44598,04;1276022551139;41860,74;503183540930;44458,65;3986310341189
2018-02-06;42264,45;4090165581125;44596,85;5253024839085;45212,47;5761433217495;43918,24;1257075709357;41246,2;496041723520;43835,92;3930908975467
2018-02-07;41847,94;4051316291316;44156,12;5201197914989;44690,63;5696449600332;43471,2;1244120902248;40802,08;490806804768;43334,82;3886831984508
2018-02-08;41525,38;4018528786464;43804,21;5161525181443;44378,25;5655606779631;43116,24;1231726414424;40483,72;487039581108;43009,0;3858259744388
2018-02-09;41243,83;3941708435188;43510,19;5055885232384;44131,77;5491968370674;42885,14;1176860046858;40271,91;478495070966;42768,83;3819107065973
2018-02-10;41243,83;3941708435188;43510,19;5055885232384;44131,77;5491968370674;42885,14;1176860046858;40271,91;478495070966;42768,83;3819107065973
2018-02-11;41243,83;3941708435188;43510,19;5055885232384;44131,77;5491968370674;42885,14;1176860046858;40271,91;478495070966;42768,83;3819107065973
2018-02-12;40993,97;3859288708098;43263,58;4945716339853;43816,43;5330546155021;42620,09;1123890411272;40035,57;468248127917;42474,54;3767169737448
2018-02-13;41166,24;3863497432939;43420,67;4954142202923;43989,07;5333361837351;42740,13;1083671830286;40185,78;468788017685;42644,66;3777134611589
2018-02-14;41013,72;3845766203755;43258,44;4928191893589;43845,35;5301664125047;42576,56;1028443786257;40056,08;466359084724;42501,59;3764750122844
2018-02-15;41331,69;3896805066311;43574,88;4973612973302;44150,06;5357534917955;42830,99;984540433287;40339,66;470292889476;42817,09;3800161487214
2018-02-16;41561,23;3927613180071;43808,27;5009723577090;44413,43;5390672772968;43087,52;965132594663;40584,18;472499710081;43087,95;3823627570289
2018-02-17;41561,23;3927613180071;43808,27;5009723577090;44413,43;5390672772968;43087,52;965132594663;40584,18;472499710081;43087,95;3823627570289
2018-02-18;41561,23;3927613180071;43808,27;5009723577090;44413,43;5390672772968;43087,52;965132594663;40584,18;472499710081;43087,95;3823627570289
2018-02-19;41670,92;3942421729749;43933,03;5024688642303;44538,99;5406403991199;43190,56;965914021635;40695,87;473302861939;43205,43;3835515018003
2018-02-20;41770,21;3954411679912;44041,16;5038675338474;44650,87;5426155856548;43310,04;969293240754;40794,45;474404701698;43319,77;3846432388693
2018-02-21;41702,15;3952079072064;43981,99;5036042376631;44582,16;5425766149880;43246,99;970057493949;40727,96;473627664297;43250,25;3841484687304
2018-02-22;41724,22;3955454040300;43986,33;5036585777597;44611,5;5429783583894;43277,19;970536226246;40740,69;473628293495;43273,92;3844263795136
2018-02-23;41736,25;3961329112731;44040,77;5046117235925;44616,31;5436756094123;43280,41;970899766252;40750,05;473843246882;43281,18;3845882644020
2018-02-24;41736,25;3961329112731;44040,77;5046117235925;44616,31;5436756094123;43280,41;970899766252;40750,05;473843246882;43281,18;3845882644020
2018-02-25;41736,25;3961329112731;44040,77;5046117235925;44616,31;5436756094123;43280,41;970899766252;40750,05;473843246882;43281,18;3845882644020
2018-02-26;41839,91;3968387106919;44152,42;5058846533920;44720,23;5448434387690;43414,3;973453424309;40863,02;475165437759;43393,15;3856253484495
2018-02-27;41860,25;3971297564848;44165,16;5061290756749;44739,01;5450649482728;43434,11;973536391952;40880,35;475221518332;43420,4;3859667896039
2018-02-28;41636,53;3942798249293;43921,4;5025991670488;44528,31;5415326399735;43208,45;968491897069;40677,06;472189003459;43190,39;3831314426901
