AFP;CAPITAL;CAPITAL;CUPRUM;CUPRUM;HABITAT;HABITAT;MODELO;MODELO;PLANVITAL;PLANVITAL;PROVIDA;PROVIDA
Item;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
Fecha;;;;;;;;;;;;
2017-01-01;33770,63;7512619122110;39706,69;7284988797828;38656,57;11143938123025;37945,38;770018039736;68834,59;1338727711001;33507,1;12172527537177
2017-01-02;33770,63;7512619122110;39706,69;7284988797828;38656,57;11143938123025;37945,38;770018039736;68834,59;1338727711001;33507,1;12172527537177
2017-01-03;33890,27;7541837780637;39857,47;7310975219615;38803,01;11204746342454;38063,61;782923505853;69052,14;1339243549954;33625,2;12202148035849
2017-01-04;34052,85;7577374910279;40029,23;7338549009785;38968,68;11250998453660;38232,4;786117519579;69383,18;1350152767256;33774,31;12256286369137
2017-01-05;34157,47;7599051668153;40151,96;7363981436585;39084,64;11282620108996;38359,12;788845808915;69612,08;1354713102215;33861,14;12288378546842
2017-01-06;34136,7;7594676559065;40129,35;7360605716930;39071,11;11278791020627;38350,06;788725735611;69610,54;1354550988335;33834,69;12278987158951
2017-01-07;34136,7;7594676559065;40129,35;7360605716930;39071,11;11278791020627;38350,06;788725735611;69610,54;1354550988335;33834,69;12278987158951
2017-01-08;34136,7;7594676559065;40129,35;7360605716930;39071,11;11278791020627;38350,06;788725735611;69610,54;1354550988335;33834,69;12278987158951
2017-01-09;34100,08;7590741867990;40071,74;7352082945177;39035,15;11270447106150;38290,4;787921270699;69536,03;1353625253102;33801,27;12267354089432
2017-01-10;34180,09;7610713315480;40160,82;7370350290381;39127,04;11302091043438;38374,29;789886282578;69665,32;1356755610895;33878,44;12295837657835
2017-01-11;34201,31;7617036589511;40186,59;7377952949486;39142,57;11309166193072;38392,44;790979400450;69731,4;1358287220311;33893,16;12304785694142
2017-01-12;34294,6;7642796923853;40304,1;7402215308257;39251,48;11342294357828;38500,35;795886465903;69915,67;1362778309235;33990,86;12345893385902
2017-01-13;34199,17;7625829449218;40176,32;7380864439682;39131,81;11320524560962;38386,68;794584527853;69701,95;1361137496503;33892,76;12320055009929
2017-01-14;34199,17;7625829449218;40176,32;7380864439682;39131,81;11320524560962;38386,68;794584527853;69701,95;1361137496503;33892,76;12320055009929
2017-01-15;34199,17;7625829449218;40176,32;7380864439682;39131,81;11320524560962;38386,68;794584527853;69701,95;1361137496503;33892,76;12320055009929
2017-01-16;34150,69;7627251810612;40123,15;7384627554097;39081,74;11327635281821;38342,91;808625019267;69633,53;1356995676627;33851,37;12296382058114
2017-01-17;34146,85;7629971719674;40123,89;7383639233796;39080,8;11334553361217;38342,56;811721661129;69633,42;1362134084260;33849,24;12300895192478
2017-01-18;34075,48;7614101052197;40035,99;7366380598179;39002,25;11311861433646;38254,2;809848765016;69477,99;1359318396090;33783,52;12276351256288
2017-01-19;34112,02;7621424043537;40083,08;7376803408229;39057,24;11325449339047;38302,25;812203158255;69564,93;1360604052918;33817,73;12288091707052
2017-01-20;34093,46;7617004974323;40052,62;7370416448869;39031,57;11322279885621;38287,75;811336922456;69512,39;1359656308345;33801,66;12280524435144
2017-01-21;34093,46;7617004974323;40052,62;7370416448869;39031,57;11322279885621;38287,75;811336922456;69512,39;1359656308345;33801,66;12280524435144
2017-01-22;34093,46;7617004974323;40052,62;7370416448869;39031,57;11322279885621;38287,75;811336922456;69512,39;1359656308345;33801,66;12280524435144
2017-01-23;34117,38;7622928128856;40093,19;7377850809384;39057,59;11329137357690;38305,06;812056883988;69568,41;1360720193885;33833,7;12292326499346
2017-01-24;34008,68;7598019565901;39972,41;7356265717799;38935,65;11293329733457;38170,69;807534051335;69342,59;1355975687180;33726,96;12252943084409
2017-01-25;34086,08;7614341503947;40069,08;7374224513865;39031,65;11322163827026;38281,12;810103198172;69507,21;1359043501952;33802,74;12279775369882
2017-01-26;34133,04;7624230981904;40122,81;7384004693904;39094,37;11336923340115;38349,78;811032869447;69625,82;1361216462801;33847,88;12295693722841
2017-01-27;34119,78;7621359801181;40103,7;7380778556303;39067,1;11329613153563;38336,84;809821848543;69594,08;1360820913018;33830,98;12289335396808
2017-01-28;34119,78;7621359801181;40103,7;7380778556303;39067,1;11329613153563;38336,84;809821848543;69594,08;1360820913018;33830,98;12289335396808
2017-01-29;34119,78;7621359801181;40103,7;7380778556303;39067,1;11329613153563;38336,84;809821848543;69594,08;1360820913018;33830,98;12289335396808
2017-01-30;34138,87;7623939680195;40119,01;7385386153517;39092,92;11338886988570;38350,21;810696291136;69622,47;1361016344714;33846,28;12294526530240
2017-01-31;34034,78;7580500658243;40006,5;7353569309078;38991,56;11293925592069;38251,08;807961287604;69427,88;1353879317723;33760,96;12234363269159
