AFP;APORTA;APORTA;CUPRUM;CUPRUM;HABITAT;HABITAT;MAGISTER;MAGISTER;PLANVITAL;PLANVITAL;PROVIDA;PROVIDA;SANTA MARIA;SANTA MARIA;SUMMA BANSANDER;SUMMA BANSANDER;BANSANDER;BANSANDER;CAPITAL;CAPITAL;MODELO;MODELO;UNO;UNO
Item;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
Fecha;;;;;;;;;;;;;;;;;;;;;;;;
2000-03-01;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-02;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-03;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-04;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-05;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-06;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-07;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-08;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-09;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-10;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-11;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-12;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-13;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-14;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-15;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
2000-03-16;10000,0;0;10000,0;0;9000,0;0;17700,0;0;10000,0;0;10000,0;0;10000,0;0;10000,0;0;;;;;;;;
