Fecha;CAPITAL;CUPRUM;HABITAT;MODELO;PLANVITAL;PROVIDA
2017-01-01;3181477551882;2802468652301;4346565421773;1258029713289;615861729827;4148910780003
2017-01-02;3181477551882;2802468652301;4346565421773;1258029713289;615861729827;4148910780003
2017-01-03;3186990158674;2806246483052;4356610524231;1264881204533;615452977804;4152668658862
2017-01-04;3203938453138;2820074444256;4377803155814;1272470053603;620612243713;4175780985173
2017-01-05;3211271589416;2827327892110;4387292571072;1276932807192;622638072649;4186350279486
2017-01-06;3206082515642;2823038145240;4379073832857;1275828794336;622468045947;4180799833616
2017-01-07;3206082515642;2823038145240;4379073832857;1275828794336;622468045947;4180799833616
2017-01-08;3206082515642;2823038145240;4379073832857;1275828794336;622468045947;4180799833616
2017-01-09;3204871852051;2820820701177;4376396230091;1275521909882;622158278361;4177560711273
2017-01-10;3215497444262;2827732684992;4390136456124;1280452494957;624682167626;4190910743738
2017-01-11;3221327365817;2833702385479;4399133164809;1284971040670;626447696264;4198264174376
2017-01-12;3237811490218;2847285921720;4419650421259;1297613481410;631666501214;4219893466146
2017-01-13;3225318950903;2832068793122;4402578301728;1293576579784;632367088242;4204050023672
2017-01-14;3225318950903;2832068793122;4402578301728;1293576579784;632367088242;4204050023672
2017-01-15;3225318950903;2832068793122;4402578301728;1293576579784;632367088242;4204050023672
2017-01-16;3220202772169;2826348174869;4395868050583;1297041854891;631764413611;4190360248953
2017-01-17;3221107586609;2826614381593;4396743129222;1302840547993;637373567196;4193281689976
2017-01-18;3211106827716;2817053057556;4383201377877;1298821928734;635716394033;4182081824388
2017-01-19;3217579051781;2822766901256;4393139036508;1301880823034;637089837436;4190712666660
2017-01-20;3216443413499;2820428498038;4389036072278;1301368430402;636641637941;4187750710790
2017-01-21;3216443413499;2820428498038;4389036072278;1301368430402;636641637941;4187750710790
2017-01-22;3216443413499;2820428498038;4389036072278;1301368430402;636641637941;4187750710790
2017-01-23;3216719889578;2820880865274;4388223779485;1301329028662;636983355606;4188758115326
2017-01-24;3201638445527;2808031785670;4368918794245;1294926975479;634088674608;4170039080457
2017-01-25;3212255344728;2817358027077;4385693677030;1300438415455;636503875888;4185068533587
2017-01-26;3220087123517;2824398172435;4396487936519;1304230353060;638169514335;4194976717894
2017-01-27;3218605780834;2823033612678;4393996566886;1304186083081;638190181042;4193059825696
2017-01-28;3218605780834;2823033612678;4393996566886;1304186083081;638190181042;4193059825696
2017-01-29;3218605780834;2823033612678;4393996566886;1304186083081;638190181042;4193059825696
2017-01-30;3220347954127;2824433357704;4396580732169;1305285091839;638851211160;4194966042252
2017-01-31;3205275293920;2820648960833;4372362032478;1299058642991;635588653059;4167064579279
2017-02-01;3190086444645;2811285730353;4356258352303;1297405688491;631291342234;4148394786064
2017-02-02;3196216015327;2817531503509;4366319746258;1300847841924;633396480116;4158235846000
2017-02-03;3187901986525;2808610209659;4357369257152;1299083125031;632763894923;4151070406024
2017-02-04;3187901986525;2808610209659;4357369257152;1299083125031;632763894923;4151070406024
2017-02-05;3187901986525;2808610209659;4357369257152;1299083125031;632763894923;4151070406024
2017-02-06;3195070815714;2813750652413;4365190561489;1302040646985;634147441137;4160010182025
2017-02-07;3189566193218;2808886824227;4357419284324;1300495390553;633460662791;4153298248471
2017-02-08;3207432456933;2824024921833;4379621555096;1308172516265;637074121438;4176628204282
2017-02-09;3215987720370;2831950974204;4390780211629;1312693438524;640161558660;4187009175777
2017-02-10;3227747312258;2841276370011;4405645134360;1319294863511;643211648255;4201428393845
2017-02-11;3227747312258;2841276370011;4405645134360;1319294863511;643211648255;4201428393845
2017-02-12;3227747312258;2841276370011;4405645134360;1319294863511;643211648255;4201428393845
2017-02-13;3227891836420;2841252915098;4406574449954;1321442631947;644429519978;4199897707926
2017-02-14;3241505938840;2852707954552;4424450288780;1333966616436;648658218530;4216561514936
2017-02-15;3243382329853;2849816226808;4430193001271;1341231408897;652624767963;4207815806901
2017-02-16;3244030999444;2849646726603;4430311975691;1343701981409;653990228529;4210331710356
2017-02-17;3241671417913;2849027552597;4430344220926;1343587245513;654667367057;4208049730353
2017-02-18;3241671417913;2849027552597;4430344220926;1343587245513;654667367057;4208049730353
2017-02-19;3241671417913;2849027552597;4430344220926;1343587245513;654667367057;4208049730353
2017-02-20;3254060491687;2862071273586;4447407186471;1349539866304;657437630862;4225625856025
2017-02-21;3249373650425;2859203173294;4444833405144;1349024784967;656763615429;4222289650838
2017-02-22;3259840370120;2868220109548;4459678671667;1353538409099;658877376502;4234671649786
2017-02-23;3259018681500;2866868975801;4459771235416;1353331663341;658760620941;4233953740454
2017-02-24;3260340010219;2867638077367;4462049889219;1353704667033;659194398967;4235484928877
2017-02-25;3260340010219;2867638077367;4462049889219;1353704667033;659194398967;4235484928877
2017-02-26;3260340010219;2867638077367;4462049889219;1353704667033;659194398967;4235484928877
2017-02-27;3265168694247;2874235813390;4472953116250;1356967969821;660749221020;4245163619057
2017-02-28;3262270128323;2877698762523;4462289272142;1356119308817;659750140451;4233147312002
