Fecha;ALAMEDA;CONCORDIA;CUPRUM;EL LIBERTADOR;HABITAT;INVIERTA;PLANVITAL;PROVIDA;SAN CRISTOBAL;SANTA MARIA;SUMMA;MAGISTER;UNION;PROTECCION;FUTURO;BANNUESTRA;BANGUARDIA;QUALITAS;BANSANDER;LABORAL;PREVIPAN;FOMENTA;GENERA;NORPREVISION;APORTA;ARMONIZA;VALORA;SUMMA BANSANDER;APORTA FOMENTA;CAPITAL;MODELO;UNO
1981-06-01;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-02;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-03;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-04;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-05;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-06;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-07;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-08;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-09;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-10;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-11;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-12;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-13;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-14;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-15;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-16;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;
1981-06-17;17141627;3125203;15704943;8861689;111416125;33909991;32447118;371617281;91582058;243472088;46994378;;;;;;;;;;;;;;;;;;;;;
1981-06-18;17224013;3125499;15714621;8920863;111416125;34072970;32475443;375012364;92022221;259824118;47179106;;;;;;;;;;;;;;;;;;;;;
1981-06-19;17660800;3130941;15726026;8988974;111416125;34937032;32504108;376085777;94355830;263188100;47312612;;;;;;;;;;;;;;;;;;;;;
1981-06-20;17660800;3130941;15726026;8988974;111416125;34937032;32504108;376085777;94355830;263188100;47312612;;;;;;;;;;;;;;;;;;;;;
1981-06-21;17660800;3130941;15726026;8988974;111416125;34937032;32504108;376085777;94355830;263188100;47312612;;;;;;;;;;;;;;;;;;;;;
1981-06-22;17720412;3137621;15759706;9012343;111416125;35054958;32590889;376866915;94674316;266205760;47430348;;;;;;;;;;;;;;;;;;;;;
1981-06-23;17768554;3175798;15774908;9037680;111416125;35150193;32261254;378123685;94931520;268025267;47495779;;;;;;;;;;;;;;;;;;;;;
1981-06-24;17799084;3181093;15786322;9046518;111416125;35210588;32651515;378581162;95094633;268558922;47597355;;;;;;;;;;;;;;;;;;;;;
1981-06-25;17907898;3187883;15797738;9057326;111416125;35425848;32682186;380667222;95675993;274275062;47674358;;;;;;;;;;;;;;;;;;;;;
1981-06-26;17980248;3192103;15809181;9070935;111416125;35568972;32729889;381478766;96062535;276564218;47773616;;;;;;;;;;;;;;;;;;;;;
1981-06-27;17980248;3192103;15809181;9070935;111416125;35568972;32729889;381478766;96062535;276564218;47773616;;;;;;;;;;;;;;;;;;;;;
1981-06-28;17980248;3192103;15809181;9070935;111416125;35568972;32729889;381478766;96062535;276564218;47773616;;;;;;;;;;;;;;;;;;;;;
1981-06-29;18038446;3200826;15844625;9094309;111416125;35684100;32847839;384406969;96373465;279268255;48020012;;;;;;;;;;;;;;;;;;;;;
1981-06-30;18058766;3204904;15872023;8868303;114635467;35724297;32890061;384884093;96482027;279526985;48069785;;;;;;;;;;;;;;;;;;;;;
1981-07-01;18091144;3211907;15883007;8880936;114635467;36122259;32919076;385332524;96746649;280066178;48173942;;;;;;;;;;;;;;;;;;;;;
1981-07-02;18129239;3215118;15901475;8888647;114635467;36161639;32948268;385872633;96906273;280813378;48242109;;;;;;;;;;;;;;;;;;;;;
1981-07-03;18152061;3211574;15905801;8896919;114635467;36260247;32979728;386493858;97062285;282285529;48257510;;;;;;;;;;;;;;;;;;;;;
1981-07-04;18152061;3211574;15905801;8896919;114635467;36260247;32979728;386493858;97062285;282285529;48257510;;;;;;;;;;;;;;;;;;;;;
1981-07-05;18152061;3211574;15905801;8896919;114635467;36260247;32979728;386493858;97062285;282285529;48257510;;;;;;;;;;;;;;;;;;;;;
1981-07-06;18206138;3222712;15942181;8920297;114635467;36424543;33124549;387943099;97305442;282770640;48381593;;;;;;;;;;;;;;;;;;;;;
1981-07-07;18228432;3238045;15954195;8933196;114635467;36578221;33209352;390216272;97565593;283308078;48606696;;;;;;;;;;;;;;;;;;;;;
1981-07-08;18245682;3231547;15988313;8943129;114635467;36636831;33239749;390518235;97537357;283695824;48611227;;;;;;;;;;;;;;;;;;;;;
1981-07-09;18267386;3234814;16011464;8964009;114635467;36728678;33181797;390834763;97619996;283910138;48660109;;;;;;;;;;;;;;;;;;;;;
1981-07-10;18286221;3238129;16034545;8972404;114635467;36775129;33211956;393955411;97685849;284534205;48681519;;;;;;;;;;;;;;;;;;;;;
1981-07-11;18286221;3238129;16034545;8972404;114635467;36775129;33211956;393955411;97685849;284534205;48681519;;;;;;;;;;;;;;;;;;;;;
1981-07-12;18286221;3238129;16034545;8972404;114635467;36775129;33211956;393955411;97685849;284534205;48681519;;;;;;;;;;;;;;;;;;;;;
1981-07-13;18450057;3250185;16075977;9002068;114635467;36960953;33311672;395031380;97924841;285192560;48847058;;;;;;;;;;;;;;;;;;;;;
1981-07-14;18493533;3255836;16083274;9020548;114635467;37022170;33402708;395472972;97963976;285596931;48930722;;;;;;;;;;;;;;;;;;;;;
1981-07-15;18539963;3265011;16107337;9038560;114635467;36106479;33458284;377786281;98022796;285957393;47565725;;;;;;;;;;;;;;;;;;;;;
1981-07-16;18736080;3271989;16136446;9053329;114635467;37199326;33547956;378517732;98193784;286950705;47717419;;;;;;;;;;;;;;;;;;;;;
1981-07-17;18783616;3276674;16154088;9071616;114635467;37306642;33742962;379211829;98344139;286893737;109128558;;;;;;;;;;;;;;;;;;;;;
1981-07-18;18783616;3276674;16154088;9071616;114635467;37306642;33742962;379211829;98344139;286893737;109128558;;;;;;;;;;;;;;;;;;;;;
1981-07-19;18783616;3276674;16154088;9071616;114635467;37306642;33742962;379211829;98344139;286893737;109128558;;;;;;;;;;;;;;;;;;;;;
1981-07-20;43592329;6590740;35504250;23203030;262104067;96247600;72629932;865657016;197578614;475936380;109438018;;;;;;;;;;;;;;;;;;;;;
1981-07-21;43640244;7983597;35517571;23223010;262051089;96384698;72695348;866363186;197739893;476414944;109574409;;;;;;;;;;;;;;;;;;;;;
1981-07-22;43670596;8002258;35557767;23241590;262051089;96467227;72760368;866980362;197816170;568378836;109674246;;;;;;;;;;;;;;;;;;;;;
1981-07-23;43718529;8008989;35585015;23262020;262051089;96547478;72825487;867688983;198010945;477480984;109828497;;;;;;;;;;;;;;;;;;;;;
1981-07-24;43764699;8013145;35612045;23259560;262051089;96694206;72893339;868398743;197869721;477739407;109927932;;;;;;;;;;;;;;;;;;;;;
1981-07-25;43764699;8013145;35612045;23259560;262051089;96694206;72893339;868398743;197869721;477739407;109927932;;;;;;;;;;;;;;;;;;;;;
1981-07-26;43764699;8013145;35612045;23259560;262051089;96694206;72893339;868398743;197869721;477739407;109927932;;;;;;;;;;;;;;;;;;;;;
1981-07-27;43932918;8054294;35693231;23321260;262061840;97061028;73097068;870537840;198374696;479241710;110214152;;;;;;;;;;;;;;;;;;;;;
1981-07-28;43980480;8063140;35724687;23331900;262066747;97106319;73164980;871252883;199023400;479678403;110307667;;;;;;;;;;;;;;;;;;;;;
1981-07-29;44038352;8069961;35754391;23352520;262066747;97170519;73233017;871968484;199173232;480169038;110358810;;;;;;;;;;;;;;;;;;;;;
1981-07-30;46940226;8077016;35795765;23673900;262711919;98154396;73918609;880295514;217033856;671595963;111802600;;;;;;;;;;;;;;;;;;;;;
1981-07-31;46987978;8183533;35855550;22881610;266716039;98311591;73985743;845592106;217196796;672038461;109061726;;;;;;;;;;;;;;;;;;;;;
1981-08-01;46987978;8183533;35855550;22881610;266716039;98311591;73985743;845592106;217196796;672038461;109061726;;;;;;;;;;;;;;;;;;;;;
1981-08-02;46987978;8183533;35855550;22881610;266716039;98311591;73985743;845592106;217196796;672038461;109061726;;;;;;;;;;;;;;;;;;;;;
1981-08-03;47132666;8204977;35935576;22948558;266716039;98561253;74180204;847819519;217689015;673420118;109372018;;;;;;;;;;;;;;;;;;;;;
1981-08-04;47181065;8212172;35961992;23001894;266716039;98653721;74243472;848564430;217894681;674092828;109467953;;;;;;;;;;;;;;;;;;;;;
1981-08-05;47235145;8219304;35990811;23023797;266716039;98829409;74308783;849312243;218063152;674606575;109551756;;;;;;;;;;;;;;;;;;;;;
1981-08-06;47291728;8225136;36018167;23044478;266716039;98903383;74374343;850059935;218052648;674713797;109524412;;;;;;;;;;;;;;;;;;;;;
1981-08-07;47351087;8232441;36045259;23056130;266716039;99006178;74440240;850807628;218218336;683411953;109598615;;;;;;;;;;;;;;;;;;;;;
1981-08-08;47351087;8232441;36045259;23056130;266716039;99006178;74440240;850807628;218218336;683411953;109598615;;;;;;;;;;;;;;;;;;;;;
1981-08-09;47351087;8232441;36045259;23056130;266716039;99006178;74440240;850807628;218218336;683411953;109598615;;;;;;;;;;;;;;;;;;;;;
1981-08-10;47710183;8264708;36134240;23256198;268172842;101664496;74978003;865591444;220890460;674126719;110536548;;;;;;;;;;;;;;;;;;;;;
1981-08-11;47782488;8281314;36166610;23281568;268172842;101645556;75142528;866357458;221211678;674834778;110676449;;;;;;;;;;;;;;;;;;;;;
1981-08-12;47996232;8291196;36206277;23310615;268172842;101891740;75238651;867123064;221434843;675412606;110804249;;;;;;;;;;;;;;;;;;;;;
1981-08-13;48067093;8302823;36243980;23351379;268172842;102463409;75346085;868066475;221720390;675512858;111185258;;;;;;;;;;;;;;;;;;;;;
1981-08-14;48140506;8346430;36291412;23374175;268172842;102767201;75454710;869144579;222034911;675837277;111376193;;;;;;;;;;;;;;;;;;;;;
1981-08-15;48140506;8346430;36291412;23374175;268172842;102767201;75454710;869144579;222034911;675837277;111376193;;;;;;;;;;;;;;;;;;;;;
