Fecha;CAPITAL;CUPRUM;HABITAT;MODELO;PLANVITAL;PROVIDA
2017-01-01;4704171588824;6473459163653;7365973255236;873328279020;877686095230;4430611259805
2017-01-02;4704171588824;6473459163653;7365973255236;873328279020;877686095230;4430611259805
2017-01-03;4720834907142;6484034138263;7418011925191;892217608553;871765825697;4418895002358
2017-01-04;4739275817719;6498601707758;7451599177969;895288950329;882507282493;4433542941340
2017-01-05;4756701175072;6521866510727;7477090708204;898112058207;885135878209;4445450938119
2017-01-06;4762795797815;6526956401949;7488610734369;898815721701;886089129077;4448179002206
2017-01-07;4762795797815;6526956401949;7488610734369;898815721701;886089129077;4448179002206
2017-01-08;4762795797815;6526956401949;7488610734369;898815721701;886089129077;4448179002206
2017-01-09;4750349387633;6514978851595;7480919380618;897233313485;885493294557;4442390037321
2017-01-10;4751751478764;6516176871396;7482467153402;897700057245;885569919585;4443958748362
2017-01-11;4750239315485;6512187434387;7480303528433;898176912069;885733805023;4443092468670
2017-01-12;4751775315904;6516299654245;7479542224169;900719724055;887231483226;4445711219567
2017-01-13;4759348256669;6525280886553;7498243363510;902357524172;889726883959;4454192967061
2017-01-14;4759348256669;6525280886553;7498243363510;902357524172;889726883959;4454192967061
2017-01-15;4759348256669;6525280886553;7498243363510;902357524172;889726883959;4454192967061
2017-01-16;4774853438509;6512587721319;7520859085018;917913393949;882722226297;4430021023703
2017-01-17;4778236281348;6516863559741;7523042176677;919963540226;891475287301;4432051010238
2017-01-18;4779825663401;6519881461007;7528560542230;920168254127;891280860604;4433854335441
2017-01-19;4777806192900;6517024830813;7524392260844;920031188082;890589368109;4430628436483
2017-01-20;4773281347007;6512579398011;7519078127046;920267153403;890425852430;4432610741380
2017-01-21;4773281347007;6512579398011;7519078127046;920267153403;890425852430;4432610741380
2017-01-22;4773281347007;6512579398011;7519078127046;920267153403;890425852430;4432610741380
2017-01-23;4778081905226;6521401170188;7525650342560;921606573359;891057214401;4438600995480
2017-01-24;4774645763978;6518699175981;7515663089256;922401462872;890737980674;4436197689405
2017-01-25;4778475765354;6522824091058;7524007374939;923264285000;891683724133;4438207575642
2017-01-26;4779909110879;6524079174245;7527806696382;924925061245;892334357511;4440276751963
2017-01-27;4777883814682;6520188463732;7523456157078;925342429380;891864736085;4438703649597
2017-01-28;4777883814682;6520188463732;7523456157078;925342429380;891864736085;4438703649597
2017-01-29;4777883814682;6520188463732;7523456157078;925342429380;891864736085;4438703649597
2017-01-30;4772440260784;6520481886520;7524676864146;924899468283;892183068848;4439242740028
2017-01-31;4768788880758;6511991511466;7513790407387;925863719052;892039502885;4438030421438
2017-02-01;4752563256778;6461672745915;7433095263923;1125059977184;872911568562;4416678825967
2017-02-02;4761649025705;6466691100639;7445368713827;1127174482354;878060756447;4423582744356
2017-02-03;4773245630394;6478544726124;7464505254821;1127775004136;878797006647;4430990734480
2017-02-04;4773245630394;6478544726124;7464505254821;1127775004136;878797006647;4430990734480
2017-02-05;4773245630394;6478544726124;7464505254821;1127775004136;878797006647;4430990734480
2017-02-06;4777599119297;6485485682744;7470284205571;1128438313192;879703699748;4433414450738
2017-02-07;4778646263595;6486571340725;7469997467669;1128214655724;879331016419;4432494100961
2017-02-08;4791185596457;6499965700366;7492434236939;1131969769860;881293951846;4443912186028
2017-02-09;4792621601437;6506374980110;7488468334494;1133555995171;881980160396;4446539307050
2017-02-10;4799197725335;6514161117512;7492484734415;1134557337361;883096068920;4452987312130
2017-02-11;4799197725335;6514161117512;7492484734415;1134557337361;883096068920;4452987312130
2017-02-12;4799197725335;6514161117512;7492484734415;1134557337361;883096068920;4452987312130
2017-02-13;4797211253062;6510044676149;7490917118915;1137066855389;883799584091;4449170714575
2017-02-14;4803066045075;6515678562374;7501213900796;1139379064406;884428133598;4452167773536
2017-02-15;4811439498208;6473662259809;7467684755276;1309621841443;869902947830;4426229344066
2017-02-16;4808149295064;6469276240270;7460731080657;1309629797802;869536294332;4423848776922
2017-02-17;4802158286282;6460742161653;7450022209849;1309148770344;874770647691;4420065941587
2017-02-18;4802158286282;6460742161653;7450022209849;1309148770344;874770647691;4420065941587
2017-02-19;4802158286282;6460742161653;7450022209849;1309148770344;874770647691;4420065941587
2017-02-20;4807854790814;6469413839162;7458342026187;1310806387948;875831747723;4425901604823
2017-02-21;4813267314250;6469237058327;7462254320581;1311296861120;875426734024;4424174320658
2017-02-22;4812509391333;6464634956806;7461509895150;1311472857927;875682507649;4421863038628
2017-02-23;4816582196012;6470723977554;7468866369611;1312791321978;876261270499;4427057697757
2017-02-24;4821244923986;6479003885322;7479175645233;1313746561759;877818243815;4434941104675
2017-02-25;4821244923986;6479003885322;7479175645233;1313746561759;877818243815;4434941104675
2017-02-26;4821244923986;6479003885322;7479175645233;1313746561759;877818243815;4434941104675
2017-02-27;4827494499557;6490673284915;7489505168465;1315488312122;878945949037;4443746366506
2017-02-28;4828663608044;6494956320733;7483925577045;1315736221524;878475226275;4443241123117
