Fecha;CAPITAL;CUPRUM;HABITAT;MODELO;PLANVITAL;PROVIDA
2018-01-01;41749,47;44149,62;44790,45;43576,89;40852,62;43326,16
2018-01-02;41802,25;44207,99;44839,67;43642,58;40899,59;43355,66
2018-01-03;41841,35;44239,58;44850,09;43629,45;40922,07;43375,67
2018-01-04;41850,2;44247,48;44838,63;43619,7;40918,21;43368,01
2018-01-05;42072,05;44474,13;45085,63;43854,92;41130,65;43606,07
2018-01-06;42072,05;44474,13;45085,63;43854,92;41130,65;43606,07
2018-01-07;42072,05;44474,13;45085,63;43854,92;41130,65;43606,07
2018-01-08;42409,59;44832,23;45442,33;44207,72;41450,75;43944,34
2018-01-09;42517,77;44948,94;45564,09;44333,65;41565,48;44061,48
2018-01-10;42589,68;45021,34;45632,1;44402,57;41624,34;44125,8
2018-01-11;42605,07;45037,01;45653,14;44410,75;41654,34;44149,46
2018-01-12;42669,1;45113,6;45717,53;44466,72;41718,44;44213,0
2018-01-13;42669,1;45113,6;45717,53;44466,72;41718,44;44213,0
2018-01-14;42669,1;45113,6;45717,53;44466,72;41718,44;44213,0
2018-01-15;42682,02;45135,95;45722,33;44462,89;41718,01;44220,31
2018-01-16;42682,02;45135,95;45722,33;44462,89;41718,01;44220,31
2018-01-17;42731,6;45180,67;45774,58;44480,62;41745,85;44290,6
2018-01-18;43043,77;45516,48;46089,09;44836,54;42052,41;44606,55
2018-01-19;43142,08;45608,18;46181,36;44899,7;42128,13;44703,8
2018-01-20;43142,08;45608,18;46181,36;44899,7;42128,13;44703,8
2018-01-21;43142,08;45608,18;46181,36;44899,7;42128,13;44703,8
2018-01-22;43394,35;45870,32;46439,39;45172,93;42372,47;44958,84
2018-01-23;43505,91;45984,83;46565,83;45273,49;42485,6;45063,04
2018-01-24;43697,06;46183,76;46786,94;45475,8;42693,01;45284,1
2018-01-25;43653,04;46123,77;46715,28;45422,16;42614,58;45235,83
2018-01-26;43474,92;45917,88;46503,76;45218,3;42413,99;45041,34
2018-01-27;43474,92;45917,88;46503,76;45218,3;42413,99;45041,34
2018-01-28;43474,92;45917,88;46503,76;45218,3;42413,99;45041,34
2018-01-29;43675,73;46138,94;46726,58;45420,26;42622,56;45237,46
2018-01-30;43811,76;46276,76;46887,54;45570,49;42762,47;45388,01
2018-01-31;43494,22;45936,51;46546,31;45221,22;42457,09;45068,68
