
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2018-01-01;41.749,47;3906995059024;44.149,62;5024624730169;44.790,45;5502993342242;43.576,89;1180026582933;40.852,62;486300563137;43.326,16;3798641469846
2018-01-02;41.802,25;3916257151948;44.207,99;5045430313806;44.839,67;5518480796318;43.642,58;1183761330717;40.899,59;483364402166;43.355,66;3807643873130
2018-01-03;41.841,35;3919744658421;44.239,58;5050397038242;44.850,09;5520605573705;43.629,45;1185923044226;40.922,07;483926282357;43.375,67;3808408772726
2018-01-04;41.850,20;3921695701752;44.247,48;5055142743851;44.838,63;5522520372325;43.619,70;1186899948994;40.918,21;484100782909;43.368,01;3807866447277
2018-01-05;42.072,05;3945627234449;44.474,13;5085324373807;45.085,63;5557174303819;43.854,92;1194965433572;41.130,65;486975948493;43.606,07;3830335188379
2018-01-06;42.072,05;3945627234449;44.474,13;5085324373807;45.085,63;5557174303819;43.854,92;1194965433572;41.130,65;486975948493;43.606,07;3830335188379
2018-01-07;42.072,05;3945627234449;44.474,13;5085324373807;45.085,63;5557174303819;43.854,92;1194965433572;41.130,65;486975948493;43.606,07;3830335188379
2018-01-08;42.409,59;3980299577755;44.832,23;5137084300331;45.442,33;5608706665897;44.207,72;1206980182448;41.450,75;491206589823;43.944,34;3862588060497
2018-01-09;42.517,77;3995526265962;44.948,94;5159116731515;45.564,09;5634747919387;44.333,65;1213849605478;41.565,48;493391472551;44.061,48;3876561882329
2018-01-10;42.589,68;4014570597440;45.021,34;5177800970441;45.632,10;5658288314428;44.402,57;1221424220922;41.624,34;495254313103;44.125,80;3886861198523
2018-01-11;42.605,07;4022276374511;45.037,01;5187152060744;45.653,14;5670850875142;44.410,75;1224181394094;41.654,34;496975805861;44.149,46;3892150999228
2018-01-12;42.669,10;4038597504332;45.113,60;5209223387949;45.717,53;5691806562022;44.466,72;1230411851364;41.718,44;498757507496;44.213,00;3904472414582
2018-01-13;42.669,10;4038597504332;45.113,60;5209223387949;45.717,53;5691806562022;44.466,72;1230411851364;41.718,44;498757507496;44.213,00;3904472414582
2018-01-14;42.669,10;4038597504332;45.113,60;5209223387949;45.717,53;5691806562022;44.466,72;1230411851364;41.718,44;498757507496;44.213,00;3904472414582
2018-01-15;42.682,02;4088867196230;45.135,95;5276297043222;45.722,33;5806477197725;44.462,89;1287383520437;41.718,01;503645806412;44.220,31;3934271171962
2018-01-16;42.682,02;4088867196230;45.135,95;5276297043222;45.722,33;5806477197725;44.462,89;1287383520437;41.718,01;503645806412;44.220,31;3934271171962
2018-01-17;42.731,60;4122294355496;45.180,67;5333520145139;45.774,58;5887176794777;44.480,62;1339526158026;41.745,85;510234971122;44.290,60;3956914008320
2018-01-18;43.043,77;4162905180390;45.516,48;5391190785182;46.089,09;5950089593807;44.836,54;1397885276135;42.052,41;515875434655;44.606,55;3990158678685
2018-01-19;43.142,08;4181250275982;45.608,18;5414107635352;46.181,36;5975764842809;44.899,70;1438620971661;42.128,13;517921203483;44.703,80;4002791494224
2018-01-20;43.142,08;4181250275982;45.608,18;5414107635352;46.181,36;5975764842809;44.899,70;1438620971661;42.128,13;517921203483;44.703,80;4002791494224
2018-01-21;43.142,08;4181250275982;45.608,18;5414107635352;46.181,36;5975764842809;44.899,70;1438620971661;42.128,13;517921203483;44.703,80;4002791494224
2018-01-22;43.394,35;4208676962311;45.870,32;5451035706328;46.439,39;6020308013043;45.172,93;1451993486600;42.372,47;521814948701;44.958,84;4029148432940
2018-01-23;43.505,91;4225806139455;45.984,83;5471023950691;46.565,83;6047630245274;45.273,49;1458070532265;42.485,60;524045503573;45.063,04;4042431670499
2018-01-24;43.697,06;4248349078213;46.183,76;5500869901025;46.786,94;6086904553518;45.475,80;1465850649745;42.693,01;526945718893;45.284,10;4064327425611
2018-01-25;43.653,04;4248915402194;46.123,77;5496759581264;46.715,28;6084045575726;45.422,16;1465293296097;42.614,58;526365684219;45.235,83;4062012278882
2018-01-26;43.474,92;4218455727080;45.917,88;5439782713641;46.503,76;5986968021556;45.218,30;1417957690037;42.413,99;519756540187;45.041,34;4037269346754
2018-01-27;43.474,92;4218455727080;45.917,88;5439782713641;46.503,76;5986968021556;45.218,30;1417957690037;42.413,99;519756540187;45.041,34;4037269346754
2018-01-28;43.474,92;4218455727080;45.917,88;5439782713641;46.503,76;5986968021556;45.218,30;1417957690037;42.413,99;519756540187;45.041,34;4037269346754
2018-01-29;43.675,73;4228816714832;46.138,94;5438874938069;46.726,58;5971797407542;45.420,26;1385995941982;42.622,56;518927617664;45.237,46;4048255006592
2018-01-30;43.811,76;4243282975924;46.276,76;5457639687886;46.887,54;5983791543005;45.570,49;1350086941042;42.762,47;519954274595;45.388,01;4061802958929
2018-01-31;43.494,22;4198157384908;45.936,51;5399575187818;46.546,31;5915796826944;45.221,22;1298477117864;42.457,09;514688242834;45.068,68;4023980734803
