
Fecha;ALAMEDA;;CONCORDIA;;CUPRUM;;EL LIBERTADOR;;HABITAT;;INVIERTA;;PLANVITAL;;PROVIDA;;SAN CRISTOBAL;;SANTA MARIA;;SUMMA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
1981-06-01;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-02;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-03;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-04;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-05;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-06;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-07;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-08;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-09;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-10;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-11;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-12;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-13;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-14;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-15;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-16;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0;100,00;0
1981-06-17;100,78;17141627;101,89;3125203;100,13;15704943;100,42;8861689;100,29;111416125;100,36;33909991;100,47;32447118;100,47;371617281;100,67;91582058;100,42;243472088;100,36;46994378
1981-06-18;100,87;17224013;101,90;3125499;100,19;15714621;100,48;8920863;100,37;111416125;100,47;34072970;100,55;32475443;100,54;375012364;100,75;92022221;100,51;259824118;100,44;47179106
1981-06-19;100,98;17660800;101,95;3130941;100,27;15726026;100,55;8988974;100,43;111416125;100,57;34937032;100,64;32504108;100,61;376085777;100,84;94355830;100,58;263188100;100,52;47312612
1981-06-20;100,98;17660800;101,95;3130941;100,27;15726026;100,55;8988974;100,43;111416125;100,57;34937032;100,64;32504108;100,61;376085777;100,84;94355830;100,58;263188100;100,52;47312612
1981-06-21;100,98;17660800;101,95;3130941;100,27;15726026;100,55;8988974;100,43;111416125;100,57;34937032;100,64;32504108;100,61;376085777;100,84;94355830;100,58;263188100;100,52;47312612
1981-06-22;101,24;17720412;102,15;3137621;100,47;15759706;100,76;9012343;100,63;111416125;100,89;35054958;100,91;32590889;100,81;376866915;101,08;94674316;100,81;266205760;100,76;47430348
1981-06-23;101,39;17768554;102,14;3175798;100,55;15774908;100,94;9037680;100,69;111416125;101,00;35150193;101,00;32261254;100,89;378123685;101,16;94931520;100,89;268025267;100,84;47495779
1981-06-24;101,47;17799084;102,31;3181093;100,63;15786322;101,03;9046518;100,76;111416125;101,10;35210588;101,10;32651515;100,98;378581162;101,24;95094633;100,96;268558922;100,95;47597355
1981-06-25;101,55;17907898;102,51;3187883;100,70;15797738;101,11;9057326;100,82;111416125;101,21;35425848;101,19;32682186;101,46;380667222;101,32;95675993;101,05;274275062;101,03;47674358
1981-06-26;101,64;17980248;102,59;3192103;100,77;15809181;101,23;9070935;100,73;111416125;101,31;35568972;101,29;32729889;101,59;381478766;101,40;96062535;101,17;276564218;101,24;47773616
1981-06-27;101,64;17980248;102,59;3192103;100,77;15809181;101,23;9070935;100,73;111416125;101,31;35568972;101,29;32729889;101,59;381478766;101,40;96062535;101,17;276564218;101,24;47773616
1981-06-28;101,64;17980248;102,59;3192103;100,77;15809181;101,23;9070935;100,73;111416125;101,31;35568972;101,29;32729889;101,59;381478766;101,40;96062535;101,17;276564218;101,24;47773616
1981-06-29;101,99;18038446;102,88;3200826;101,00;15844625;101,49;9094309;100,98;111416125;101,63;35684100;101,57;32847839;101,97;384406969;101,64;96373465;101,39;279268255;101,49;48020012
1981-06-30;102,15;18058766;103,01;3204904;101,11;15872023;101,54;8868303;101,05;114635467;101,73;35724297;101,69;32890061;102,05;384884093;101,72;96482027;101,47;279526985;101,58;48069785
1981-07-01;102,34;18091144;103,10;3211907;101,18;15883007;101,69;8880936;101,57;114635467;101,83;36122259;101,79;32919076;102,13;385332524;101,95;96746649;101,55;280066178;101,80;48173942
1981-07-02;102,43;18129239;103,19;3215118;101,30;15901475;101,77;8888647;101,64;114635467;101,94;36161639;101,87;32948268;102,21;385872633;102,03;96906273;101,63;280813378;101,88;48242109
1981-07-03;102,55;18152061;103,07;3211574;101,33;15905801;101,86;8896919;101,72;114635467;102,06;36260247;101,96;32979728;102,30;386493858;102,12;97062285;101,75;282285529;101,90;48257510
1981-07-04;102,55;18152061;103,07;3211574;101,33;15905801;101,86;8896919;101,72;114635467;102,06;36260247;101,96;32979728;102,30;386493858;102,12;97062285;101,75;282285529;101,90;48257510
1981-07-05;102,55;18152061;103,07;3211574;101,33;15905801;101,86;8896919;101,72;114635467;102,06;36260247;101,96;32979728;102,30;386493858;102,12;97062285;101,75;282285529;101,90;48257510
1981-07-06;102,83;18206138;103,37;3222712;101,56;15942181;102,13;8920297;101,92;114635467;102,42;36424543;102,24;33124549;102,51;387943099;102,35;97305442;101,80;282770640;102,12;48381593
1981-07-07;102,92;18228432;103,54;3238045;101,64;15954195;102,22;8933196;102,02;114635467;102,54;36578221;102,33;33209352;102,70;390216272;102,44;97565593;101,90;283308078;102,18;48606696
1981-07-08;103,02;18245682;103,65;3231547;101,67;15988313;102,31;8943129;102,13;114635467;102,67;36636831;102,43;33239749;102,78;390518235;102,41;97537357;101,96;283695824;102,19;48611227
1981-07-09;103,14;18267386;103,76;3234814;101,82;16011464;102,42;8964009;101,88;114635467;102,79;36728678;102,25;33181797;102,86;390834763;102,49;97619996;102,04;283910138;102,28;48660109
1981-07-10;103,25;18286221;103,86;3238129;101,96;16034545;102,52;8972404;101,96;114635467;102,92;36775129;102,34;33211956;103,68;393955411;102,56;97685849;102,26;284534205;102,32;48681519
