
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2018-01-01;37.753,79;3618367242813;39.737,49;4443684591434;36.157,33;5260924440493;40.081,08;1417246631454;61.881,07;711868069229;36.098,92;3613878672824
2018-01-02;37.790,16;3606120270823;39.776,46;4437140159727;36.193,06;5253263413640;40.117,42;1421085956320;61.943,46;707735553739;36.135,24;3600367676260
2018-01-03;37.793,08;3603913585957;39.762,34;4428757320941;36.189,27;5246181109303;40.121,36;1420110190546;61.948,72;707428395282;36.127,31;3595406177788
2018-01-04;37.810,27;3600852276795;39.773,51;4413807512109;36.206,59;5240212964499;40.124,61;1419046024546;61.972,86;707784593093;36.139,20;3594564176306
2018-01-05;37.791,63;3594345523433;39.761,57;4407869166906;36.190,53;5231445439685;40.102,68;1417676766464;61.938,83;706875030388;36.119,73;3590952038302
2018-01-06;37.791,63;3594345523433;39.761,57;4407869166906;36.190,53;5231445439685;40.102,68;1417676766464;61.938,83;706875030388;36.119,73;3590952038302
2018-01-07;37.791,63;3594345523433;39.761,57;4407869166906;36.190,53;5231445439685;40.102,68;1417676766464;61.938,83;706875030388;36.119,73;3590952038302
2018-01-08;37.841,89;3594967136156;39.804,21;4402372160749;36.235,88;5224233377332;40.143,85;1417090507384;62.024,41;707249434054;36.155,71;3591413347666
2018-01-09;37.843,64;3588215651193;39.806,82;4391070422245;36.238,56;5211830373735;40.145,30;1414027935941;62.012,87;706452594168;36.156,72;3587394599300
2018-01-10;37.846,30;3571855689943;39.819,58;4375118084243;36.247,23;5192178402381;40.161,69;1410250382738;62.021,91;704655458547;36.162,76;3580927034842
2018-01-11;37.752,17;3553267239542;39.724,08;4347145332280;36.151,70;5159514210800;40.054,96;1405011247875;61.871,84;702286548642;36.061,59;3568225614920
2018-01-12;37.751,44;3547722204331;39.721,71;4336361858773;36.158,24;5147186089310;40.062,58;1404823247094;61.877,49;702497795563;36.064,19;3564235589780
2018-01-13;37.751,44;3547722204331;39.721,71;4336361858773;36.158,24;5147186089310;40.062,58;1404823247094;61.877,49;702497795563;36.064,19;3564235589780
2018-01-14;37.751,44;3547722204331;39.721,71;4336361858773;36.158,24;5147186089310;40.062,58;1404823247094;61.877,49;702497795563;36.064,19;3564235589780
2018-01-15;37.775,21;3496795102246;39.731,76;4250148840288;36.173,81;4990480226898;40.092,04;1335197400748;61.906,95;691948423634;36.078,65;3532716683499
2018-01-16;37.775,21;3496795102246;39.731,76;4250148840288;36.173,81;4990480226898;40.092,04;1335197400748;61.906,95;691948423634;36.078,65;3532716683499
2018-01-17;37.793,73;3469543908095;39.748,56;4187385275778;36.192,58;4892500473290;40.108,57;1266714178823;61.939,13;686901545526;36.094,07;3518685693386
2018-01-18;37.884,41;3464292450661;39.841,23;4169403934275;36.283,11;4875265785978;40.209,14;1202215859717;62.087,14;687406710613;36.182,01;3519104806815
2018-01-19;37.890,12;3454972051627;39.841,19;4152069908172;36.283,04;4856814035849;40.199,39;1144074618314;62.085,74;686319534413;36.180,53;3514797677835
2018-01-20;37.890,12;3454972051627;39.841,19;4152069908172;36.283,04;4856814035849;40.199,39;1144074618314;62.085,74;686319534413;36.180,53;3514797677835
2018-01-21;37.890,12;3454972051627;39.841,19;4152069908172;36.283,04;4856814035849;40.199,39;1144074618314;62.085,74;686319534413;36.180,53;3514797677835
2018-01-22;37.903,17;3450520877782;39.857,59;4142313219520;36.300,54;4842346790930;40.213,64;1138694855344;62.106,99;685454886302;36.191,47;3511512683604
2018-01-23;37.908,31;3442403246881;39.852,49;4128335628331;36.308,20;4821079724858;40.218,46;1135662435131;62.117,15;684687418031;36.191,51;3505786927563
2018-01-24;37.945,26;3440156745861;39.891,14;4123036850245;36.339,63;4811852288080;40.262,49;1135763294910;62.186,63;684910299258;36.228,36;3507595863966
2018-01-25;37.959,92;3431635216004;39.900,10;4110683080239;36.360,32;4801563765772;40.280,48;1134914508523;62.205,63;683961971524;36.248,50;3505690798379
2018-01-26;38.010,49;3457759963517;39.942,10;4165150219235;36.402,34;4923435400842;40.340,73;1193471490097;62.285,91;689216903999;36.294,77;3521237983016
2018-01-27;38.010,49;3457759963517;39.942,10;4165150219235;36.402,34;4923435400842;40.340,73;1193471490097;62.285,91;689216903999;36.294,77;3521237983016
2018-01-28;38.010,49;3457759963517;39.942,10;4165150219235;36.402,34;4923435400842;40.340,73;1193471490097;62.285,91;689216903999;36.294,77;3521237983016
2018-01-29;38.026,96;3473409631547;39.953,97;4204690557062;36.427,22;5001314159241;40.354,13;1250788847718;62.325,75;693287412017;36.319,65;3533812214765
2018-01-30;37.994,35;3464607862441;39.935,40;4205196732686;36.387,80;5004805669368;40.315,67;1309241854870;62.272,60;693022135253;36.286,26;3530545490527
2018-01-31;37.963,65;3469036693999;39.911,62;4207220914077;36.365,03;5022856088502;40.286,61;1370824592989;62.231,69;693568542299;36.257,62;3527076248564
2018-02-01;37.952,56;3450442314612;39.898,12;4189695578404;36.356,36;5014693833154;40.271,77;1378955482978;62.210,10;688537354414;36.242,25;3511403010833
2018-02-02;37.942,05;3444652796069;39.867,90;4176894655774;36.333,23;5011057040014;40.250,77;1379197544243;62.172,74;688362081868;36.219,81;3506889503834
2018-02-03;37.942,05;3444652796069;39.867,90;4176894655774;36.333,23;5011057040014;40.250,77;1379197544243;62.172,74;688362081868;36.219,81;3506889503834
2018-02-04;37.942,05;3444652796069;39.867,90;4176894655774;36.333,23;5011057040014;40.250,77;1379197544243;62.172,74;688362081868;36.219,81;3506889503834
2018-02-05;37.877,18;3437105746212;39.817,32;4170328084020;36.264,27;5003708520722;40.196,26;1380968044095;62.060,58;686876284224;36.152,71;3498806112982
2018-02-06;37.820,72;3427183168765;39.777,63;4158056882239;36.209,20;4986513935792;40.149,59;1379277550533;61.969,54;685521326922;36.105,34;3493885429813
2018-02-07;37.865,78;3429678381691;39.823,18;4160220933630;36.255,64;4994169392285;40.186,26;1380742214907;62.041,39;686258397417;36.155,84;3498314741007
2018-02-08;37.826,51;3428667416278;39.777,31;4152032878266;36.214,13;4986504988028;40.153,26;1380748779271;61.969,19;685509467741;36.120,15;3492625600206
2018-02-09;37.878,16;3510535868741;39.836,22;4285284411889;36.266,23;5244193793905;40.186,92;1451532642652;62.057,69;694389838219;36.155,32;3527083114010
2018-02-10;37.878,16;3510535868741;39.836,22;4285284411889;36.266,23;5244193793905;40.186,92;1451532642652;62.057,69;694389838219;36.155,32;3527083114010
2018-02-11;37.878,16;3510535868741;39.836,22;4285284411889;36.266,23;5244193793905;40.186,92;1451532642652;62.057,69;694389838219;36.155,32;3527083114010
2018-02-12;37.903,51;3608699493884;39.860,65;4426218130993;36.299,56;5475268915247;40.210,47;1522375742526;62.110,82;704651720854;36.186,83;3577525038326
2018-02-13;37.902,21;3630088747247;39.849,92;4451114488250;36.301,85;5508121823663;40.206,62;1596565566258;62.111,75;706600352181;36.184,77;3587381197963
2018-02-14;37.918,93;3648410637392;39.858,08;4480193527007;36.305,61;5554943469215;40.217,23;1675658365747;62.137,88;709875021956;36.192,99;3600366299758
2018-02-15;37.968,04;3645035573479;39.901,00;4480740133536;36.347,04;5564691187657;40.258,59;1757028302736;62.210,05;709079215273;36.236,90;3594082167242
2018-02-16;37.964,71;3631444161231;39.894,16;4471415087862;36.340,34;5559280402261;40.243,80;1796848397925;62.199,89;709547867413;36.230,02;3591978935371
2018-02-17;37.964,71;3631444161231;39.894,16;4471415087862;36.340,34;5559280402261;40.243,80;1796848397925;62.199,89;709547867413;36.230,02;3591978935371
2018-02-18;37.964,71;3631444161231;39.894,16;4471415087862;36.340,34;5559280402261;40.243,80;1796848397925;62.199,89;709547867413;36.230,02;3591978935371
2018-02-19;37.989,72;3627457961788;39.916,95;4473225563357;36.365,71;5559499884758;40.264,00;1799930353633;62.235,45;710180831531;36.254,51;3592175618786
2018-02-20;38.022,63;3627165466690;39.957,86;4469192928236;36.400,21;5553575464823;40.293,07;1800028049535;62.289,75;710669233396;36.287,33;3593294281438
2018-02-21;38.048,05;3622174977054;39.984,76;4463181632380;36.429,67;5543301777146;40.313,14;1798360759084;62.329,50;711278165868;36.315,39;3593720951945
2018-02-22;38.085,33;3622244817737;40.029,74;4461198159850;36.466,82;5542065007252;40.336,00;1799013004219;62.381,40;711771435144;36.355,49;3595450287251
2018-02-23;38.097,65;3615924380489;40.034,25;4452976755536;36.482,67;5533306695791;40.342,58;1798882027091;62.396,26;711826460448;36.361,83;3594337598050
2018-02-24;38.097,65;3615924380489;40.034,25;4452976755536;36.482,67;5533306695791;40.342,58;1798882027091;62.396,26;711826460448;36.361,83;3594337598050
2018-02-25;38.097,65;3615924380489;40.034,25;4452976755536;36.482,67;5533306695791;40.342,58;1798882027091;62.396,26;711826460448;36.361,83;3594337598050
2018-02-26;38.117,70;3622293867940;40.045,75;4451249970833;36.497,04;5534303007007;40.363,48;1800698910814;62.422,89;711989083324;36.378,11;3594362954336
2018-02-27;38.127,17;3622703794763;40.050,61;4449820328263;36.492,99;5536592728517;40.375,54;1801781051595;62.427,76;712483302136;36.387,04;3594989054697
2018-02-28;38.079,90;3615213906978;40.013,98;4441802422354;36.447,54;5525135400646;40.333,06;1798830979883;62.350,68;711064739776;36.339,58;3588828832722
