
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-01-01;32.403,85;3506783104580;34.042,23;4179601180931;34.256,69;3874367741530;33.638,80;258047957489;32.370,29;358424424639;33.967,75;3642723226994
2015-01-02;32.355,45;3502362457499;34.001,79;4175766763323;34.206,70;3875962094515;33.582,45;257746336690;32.317,97;357825411301;33.925,77;3639882606537
2015-01-03;32.355,45;3502362457499;34.001,79;4175766763323;34.206,70;3875962094515;33.582,45;257746336690;32.317,97;357825411301;33.925,77;3639882606537
2015-01-04;32.355,45;3502362457499;34.001,79;4175766763323;34.206,70;3875962094515;33.582,45;257746336690;32.317,97;357825411301;33.925,77;3639882606537
2015-01-05;32.572,00;3525408613815;34.211,67;4200407945558;34.410,87;3899333871111;33.764,17;259202939606;32.515,99;360299014103;34.130,88;3662574435927
2015-01-06;32.395,32;3501592067451;33.999,62;4185257538708;34.213,28;3872791717434;33.549,28;256896963917;32.314,83;354182343286;33.925,77;3635079132875
2015-01-07;32.102,97;3470020685529;33.698,29;4148336556693;33.891,99;3836605972317;33.233,59;254646332780;32.019,38;350987669042;33.620,06;3602529200098
2015-01-08;32.199,82;3480035703080;33.809,64;4161334482454;34.003,17;3846402901863;33.329,78;255266784803;32.117,26;351821629653;33.742,73;3615347907509
2015-01-09;32.493,28;3506466396840;34.131,69;4193454461979;34.327,69;3874214761980;33.654,75;257773039873;32.431,54;360418209320;34.056,44;3643255675418
2015-01-10;32.493,28;3506466396840;34.131,69;4193454461979;34.327,69;3874214761980;33.654,75;257773039873;32.431,54;360418209320;34.056,44;3643255675418
2015-01-11;32.493,28;3506466396840;34.131,69;4193454461979;34.327,69;3874214761980;33.654,75;257773039873;32.431,54;360418209320;34.056,44;3643255675418
2015-01-12;32.500,56;3498034448928;34.132,32;4188844918229;34.343,63;3872156136486;33.663,88;257922165916;32.434,10;360465746125;34.061,07;3641582904179
2015-01-13;32.512,98;3499728126652;34.133,97;4191363613233;34.347,86;3876171799046;33.656,22;258437100431;32.442,74;360833813757;34.058,32;3642000942502
2015-01-14;32.617,82;3514810702448;34.232,97;4215282647641;34.455,93;3897560632095;33.736,68;260764226877;32.543,62;362996862150;34.153,56;3659676161001
2015-01-15;32.781,16;3535788004352;34.403,23;4242232342640;34.614,28;3919150805861;33.880,71;262240683333;32.681,47;361308268535;34.324,23;3677709314750
2015-01-16;32.691,43;3522712107875;34.318,71;4227170963826;34.527,04;3900375117766;33.779,73;261432614379;32.593,41;360064496964;34.226,08;3665467165925
2015-01-17;32.691,43;3522712107875;34.318,71;4227170963826;34.527,04;3900375117766;33.779,73;261432614379;32.593,41;360064496964;34.226,08;3665467165925
2015-01-18;32.691,43;3522712107875;34.318,71;4227170963826;34.527,04;3900375117766;33.779,73;261432614379;32.593,41;360064496964;34.226,08;3665467165925
2015-01-19;32.897,31;3543758213860;34.532,72;4253202711518;34.748,04;3925663683163;33.980,56;263102253218;32.800,15;362412350148;34.444,82;3689000340320
2015-01-20;32.978,30;3551008100173;34.614,98;4259467991348;34.824,26;3931643729573;34.066,19;263716710608;32.877,11;366948173663;34.530,57;3697418989922
2015-01-21;33.000,72;3552680523697;34.626,50;4259846714869;34.838,76;3932693835057;34.064,87;263583468682;32.872,49;367043763293;34.541,32;3697529337459
2015-01-22;33.248,38;3582239950157;34.890,32;4295507488376;35.099,58;3964259901095;34.315,80;265622524255;33.113,42;370222974368;34.799,13;3725413488608
2015-01-23;33.443,80;3609711124598;35.113,59;4324605123964;35.311,45;3990226390829;34.512,80;267260642381;33.310,24;372727873413;35.022,64;3749952865846
2015-01-24;33.443,80;3609711124598;35.113,59;4324605123964;35.311,45;3990226390829;34.512,80;267260642381;33.310,24;372727873413;35.022,64;3749952865846
2015-01-25;33.443,80;3609711124598;35.113,59;4324605123964;35.311,45;3990226390829;34.512,80;267260642381;33.310,24;372727873413;35.022,64;3749952865846
2015-01-26;33.557,77;3626497829140;35.227,56;4339076432304;35.430,93;4006032682764;34.628,19;268085895212;33.402,72;373648063942;35.130,21;3763040006632
2015-01-27;33.535,41;3638898631701;35.200,52;4359899877697;35.414,98;4033125819851;34.582,80;268891339665;33.376,01;374149453683;35.095,65;3773786598683
2015-01-28;33.391,36;3630535532503;35.049,83;4353610942871;35.263,90;4029909407872;34.432,54;268432226225;33.238,47;373042459986;34.933,58;3767642932904
2015-01-29;33.227,85;3614548608352;34.873,39;4336623303624;35.079,63;4014381617639;34.268,18;267361132447;33.081,76;371337696463;34.756,67;3754343415214
2015-01-30;33.354,13;3620998711893;35.017,33;4345095803285;35.219,60;4019727484488;34.374,19;268058726854;33.194,87;372066779206;34.898,48;3760776499916
2015-01-31;33.354,13;3620998711893;35.017,33;4345095803285;35.219,60;4019727484488;34.374,19;268058726854;33.194,87;372066779206;34.898,48;3760776499916
