
Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-01-01;32.619,49;2626935486136;34.719,19;4446676813153;31.109,75;4168342674950;34.375,02;246914126834;54.351,70;248766655694;31.936,73;2862743270995
2015-01-02;32.605,72;2624820782861;34.706,90;4444207150958;31.094,17;4159127357765;34.366,55;246369850868;54.336,68;248815268694;31.920,13;2860192534748
2015-01-03;32.605,72;2624820782861;34.706,90;4444207150958;31.094,17;4159127357765;34.366,55;246369850868;54.336,68;248815268694;31.920,13;2860192534748
2015-01-04;32.605,72;2624820782861;34.706,90;4444207150958;31.094,17;4159127357765;34.366,55;246369850868;54.336,68;248815268694;31.920,13;2860192534748
2015-01-05;32.602,60;2624886590538;34.725,28;4448131858412;31.100,79;4157902490734;34.374,15;246798601666;54.340,52;248666862464;31.890,62;2857224026073
2015-01-06;32.599,59;2620722733413;34.716,37;4448630120556;31.096,50;4154641821758;34.370,76;245689267046;54.335,27;247038773005;31.882,17;2857929790093
2015-01-07;32.604,33;2621239690505;34.721,49;4450477821497;31.106,52;4156707291475;34.366,08;245585757468;54.331,39;247129946595;31.894,24;2860370940800
2015-01-08;32.608,20;2622492619446;34.732,02;4453334753221;31.116,19;4154320580430;34.371,08;245855778283;54.342,06;247534455028;31.904,97;2862136642988
2015-01-09;32.636,83;2630885485070;34.765,15;4468205918859;31.150,24;4171613042711;34.393,92;246421137723;54.380,77;250408531883;31.941,07;2871220043485
2015-01-10;32.636,83;2630885485070;34.765,15;4468205918859;31.150,24;4171613042711;34.393,92;246421137723;54.380,77;250408531883;31.941,07;2871220043485
2015-01-11;32.636,83;2630885485070;34.765,15;4468205918859;31.150,24;4171613042711;34.393,92;246421137723;54.380,77;250408531883;31.941,07;2871220043485
2015-01-12;32.630,63;2647647000895;34.762,82;4474904800964;31.153,58;4179834834049;34.381,36;246809283832;54.383,65;250627154279;31.934,97;2874945409786
2015-01-13;32.609,16;2647915457630;34.748,51;4473392150971;31.142,53;4175653822349;34.362,63;246909587196;54.366,17;250685791457;31.927,13;2876895184676
2015-01-14;32.619,15;2650473976250;34.757,98;4475409188221;31.157,18;4173922656927;34.370,36;247354113488;54.383,79;250984636382;31.932,11;2880159336640
2015-01-15;32.668,15;2663351874903;34.812,38;4490646190971;31.201,64;4181144718072;34.405,30;247765093226;54.448,83;249797779857;31.993,46;2888881691644
2015-01-16;32.665,32;2669199215748;34.817,57;4493916889730;31.201,95;4194654913613;34.412,10;247657972663;54.443,58;250175529092;31.999,35;2890941171406
2015-01-17;32.665,32;2669199215748;34.817,57;4493916889730;31.201,95;4194654913613;34.412,10;247657972663;54.443,58;250175529092;31.999,35;2890941171406
2015-01-18;32.665,32;2669199215748;34.817,57;4493916889730;31.201,95;4194654913613;34.412,10;247657972663;54.443,58;250175529092;31.999,35;2890941171406
2015-01-19;32.700,74;2671792170653;34.861,13;4499187973846;31.232,31;4198739209590;34.429,57;247727660175;54.497,32;250250133398;32.046,56;2895089553177
2015-01-20;32.713,11;2674898508082;34.864,64;4507020249558;31.238,42;4201947196545;34.438,13;247687070258;54.514,97;254909868730;32.060,08;2897468414562
2015-01-21;32.725,67;2675835781594;34.875,41;4510891043697;31.251,52;4202830413663;34.459,24;247995514057;54.539,18;254875798305;32.070,28;2900263985486
2015-01-22;32.733,70;2674150718676;34.887,50;4509416965919;31.258,37;4200480401594;34.445,24;248014230718;54.544,47;254483124482;32.074,81;2900680242532
2015-01-23;32.779,84;2667911184086;34.929,15;4513135910528;31.310,34;4204494417887;34.504,39;248499608689;54.611,75;254674843917;32.135,40;2905630733297
2015-01-24;32.779,84;2667911184086;34.929,15;4513135910528;31.310,34;4204494417887;34.504,39;248499608689;54.611,75;254674843917;32.135,40;2905630733297
2015-01-25;32.779,84;2667911184086;34.929,15;4513135910528;31.310,34;4204494417887;34.504,39;248499608689;54.611,75;254674843917;32.135,40;2905630733297
2015-01-26;32.787,45;2662434694564;34.929,84;4510352644676;31.319,72;4202392292540;34.513,71;248446549929;54.622,46;254471009791;32.138,51;2905503230922
2015-01-27;32.790,41;2640382369492;34.931,44;4474057415424;31.313,20;4157957510352;34.511,24;246722547942;54.623,48;253455088359;32.144,30;2886001895838
2015-01-28;32.787,94;2629330027989;34.990,19;4462310917397;31.318,46;4134306239048;34.508,88;246023629524;54.627,00;253231297357;32.159,19;2871907621041
2015-01-29;32.785,08;2622006496895;34.945,50;4449763959832;31.309,02;4124214813185;34.518,72;245835527715;54.646,04;253138485552;32.151,33;2865331271722
2015-01-30;32.858,74;2623985522583;35.024,52;4456505759926;31.387,95;4133296125475;34.578,24;246184562340;54.727,57;253025374277;32.219,88;2871021800229
2015-01-31;32.858,74;2623985522583;35.024,52;4456505759926;31.387,95;4133296125475;34.578,24;246184562340;54.727,57;253025374277;32.219,88;2871021800229
2015-02-01;32.858,74;2623985522583;35.024,52;4456505759926;31.387,95;4133296125475;34.578,24;246184562340;54.727,57;253025374277;32.219,88;2871021800229
2015-02-02;32.868,30;2620758554558;35.032,81;4459332920890;31.396,21;4132497777732;34.574,97;245266616253;54.733,58;250977863830;32.216,62;2870426195405
2015-02-03;32.919,47;2621522735705;35.087,30;4469660607088;31.449,57;4137974852806;34.638,28;245575669756;54.798,24;251136549646;32.291,98;2877346472542
2015-02-04;32.936,01;2622987200258;35.114,64;4474449078576;31.470,77;4144364683433;34.670,34;246211778003;54.836,15;251153020180;32.318,44;2881551896242
2015-02-05;32.931,34;2623092742020;35.116,39;4476763285264;31.479,63;4146583109438;34.665,22;246195769340;54.841,84;254558943637;32.314,58;2882781098695
2015-02-06;32.969,00;2626186857887;35.141,25;4479061472582;31.503,73;4154194669334;34.706,02;247016165523;54.879,57;254575130072;32.328,39;2883691541845
2015-02-07;32.969,00;2626186857887;35.141,25;4479061472582;31.503,73;4154194669334;34.706,02;247016165523;54.879,57;254575130072;32.328,39;2883691541845
2015-02-08;32.969,00;2626186857887;35.141,25;4479061472582;31.503,73;4154194669334;34.706,02;247016165523;54.879,57;254575130072;32.328,39;2883691541845
2015-02-09;32.961,88;2623459970519;35.168,44;4475445821696;31.493,96;4144593179137;34.776,18;247366187411;54.907,47;254617764519;32.368,76;2884690896155
2015-02-10;32.963,29;2621609098953;35.172,22;4468904982631;31.486,17;4135641822291;34.783,90;247771435264;54.919,38;254639770562;32.381,38;2882648474918
2015-02-11;32.993,77;2622072196750;35.186,81;4461779829136;31.511,11;4134837674348;34.796,09;247243089938;54.960,84;254801862646;32.408,81;2884134681690
2015-02-12;32.994,87;2617666843952;35.187,52;4457737038400;31.518,77;4131038392271;34.766,55;246958737199;54.956,72;254768307914;32.393,17;2883050372248
2015-02-13;33.041,90;2620530552195;35.220,14;4457676750788;31.546,69;4133533762528;34.825,93;247112889670;54.996,92;254381585422;32.411,63;2883372378863
2015-02-14;33.041,90;2620530552195;35.220,14;4457676750788;31.546,69;4133533762528;34.825,93;247112889670;54.996,92;254381585422;32.411,63;2883372378863
2015-02-15;33.041,90;2620530552195;35.220,14;4457676750788;31.546,69;4133533762528;34.825,93;247112889670;54.996,92;254381585422;32.411,63;2883372378863
2015-02-16;33.040,96;2620216320593;35.226,75;4461820819411;31.554,81;4135411784363;34.834,65;245904899337;55.007,89;252324658091;32.413,03;2881748193441
2015-02-17;33.046,45;2621626351082;35.246,90;4466548509944;31.570,67;4139418395316;34.835,07;245401217635;55.022,90;252386621837;32.419,38;2881661054183
2015-02-18;33.060,03;2578587370839;35.258,56;4334627421603;31.584,98;3987990991654;34.846,09;237544732925;55.036,18;253127477389;32.418,27;2854730913763
2015-02-19;33.075,48;2538283631151;35.253,59;4229040850475;31.592,35;3875908854232;34.859,12;231106901233;55.056,83;249767212888;32.428,15;2828881874236
2015-02-20;33.082,53;2517448889491;35.263,10;4175823334475;31.594,96;3818268231435;34.844,74;228216478259;55.049,67;248168325734;32.434,38;2815590911589
2015-02-21;33.082,53;2517448889491;35.263,10;4175823334475;31.594,96;3818268231435;34.844,74;228216478259;55.049,67;248168325734;32.434,38;2815590911589
2015-02-22;33.082,53;2517448889491;35.263,10;4175823334475;31.594,96;3818268231435;34.844,74;228216478259;55.049,67;248168325734;32.434,38;2815590911589
2015-02-23;33.083,96;2510899379001;35.266,08;4157707086227;31.596,06;3797467553346;34.849,02;227504575894;55.053,25;247444697404;32.436,14;2812019264977
