Fecha;C
1992-01-01;0
1992-01-02;0
1992-01-03;0
1992-01-04;0
1992-01-05;0
1992-01-06;0
1992-01-07;0
1992-01-08;0
1992-01-09;0
1992-01-10;0
1992-01-11;0
1992-01-12;0
1992-01-13;0
1992-01-14;0
1992-01-15;0
1992-01-16;0
1992-01-17;0
1992-01-18;0
1992-01-19;0
1992-01-20;0
1992-01-21;0
1992-01-22;0
1992-01-23;0
1992-01-24;0
1992-01-25;0
1992-01-26;0
1992-01-27;0
1992-01-28;0
1992-01-29;0
1992-01-30;0
1992-01-31;0
1992-02-01;0
1992-02-02;0
1992-02-03;0
1992-02-04;0
1992-02-05;0
1992-02-06;0
1992-02-07;0
1992-02-08;0
1992-02-09;0
1992-02-10;0
1992-02-11;0
1992-02-12;0
1992-02-13;0
1992-02-14;212
1992-02-15;212
1992-02-16;212
1992-02-17;881
1992-02-18;1103
1992-02-19;607650
1992-02-20;607874
1992-02-21;608096
1992-02-22;608096
1992-02-23;608096
1992-02-24;609419
1992-02-25;609661
1992-02-26;608946
1992-02-27;608794
1992-02-28;648159
1992-02-29;648159
1992-03-01;648159
1992-03-02;648895
1992-03-03;649139
1992-03-04;649383
1992-03-05;649626
1992-03-06;649869
1992-03-07;649869
1992-03-08;649869
1992-03-09;650599
1992-03-10;650822
1992-03-11;651043
1992-03-12;521733
1992-03-13;523055
1992-03-14;523055
1992-03-15;523055
1992-03-16;523546
1992-03-17;523581
1992-03-18;523533
1992-03-19;523429
1992-03-20;1530748
1992-03-21;1530748
1992-03-22;1530748
1992-03-23;1531248
1992-03-24;1531302
1992-03-25;1531761
1992-03-26;1532614
1992-03-27;1532338
1992-03-28;1532338
1992-03-29;1532338
1992-03-30;1533613
1992-03-31;1535805
1992-04-01;1535788
1992-04-02;1535785
1992-04-03;1349778
1992-04-04;1349778
1992-04-05;1349778
1992-04-06;1347981
1992-04-07;1347483
1992-04-08;1359286
1992-04-09;1359972
1992-04-10;1370746
1992-04-11;1370746
1992-04-12;1370746
1992-04-13;1371040
1992-04-14;1371126
1992-04-15;1373337
1992-04-16;1373844
1992-04-17;1373844
1992-04-18;1373844
1992-04-19;1373844
1992-04-20;1375824
1992-04-21;1670783
1992-04-22;1670783
1992-04-23;1672032
1992-04-24;1672399
1992-04-25;1672399
1992-04-26;1672399
1992-04-27;28198014
1992-04-28;28409744
1992-04-29;2572930449
1992-04-30;2573649398
1992-05-01;2573649398
1992-05-02;2573649398
1992-05-03;2573649398
1992-05-04;2576647936
1992-05-05;2579282025
1992-05-06;2579761469
1992-05-07;2579918692
1992-05-08;2580520811
1992-05-09;2580520811
1992-05-10;2580520811
1992-05-11;2585642998
1992-05-12;2580888128
1992-05-13;2582424350
1992-05-14;2583960195
1992-05-15;2584918949
1992-05-16;2584918949
1992-05-17;2584918949
1992-05-18;2589789619
1992-05-19;2591209497
1992-05-20;2601542450
1992-05-21;2601542450
1992-05-22;2605164024
1992-05-23;2605164024
1992-05-24;2605164024
1992-05-25;2610011391
1992-05-26;2639603682
1992-05-27;2656261245
1992-05-28;4257492590
1992-05-29;4251973706
1992-05-30;4251973706
1992-05-31;4251973706
1992-06-01;4261744435
1992-06-02;4263200313
1992-06-03;4264506330
1992-06-04;4268615753
1992-06-05;4275581104
1992-06-06;4275581104
1992-06-07;4275581104
1992-06-08;4285763822
1992-06-09;4288498413
1992-06-10;4286891943
1992-06-11;4297671069
1992-06-12;4300120464
1992-06-13;4300120464
1992-06-14;4300120464
1992-06-15;4310767169
1992-06-16;4312909240
1992-06-17;4319610524
1992-06-18;4319610524
1992-06-19;4328420558
1992-06-20;4328420558
1992-06-21;4328420558
1992-06-22;4335939635
1992-06-23;4396152692
1992-06-24;4400164602
1992-06-25;4405078733
1992-06-26;4403917613
1992-06-27;4403917613
1992-06-28;4403917613
1992-06-29;4403917613
1992-06-30;7269893207
1992-07-01;7266371854
1992-07-02;7286428862
1992-07-03;7300924226
1992-07-04;7300924226
1992-07-05;7300924226
1992-07-06;7331063046
1992-07-07;7323158038
1992-07-08;7327662659
1992-07-09;7336879205
1992-07-10;7344809725
1992-07-11;7344809725
1992-07-12;7344809725
1992-07-13;7353661075
1992-07-14;7359774498
1992-07-15;7359416366
1992-07-16;7365345215
1992-07-17;7370237550
1992-07-18;7370237550
1992-07-19;7370237550
1992-07-20;7379521083
1992-07-21;7455829624
1992-07-22;7453661762
1992-07-23;7471651591
1992-07-24;7457101252
1992-07-25;7457101252
1992-07-26;7457101252
1992-07-27;7469136057
1992-07-28;7489711710
1992-07-29;9513373794
1992-07-30;9515526012
1992-07-31;9500977969
1992-08-01;9500977969
1992-08-02;9500977969
1992-08-03;9508316552
1992-08-04;9507769257
1992-08-05;9506066882
1992-08-06;9502888814
1992-08-07;9501668429
1992-08-08;9501668429
1992-08-09;9501668429
1992-08-10;9506545647
1992-08-11;9503420511
1992-08-12;9508526818
1992-08-13;9503424122
1992-08-14;9494359997
1992-08-15;9494359997
1992-08-16;9494359997
1992-08-17;9496047927
1992-08-18;9530218222
1992-08-19;9513035152
1992-08-20;9484630767
1992-08-21;9454036423
1992-08-22;9454036423
1992-08-23;9454036423
1992-08-24;9504935415
1992-08-25;9531368640
1992-08-26;9536881538
1992-08-27;9523673884
1992-08-28;12897850500
1992-08-29;12897850500
1992-08-30;12897850500
1992-08-31;12868290102
1992-09-01;12842325388
1992-09-02;12824182046
1992-09-03;12813826994
1992-09-04;12855697759
1992-09-05;12855697759
1992-09-06;12855697759
1992-09-07;12907119177
1992-09-08;12909959657
1992-09-09;12889516454
1992-09-10;12867687449
1992-09-11;12867687449
1992-09-12;12867687449
1992-09-13;12867687449
1992-09-14;12894421636
1992-09-15;12872723080
1992-09-16;12888651514
1992-09-17;12865698718
1992-09-18;12865698718
1992-09-19;12865698718
1992-09-20;12865698718
1992-09-21;12916506572
1992-09-22;12968980423
1992-09-23;13033799337
1992-09-24;13005428347
1992-09-25;12997522105
1992-09-26;12997522105
1992-09-27;12997522105
1992-09-28;12816879165
1992-09-29;15151362769
1992-09-30;15045895844
1992-10-01;15447988669
1992-10-02;15433911950
1992-10-03;15433911950
1992-10-04;15433911950
1992-10-05;15423811955
1992-10-06;15426764710
1992-10-07;15434053164
1992-10-08;15460006476
1992-10-09;15475117449
1992-10-10;15475117449
1992-10-11;15475117449
1992-10-12;15475117449
1992-10-13;15493894601
1992-10-14;15491237438
1992-10-15;15534939541
1992-10-16;15578369934
1992-10-17;15578369934
1992-10-18;15578369934
1992-10-19;15633238340
1992-10-20;15700093657
1992-10-21;15749844563
1992-10-22;15868302165
1992-10-23;15882771951
1992-10-24;15882771951
1992-10-25;15882771951
1992-10-26;16004731010
1992-10-27;16010497940
1992-10-28;15507340039
1992-10-29;19709546566
1992-10-30;19699111153
1992-10-31;19699111153
1992-11-01;19699111153
1992-11-02;19791664219
1992-11-03;19702370749
1992-11-04;19657248819
1992-11-05;19694742254
1992-11-06;19736190914
1992-11-07;19736190914
1992-11-08;19736190914
1992-11-09;19810605999
1992-11-10;19808040494
1992-11-11;19809705796
1992-11-12;19824486451
